,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ,hanaa_nm,automatic_ind,delek_cd,n_model
0,ב.מ.וו,M6,,2016,4,5,--,7,29314,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,501.1,189.9,139.5,296.4,460,1265,1950,0,0,"ק' 265/35R20 , א' 295/30R20",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
1,ב.מ.וו,M6,,2016,2,4,--,7,28322,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,489.8,189.9,137.4,285.1,460,--,1925,0,0,"ק' 265/40R19 , א' 295/35R19",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
2,ב.מ.וו,M6,,2015,4,5,--,7,--,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,501.1,189.9,139.5,296.4,460,1265,1950,0,0,"ק' 265/35R20 , א' 295/30R20",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
3,ב.מ.וו,M6,,2018,2,4,--,7,30554,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,489.8,189.9,136.9,285.1,460,--,2047,0,0,"ק' 265/40R19 , א' 295/35R19",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
4,ב.מ.וו,M6,,2017,4,5,--,7,29314,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,501.1,189.9,139.5,296.4,460,1265,1950,0,0,"ק' 265/35R20 , א' 295/30R20",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
5,ב.מ.וו,M6,,2017,2,4,--,7,28322,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,489.8,189.9,137.4,285.1,460,--,1925,0,0,"ק' 265/40R19 , א' 295/35R19",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
6,ב.מ.וו,M6,,2013,2,4,--,7,--,--,--,2011,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,0.0,0.0,0.0,0.0,--,--,--,0,0,--,--,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
7,ב.מ.וו,M6,,2014,2,4,--,7,--,--,--,2011,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,489.8,189.9,137.4,285.1,460,--,1925,0,0,"ק' - 265/40R19, א' - 295/35R19",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
8,ב.מ.וו,M6,,2015,2,4,--,7,--,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,489.8,189.9,137.4,285.1,460,--,1925,0,0,"ק' 265/40R19 , א' 295/35R19",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
9,ב.מ.וו,M6,,2018,4,5,--,7,29314,--,--,2011,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,4395,560,6000,69.3,1500,4.2,250,7.1,13.1,10.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,501.1,189.9,139.5,296.4,460,1265,1950,0,0,"ק' 265/35R20 , א' 295/30R20",80,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אופציונלי,2,בקרת אקלים מפוצלת,1,1,יש,עור,יש  + זכרון,מלפנים,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,יש,--,--,--,--,--,--,--,--,--,--,"גלגל הגה מחומם, חבילת עיצוב M, מושבי ספורט, אוורור למושבים הקדמיים, מערכת עזר לחניה, תצוגה עילית של לוח המחוונים על השמשה הקדמית, מערכת ראיית לילה  ",2X4,1,1,M6
