,tozeret_cd,degem_cd,shnat_yitzur,tozar,kinuy_mishari,ramat_gimur,make,model,fieldchassis,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ
0,722,1,2014,ב מ וו,X5 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
1,722,32,2014,ב מ וו,X5 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
2,722,43,2014,ב מ וו,X5 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
3,722,68,2014,ב מ וו,X4 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
4,722,69,2014,ב מ וו,X4 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
5,910,34,2014,ב מ וו,X4 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
6,722,1,2015,ב מ וו,X5 XDRIVE 30D,LUXURY,ב.מ.וו,X6,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.7,230,14.7,17.9,16.7,--,--,--,--,--,6,יש,יש,יש,1,1,אין,0,0,0,אין,אין,אין,אין,אין,יש,אין,אין,אין,--,490.9,198.9,170.2,293.3,550,1525,2140,"ק' 275/40R20 , א' 315/35R20",85,מקורית + שליטה מההגה,יש,אין,יש,10.2,אין,כונן קשיח + USB+ AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,1,1,יש,עור,יש  + זכרון,אין,אין,קסנון,יש,יש,יש,אחוריים + קדמיים,היקפיות,אין,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,יש,אין,יש,יש,יש,אין,יש,יש,רגילים,יש,"תיבת הילוכים והגה בכיול ספורטיבי, הגה מתכוונן חשמלית, סגירת ואקום לדלתות, מקלט טלוויזיה, מסילות גג, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 16 רמקולים, גימורי עץ"
7,722,1,2015,ב מ וו,X5 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
8,722,32,2015,ב מ וו,X5 XDRIVE 30D,LUXURY,ב.מ.וו,X6,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.7,230,14.7,17.9,16.7,--,--,--,--,--,6,יש,יש,יש,1,1,אין,0,0,0,אין,אין,אין,אין,אין,יש,אין,אין,אין,--,490.9,198.9,170.2,293.3,550,1525,2140,"ק' 275/40R20 , א' 315/35R20",85,מקורית + שליטה מההגה,יש,אין,יש,10.2,אין,כונן קשיח + USB+ AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,1,1,יש,עור,יש  + זכרון,אין,אין,קסנון,יש,יש,יש,אחוריים + קדמיים,היקפיות,אין,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,יש,אין,יש,יש,יש,אין,יש,יש,רגילים,יש,"תיבת הילוכים והגה בכיול ספורטיבי, הגה מתכוונן חשמלית, סגירת ואקום לדלתות, מקלט טלוויזיה, מסילות גג, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 16 רמקולים, גימורי עץ"
9,722,32,2015,ב מ וו,X5 XDRIVE 30D,LUXURY,ב.מ.וו,X5,אחודה,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,6,יש,יש,יש,1,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--
