,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,DS,3,CHIC,2018,3,5,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,3.0,1199.0,110,3750,20.9,1500,9.9,188,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1090.0,,,,,195/55R16,50.0,2X4,1,5,1,3
1,DS,3,SO CHIC,2018,3,5,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,3.0,1199.0,110,3750,20.9,1500,9.9,188,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1090.0,,,,,205/45R17,50.0,2X4,1,5,1,3
2,DS,3,SPORT CHIC,2018,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1596.0,165,6000,24.4,1400,7.5,218,14.1,21.7,17.9,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1140.0,,,,,205/45R17,50.0,2X4,0,5,1,3
3,DS,3,CHIC,2017,3,5,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,3.0,1199.0,110,3750,20.9,1500,9.9,188,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1090.0,,,,,195/55R16,50.0,2X4,1,5,1,3
4,DS,3,SO CHIC,2017,3,5,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,3.0,1199.0,110,3750,20.9,1500,9.9,188,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1090.0,,,,,205/45R17,50.0,2X4,1,5,1,3
5,DS,3,SPORT CHIC,2017,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1596.0,165,6000,24.4,1400,7.5,218,14.1,21.7,17.9,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1140.0,,,,,205/45R17,50.0,2X4,0,5,1,3
6,DS,3,CHIC,2016,3,5,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,3.0,1199.0,110,3750,20.9,1500,9.9,188,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1090.0,,,,,195/55R16,50.0,2X4,1,5,1,3
7,DS,3,SO CHIC,2016,3,5,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,3.0,1199.0,110,3750,20.9,1500,9.9,188,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1090.0,,,,,205/45R17,50.0,2X4,1,5,1,3
8,DS,3,SPORT CHIC,2016,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1596.0,165,6000,24.4,1400,7.5,218,14.1,21.7,17.9,,,,,,ABS + EBD + BAS,6,יש,יש,394.8,171.5,148.3,245.2,285,980.0,1140.0,,,,,205/45R17,50.0,2X4,0,5,1,3
9,DS,4,TROCADERO,2022,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1598.0,225,5500,30.6,1900,7.9,235,,,15.1,,,,,,ABS + EBD + BAS,7,יש,יש,440.0,183.0,149.0,267.5,430,1240.0,1494.0,1990.0,496.0,740.0,1600.0,205/55R19,52.0,2X4,1,5,1,4
10,DS,4,PERFORMANCE LINE,2022,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1598.0,225,5500,30.6,1900,7.9,235,,,14.9,,,,,,ABS + EBD + BAS,7,יש,יש,440.0,183.0,149.0,267.5,430,1240.0,1494.0,1990.0,496.0,740.0,1600.0,205/55R19,52.0,2X4,1,5,1,4
11,DS,4,- TROCADERO,2022,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,היברידי נטען (טורבו-בנזין),4.0,1598.0,225,6000,36.7,3000,7.7,233,,,76.9,160.0,12.4,59.0,02:00,,ABS + EBD + BAS,7,יש,יש,440.0,183.0,149.0,267.5,390,1190.0,1728.0,2200.0,472.0,750.0,1400.0,205/55R19,40.0,2X4,1,5,1,4
12,DS,4,- CROSS RIVOLI,2022,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,היברידי נטען (טורבו-בנזין),4.0,1598.0,225,6000,36.7,3000,7.7,233,,,71.4,161.0,12.4,58.0,02:00,,ABS + EBD + BAS,7,יש,יש,440.0,183.0,149.0,267.5,390,1190.0,1728.0,2200.0,472.0,750.0,1400.0,205/55R19,40.0,2X4,1,5,1,4
