tozeret_cd,tozar,kinuy_mishari,ramat_gimur,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm,automatic_ind,mispar_halonot_hashmal,halon_bagg_ind,galgaley_sagsoget_kala_ind,argaz_ind,merkav,sug_degem,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,bakarat_yatzivut_ind,kosher_grira_im_blamim,kosher_grira_bli_blamim,technologiat_hanaa_cd,technologiat_hanaa_nm,bakarat_stiya_menativ_ind,bakarat_stiya_menativ_makor_hatkana,nitur_merhak_milfanim_ind,nitur_merhak_milfanim_makor_hatkana,zihuy_beshetah_nistar_ind,bakarat_shyut_adaptivit_ind,zihuy_holchey_regel_ind,zihuy_holchey_regel_makor_hatkana,maarechet_ezer_labalam_ind,matzlemat_reverse_ind,hayshaney_lahatz_avir_batzmigim_ind,hayshaney_hagorot_ind,teura_automatit_benesiya_kadima_ind,shlita_automatit_beorot_gvohim_ind,shlita_automatit_beorot_gvohim_makor_hatkana,zihuy_matzav_hitkarvut_mesukenet_ind,zihuy_tamrurey_tnua_ind,zihuy_rechev_do_galgali,zihuy_tamrurey_tnua_makor_hatkana,bakarat_stiya_activ_s,blima_otomatit_nesia_leahor,bakarat_mehirut_isa,n_model
139,מזדה,BT50,DX,2007,10,5,2500,3030,175.0,3.0,4X4,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2007,11,5,2500,3030,175.0,3.0,4X4,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2008,11,5,2500,3030,175.0,3.0,4X4,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2009,11,5,2500,3030,175.0,3.0,4X4,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2007,12,5,2500,2875,163.0,1.0,4X2,1,4,0,1,0,תא כפול,M,2,דיזל,4,143,5,0,1500,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2008,12,5,2500,2875,163.0,1.0,4X2,1,4,0,1,0,תא כפול,M,2,דיזל,4,143,5,0,1500,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2009,12,5,2500,2875,163.0,1.0,4X2,1,4,0,1,0,תא כפול,M,2,דיזל,4,143,5,0,1500,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2007,13,5,2953,3040,176.0,3.0,4X4,1,4,0,1,0,תא כפול,M,2,דיזל,4,156,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2008,13,5,2953,3040,176.0,3.0,4X4,1,4,0,1,0,תא כפול,M,2,דיזל,4,156,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2009,13,5,2953,3040,176.0,3.0,4X4,1,4,0,1,0,תא כפול,M,2,דיזל,4,156,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
