Unnamed: 0,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ,n_model
0,מזדה,2_סדאן,ACTIVE,2012,4,5,0,2,0.0,0,0,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.699999809265135,170.0,12.2,18.5,15.3,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.2999877929688,169.5,148.3000030517578,249.0,450.0,0.0,1030,0,0,185/55R15,43.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,['5']
1,מזדה,2_סדאן,ACTIVE,2011,4,5,0,2,0.0,0,0,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.699999809265135,170.0,12.2,18.5,15.3,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.2999877929688,169.5,148.3000030517578,249.0,450.0,0.0,1030,0,0,185/55R15,43.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,['5']
2,מזדה,2_סדאן,DYNAMIC,2011,4,5,0,2,0.0,0,0,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.699999809265135,170.0,12.2,18.5,15.3,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.2999877929688,169.5,148.3000030517578,249.0,450.0,0.0,1030,0,0,185/55R15,43.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים,0,0,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,הגה בלבד,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,['5']
3,מזדה,2_סדאן,DYNAMIC,2012,4,5,0,2,0.0,0,0,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.699999809265135,170.0,12.2,18.5,15.3,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.2999877929688,169.5,148.3000030517578,249.0,450.0,0.0,1030,0,0,185/55R15,43.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים,0,0,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,הגה בלבד,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,['5']
4,מזדה,2_סדאן,ACTIVE,2010,4,5,0,2,0.0,0,0,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.699999809265135,170.0,12.2,18.5,15.3,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.2999877929688,169.5,148.3000030517578,249.0,450.0,0.0,1030,0,0,185/55R15,43.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,['5']
5,מזדה,2_סדאן,DYNAMIC,2010,4,5,0,2,0.0,0,0,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.699999809265135,170.0,12.2,18.5,15.3,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.2999877929688,169.5,148.3000030517578,249.0,450.0,0.0,1030,0,0,185/55R15,43.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים,0,0,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,הגה בלבד,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,['5']
6,מזדה,CX3,ZOOM,2022,5,5,"118,900",2,2949.0,שלוש שנים,0,2014,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,15.199999809265135,4000,11.199999809265137,170.0,0.0,0.0,15.3,0,0,0,0,0,5.0,5.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,0,התרעה בלבד,0,0,0,0,0,0,0,0,מערכת AWACS בהתקנה מקומית,427.5,176.5,153.5,257.0,240.0,0.0,1315,630,1200,215/60R16,48.0,מקורית + שליטה מההגה,1,0,1,7.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים,0,1,1,בד,0,0,0,רגילים,0,1,1,0,אחורית,0,1,0,0,הנעה בלבד,1,0,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, חיפוי דלתות וקונסולה בעור שחור",2X4,1,1,0,['5']
7,מזדה,CX3,URBAN,2022,5,5,"125,900",2,3123.0,שלוש שנים,0,2014,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,15.199999809265135,4000,11.199999809265137,170.0,0.0,0.0,15.3,0,0,0,0,0,5.0,5.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,התרעה בלבד,0,0,0,0,1,0,0,0,0,427.5,176.5,153.5,257.0,240.0,0.0,1315,630,1200,215/50R18,48.0,מקורית + שליטה מההגה,1,0,1,7.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים,0,1,כולל שמירת מרחק,עור,0,0,0,LED,0,1,1,0,אחורית,0,1,0,1,כניסה + הנעה,1,0,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, חיפוי דלתות וקונסולה בעור אפור עם תפרים יחודיים, תאורה אחורית Led",2X4,1,1,0,['5']
8,מזדה,323_לאנטיס,,2001,4,5,0,1,0.0,שנתיים,0,1998,קדמית,אוטומטית,4,בנזין,4,1598,109,5500,14.0,3600,12.800000190734865,171.0,0.0,0.0,11.8,0,0,0,0,0,0.0,אין ציון,ABS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5,170.5,141.0,261.0,416.0,0.0,1170,0,0,185/65R14,55.0,לא מקורית,0,0,0,0.0,0,0,0,0,0,2,מזגן רגיל,0,אופציונלי,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,['5']
9,מזדה,323_לאנטיס,,2003,4,5,0,1,0.0,שנתיים,0,1998,קדמית,אוטומטית,4,בנזין,4,1598,105,5500,14.0,3600,12.800000190734865,171.0,0.0,0.0,11.8,0,0,0,0,0,0.0,אין ציון,ABS,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5,170.5,141.0,261.0,416.0,0.0,1170,0,0,185/65R14,55.0,לא מקורית,0,0,0,0.0,0,0,0,0,0,2,מזגן רגיל,0,אופציונלי,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,['5']
