make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
סיאט,איביזה_SC,Sport,2011,3,5,--,2,--,--,--,2008,קדמית,ידנית,5,טורבו בנזין,4,1197,105,5000,17.8,1550,9.8,190,14.7,22.2,18.8,--,--,--,--,--,3,3,ABS + EBD,4,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.4,169.3,142.8,246.9,284,--,1015,--,--,215/45R16,45,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,2,מזגן רגיל,גג שמש פנוראמי,יש,יש,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,יש,אין,יש,--,--,--,--,--,--,--,--,--,--,--
סיאט,איביזה_SC,,2016,3,5,--,2,2726,--,--,2008,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,110,5000,20.4,2000,9.3,197,18.8,25.6,22.7,--,--,--,--,--,3,3,ABS + EBD,4,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,406.6,169.3,142.4,246.9,292,554,1034,--,--,215/45R16,45,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,2,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,מראות פנים,יש,--,--,--,--,--,--,--,--,--,--,חבילות צבע הכוללות אביזרי עיצוב פנים וחוץ בהתאמה אישית
סיאט,איביזה_SC,Stylance,2009,3,5,--,2,--,--,--,2008,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,4,1598,105,5600,15.6,3800,10.1,188,--,--,16.1,--,--,--,--,--,4,4,ABS + EBD + BAS,6,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.4,169.3,142.8,246.9,284,--,1120,--,--,185/60R15,45,ללא,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
סיאט,איביזה_SC,Special,2010,3,5,--,2,--,--,--,2008,קדמית,ידנית,5,בנזין,4,1390,85,5600,13.5,3800,11.8,177,--,--,16.1,--,--,--,--,--,4,4,ABS + EBD,6,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.4,169.3,142.8,246.9,284,--,1000,--,--,215/45R16,45,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,יש,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
סיאט,איביזה_SC,,2015,3,5,--,2,--,--,--,2008,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,110,5000,20.4,2000,9.3,197,18.8,25.6,22.7,--,--,--,--,--,3,3,ABS + EBD,4,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,406.6,169.3,142.4,246.9,292,554,1065,--,--,215/45R16,45,מקורית + שליטה מההגה,יש,אין,יש,--,אין,AUX,--,--,אין,2,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,מראות פנים,יש,--,--,--,--,--,--,--,--,--,--,חבילות צבע הכוללות אביזרי עיצוב פנים וחוץ בהתאמה אישית
סיאט,איביזה_SC,Sport,2014,3,5,--,1,--,--,--,2008,קדמית,ידנית,5,בנזין,4,1390,85,5600,13.2,3800,11.8,177,12.5,21.2,16.9,--,--,--,--,--,5,5,ABS + EBD,4,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,406.1,169.3,144.5,246.9,284,--,1075,--,--,215/45R16,45,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,2,מזגן רגיל,גג שמש פנוראמי,יש,יש,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,מראות פנים,יש,--,--,--,--,--,--,--,--,--,--,--
סיאט,איביזה_SC,,2014,3,5,--,2,--,--,--,2008,קדמית,ידנית,5,טורבו בנזין,4,1197,105,5000,17.5,1550,9.8,190,14.7,22.2,18.8,--,--,--,--,--,4,4,ABS + EBD,4,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,406.1,169.3,144.5,246.9,284,--,1090,--,--,215/45R16,45,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,2,בקרת אקלים מפוצלת,גג שמש פנוראמי,יש,יש,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,מראות פנים,יש,--,--,--,--,--,--,--,--,--,--,--
סיאט,איביזה_SC,,2015,3,5,--,2,--,--,--,2008,קדמית,ידנית,6,טורבו בנזין,3,999,110,5000,20.4,2000,9.2,197,19.2,26.3,23.2,--,--,--,--,--,3,3,ABS + EBD,4,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,406.6,169.3,142.4,246.9,292,554,1034,--,--,215/45R16,45,מקורית + שליטה מההגה,יש,אין,יש,--,אין,AUX,--,--,אין,2,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,מראות פנים,יש,--,--,--,--,--,--,--,--,--,--,חבילות צבע הכוללות אביזרי עיצוב פנים וחוץ בהתאמה אישית
סיאט,איביזה_SC,Sport,2009,3,5,--,2,--,--,--,2008,קדמית,ידנית,5,בנזין,4,1598,105,5600,15.6,3800,10.4,189,--,--,15.1,--,--,--,--,--,4,4,ABS + EBD,6,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.4,169.3,142.8,246.9,284,--,1115,--,--,215/45R16,45,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
סיאט,איביזה_SC,Sport,2012,3,5,--,2,--,--,--,2008,קדמית,ידנית,5,בנזין,4,1390,85,5600,13.2,3800,11.8,177,12.5,21.2,16.9,--,--,--,--,--,4,4,ABS + EBD,4,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,406.1,169.3,144.5,246.9,284,--,1075,--,--,215/45R16,45,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,2,מזגן רגיל,גג שמש פנוראמי,יש,יש,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,מראות פנים,יש,--,--,--,--,--,--,--,--,--,--,--
