make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
פולקסווגן,קאדי,Life,2022,5,7,"199,900",5,4958,שנתיים,--,2020,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו דיזל,4,1968,122,2750,32.6,1600,11.8,186,--,--,18.8,--,--,--,--,--,10,10,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,יש,היגוי אקטיבי,אין,אין,אין,אין,אין,אין,אין,אין,--,485.3,185.5,180.0,297.0,629,1452,1805,750,1500,215/55R17,55,מקורית + שליטה מההגה,יש,אין,יש,8.2,אין,USB,Android Auto + Apple CarPlay,אין,אין,2,מזגן רגיל + פתחי אוורור מאחור,אין,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אחורית,אין,יש,יש,אין,הנעה בלבד,יש,אין,הגה בלבד,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,"שולחנות מתקפלים בגב המושבים הקדמיים, 4 שקעי USB Type C, מראות צד מחוממות","דלתות כנף אחוריות, הכנה לוו גרירה, חיישני חניה מקוריים, חניה אוטומטית"
פולקסווגן,קאדי,Life,2022,5,5,"197,900",5,4908,שנתיים,--,2020,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו דיזל,4,1968,122,2750,32.6,1600,11.8,186,--,--,18.8,--,--,--,--,--,10,10,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,יש,היגוי אקטיבי,אין,אין,אין,אין,אין,אין,אין,אין,--,485.3,185.5,180.0,297.0,1452,2265,1805,750,1500,215/55R17,55,מקורית + שליטה מההגה,יש,אין,יש,8.2,אין,USB,Android Auto + Apple CarPlay,אין,אין,2,מזגן רגיל + פתחי אוורור מאחור,אין,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אחורית,אין,יש,יש,אין,הנעה בלבד,יש,אין,הגה בלבד,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,"שולחנות מתקפלים בגב המושבים הקדמיים, 4 שקעי USB Type C, מראות צד מחוממות","דלתות כנף אחוריות, הכנה לוו גרירה, חיישני חניה מקוריים, חניה אוטומטית"
פולקסווגן,גולף,Trendline,2015,5,5,--,3,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1395,125,5000,20.4,1400,9.1,204,16.4,23.3,20,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,יש,אין,אין,אין,אין,מערכת למניעת תאונות משניות,425.5,179.9,145.2,263.7,380,1270,1174,620,750,195/65R15,50,מקורית + שליטה מההגה,יש,אין,יש,--,אופציונלי,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,בד,אין,אין,אין,רגילים,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,יש,אין,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית,"חיישני חניה אחוריים, מצלמת רוורס"
פולקסווגן,גולף,Trendline,2013,5,5,--,4,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1390,122,5000,20.4,1400,9.3,203,16.1,23.2,20,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,מערכת למניעת תאונות משניות,425.5,179.9,145.2,263.7,380,1270,1174,620,750,195/65R15,50,מקורית + שליטה מההגה,יש,אין,יש,5.8,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אין,אין,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית,--
פולקסווגן,גולף,Trendline,2018,5,5,--,3,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1395,125,5000,20.4,1400,9.1,204,16.1,22.7,19.6,--,--,--,--,--,7,7,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,אין,אין,יש,אין,אין,אין,אין,יש,אין,אין,אין,אין,"מערכת למניעת תאונות משניות, מערכת ""מובילאיי"" בהתקנה מקומית",425.8,179.0,143.7,262.0,380,1270,1291,640,1400,195/65R15,50,מקורית + שליטה מההגה,יש,אין,יש,8,אופציונלי,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,יש,אין,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית,"חיישני חניה אחוריים, מצלמת רוורס"
פולקסווגן,גולף,Trendline,2013,5,5,--,3,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1197,105,4500,17.8,1400,10.2,192,17.8,22.7,20.8,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,מערכת למניעת תאונות משניות,425.5,179.9,145.2,263.7,380,1270,1154,630,750,195/65R15,50,מקורית,אין,אין,יש,5,אין,AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,אין,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אין,אין,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית,--
פולקסווגן,גולף,Comfortline,2019,5,5,--,3,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,115,5000,20.4,2000,9.8,198,18.5,22.7,20.8,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,אין,אין,יש,היגוי אקטיבי,אין,אין,אין,יש,אין,אין,אין,אין,--,425.8,179.0,143.7,262.0,380,1270,1265,630,1300,205/55R16,50,מקורית + שליטה מההגה,יש,אין,יש,8,אופציונלי,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אין,אין,אין,יש,אין,אין,אין,יש,מראות פנים,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית,"חיישני חניה אחוריים, מצלמת רוורס"
פולקסווגן,גולף,Enjoy,2015,5,5,--,3,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1197,105,4500,17.8,1400,10.2,192,17.8,22.7,20.8,--,--,--,--,--,7,7,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,מערכת למניעת תאונות משניות,425.5,179.9,145.2,263.7,380,1270,1154,610,750,195/65R15,50,מקורית + שליטה מההגה,יש,אין,יש,--,אופציונלי,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אין,אין,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית,"חיישני חניה אחוריים, מצלמת רוורס"
פולקסווגן,גולף,Comfortline,2014,5,5,--,5,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1390,122,5000,20.4,1400,9.3,203,16.1,23.2,20,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,מערכת למניעת תאונות משניות,425.5,179.9,145.2,263.7,380,1270,1174,620,750,205/55R16,50,מקורית + שליטה מההגה,יש,אין,יש,5.8,אופציונלי,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,בד,אין,אין,אין,רגילים,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,"מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית, מושבים משודרגים","חיישני חניה אחוריים, מצלמת רוורס"
פולקסווגן,גולף,Enjoy,2014,5,5,--,3,--,--,--,2012,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1197,105,4500,17.8,1400,10.2,192,17.8,22.7,20.8,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,מערכת למניעת תאונות משניות,425.5,179.9,145.2,263.7,380,1270,1154,610,750,195/65R15,50,מקורית + שליטה מההגה,יש,אין,יש,5.8,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אין,אין,יש,אין,אין,אין,אין,אין,יש,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,מערכת X.D.S המדמה נעילת דיפרנציאל אלקטרונית,"חיישני חניה אחוריים, מצלמת רוורס"
