tozeret_cd,degem_cd,shnat_yitzur,size
11,1,2013,13
11,2,2013,33
11,2,2014,20
11,3,2014,30
11,4,2016,34
11,4,2017,8
11,6,2016,14
19,1,2011,12
19,2,2011,8
19,3,2011,17
19,4,2011,19
19,5,2011,11
19,7,2011,17
19,9,2011,12
19,12,2007,18
19,13,2011,19
19,14,2008,9
19,14,2011,11
19,21,2008,8
19,22,2008,8
19,26,2012,11
19,26,2013,49
19,27,2008,13
19,27,2013,20
19,28,2008,11
19,35,2008,11
19,44,2013,14
19,58,2012,15
19,64,2012,20
19,73,2012,25
19,106,2013,29
19,112,2013,16
19,125,2013,23
19,136,2013,15
19,139,2013,37
19,142,2013,8
19,143,2013,84
19,145,2013,18
19,146,2013,56
19,147,2013,166
19,148,2013,120
19,149,2013,17
19,152,2013,72
19,153,2013,49
19,163,2013,17
19,164,2013,20
19,173,2013,8
19,174,2013,44
19,179,2013,19
19,201,2002,16
19,201,2004,8
19,205,2013,20
19,206,2013,48
19,207,2013,47
19,208,2013,24
19,213,2013,9
19,239,2013,18
19,250,2008,9
19,255,2013,20
19,287,2014,11
19,289,2014,9
19,295,2014,64
19,296,2014,27
19,297,2014,14
19,298,2014,28
19,303,2014,10
19,304,2014,48
19,305,2014,12
19,306,2014,18
19,309,2014,9
19,320,2009,8
19,328,2014,19
19,348,2014,27
19,354,2014,10
19,363,2014,8
19,368,2014,8
19,372,2014,79
19,372,2015,133
19,372,2016,24
19,373,2014,75
19,373,2015,87
19,373,2016,13
19,374,2014,13
19,374,2015,12
19,376,2014,10
19,389,2014,8
19,393,2015,13
19,411,2004,8
19,411,2007,11
19,412,2007,9
19,412,2008,15
19,415,2015,17
19,417,2015,9
19,418,2014,16
19,418,2015,39
19,418,2016,17
19,419,2014,8
19,419,2015,107
19,423,2015,47
19,423,2016,58
19,431,2004,9
19,431,2006,9
19,431,2007,19
19,432,2007,9
19,448,2015,18
19,448,2016,8
19,449,2015,14
19,452,2016,11
19,453,2014,17
19,453,2015,99
19,453,2016,23
19,454,2014,11
19,454,2015,57
19,455,2015,14
19,455,2016,18
19,463,2014,8
19,468,2015,55
19,468,2016,70
19,468,2017,8
19,473,2015,13
19,473,2016,8
19,474,2015,10
19,474,2016,16
19,476,2015,14
19,476,2017,15
19,483,2016,10
19,483,2017,8
19,484,2015,15
19,484,2016,10
19,485,2015,27
19,485,2016,28
19,485,2017,19
19,486,2015,10
19,486,2016,10
19,487,2015,12
19,487,2016,10
19,488,2015,9
19,488,2016,9
19,503,2015,38
19,503,2016,20
19,509,2015,42
19,512,2015,9
19,525,2015,8
19,525,2016,19
19,526,2016,25
19,529,2015,9
19,529,2016,18
19,533,2016,12
19,534,2016,10
19,537,2016,16
19,538,2016,15
19,539,2016,8
19,544,2016,70
19,545,2016,85
19,547,2016,28
19,548,2016,25
19,550,2016,21
19,552,2016,97
19,553,2016,62
19,554,2016,9
19,555,2016,62
19,557,2016,15
19,558,2016,69
19,558,2017,52
19,559,2016,66
19,559,2017,21
19,563,2016,115
19,564,2016,44
19,565,2016,46
19,567,2016,8
19,568,2016,10
19,569,2016,97
19,569,2017,41
19,570,2016,34
19,570,2017,12
19,572,2016,8
19,573,2016,23
19,573,2017,9
19,574,2016,8
19,574,2017,8
19,580,2016,22
19,582,2016,11
19,584,2016,14
19,585,2016,25
19,586,2016,24
19,587,2016,12
19,588,2016,24
19,594,2017,14
19,595,2016,12
19,595,2017,11
19,639,2017,64
19,641,2001,11
19,642,2017,190
19,647,2017,35
19,648,2017,10
19,656,2017,63
19,657,2017,20
19,658,2017,71
19,660,2017,8
19,663,2017,123
19,666,2017,102
19,667,2017,51
19,668,2017,12
19,677,2017,12
19,678,2017,13
19,685,2017,89
19,686,2017,17
19,698,2017,8
19,700,2017,13
19,704,2017,37
19,714,2017,8
19,731,2001,8
19,745,2017,14
19,1191,2005,8
19,1261,2001,24
19,1391,2006,19
19,1391,2007,22
19,1441,2006,8
19,1541,2006,15
19,1541,2007,24
19,1542,2008,36
19,1571,2006,14
19,1571,2007,18
19,1572,2007,8
19,1572,2008,31
19,1581,2005,9
19,1581,2006,22
19,1581,2007,21
19,1582,2007,16
19,1582,2008,44
19,1582,2009,16
19,1621,2007,10
19,1623,2008,11
19,1681,2007,15
19,1682,2008,13
19,1691,2006,19
19,1691,2007,28
19,1692,2007,27
19,1692,2008,44
19,1711,2006,12
19,1711,2007,9
19,1712,2008,12
19,1731,2007,9
19,1811,2006,8
19,1811,2007,9
19,1812,2008,10
19,1922,2008,12
19,1951,2008,39
19,1971,2008,15
19,1981,2008,35
19,1991,2008,12
19,2021,2008,12
19,2041,2008,12
19,2061,2008,47
19,2071,2008,14
19,2081,2008,13
19,2141,2008,12
19,2151,2008,8
19,2171,2008,13
19,2171,2009,8
19,2181,2009,14
19,2191,2008,8
19,2191,2009,10
19,2251,2008,39
19,2251,2009,84
19,2261,2010,9
19,2261,2011,8
19,2271,2009,19
19,2281,2008,14
19,2281,2009,30
19,2291,2009,11
19,2301,2008,12
19,2301,2009,34
19,2311,2009,10
19,2321,2008,12
19,2321,2009,32
19,2351,2009,18
19,2371,2009,27
19,2381,2009,61
19,2411,2009,10
19,2461,2009,23
19,2481,2009,9
19,2491,2009,39
19,2491,2010,12
19,2511,2009,21
19,2521,2009,31
19,2531,2009,12
19,2591,2009,33
19,2591,2010,16
19,2591,2011,18
19,2641,2009,68
19,2641,2010,62
19,2641,2011,92
19,2651,2009,108
19,2651,2010,48
19,2651,2011,85
19,2671,2009,18
19,2671,2010,8
19,2671,2011,9
19,2681,2009,62
19,2681,2010,29
19,2681,2011,58
19,2681,2012,15
19,2931,2010,20
19,2931,2011,16
19,3031,2010,24
19,3031,2011,27
19,3101,2003,8
19,3121,2010,10
19,3121,2011,15
19,3121,2012,10
19,3171,2010,10
19,3191,2010,15
19,3211,2010,21
19,3481,2011,15
19,3541,2003,16
19,3541,2004,8
19,3541,2005,11
19,3571,2011,33
21,26,2013,9
21,27,2013,9
21,39,2013,20
21,40,2013,33
21,41,2009,23
21,51,2009,11
21,63,2014,19
21,69,2015,54
21,79,2016,23
21,80,2015,14
21,80,2016,120
21,80,2017,50
21,84,2015,11
21,84,2016,26
21,84,2017,17
21,86,2016,9
21,87,2016,10
21,96,2016,33
21,97,2016,10
21,98,2016,17
21,99,2016,76
21,99,2017,54
21,104,2017,11
21,109,2017,8
21,191,2009,8
21,201,2009,28
21,411,2011,8
21,451,2010,8
21,451,2011,17
21,571,2011,17
32,1,2012,52
32,3,2012,25
32,5,2013,10
32,7,2013,8
32,14,2013,9
32,15,2013,8
32,16,2013,8
32,23,2012,10
32,23,2013,33
32,48,2013,8
32,51,2008,21
32,51,2009,11
32,52,2013,34
32,54,2013,122
32,55,2013,16
32,61,2008,9
32,61,2010,12
32,91,2008,12
32,113,2015,9
32,160,2016,15
32,160,2017,19
32,161,2010,12
32,161,2011,25
32,161,2012,27
32,179,2016,26
32,179,2017,71
32,181,2010,24
32,181,2011,27
32,182,2016,14
32,182,2017,27
32,184,2016,9
32,184,2017,22
32,186,2016,19
32,186,2017,19
32,188,2016,27
32,188,2017,21
32,193,2017,10
32,194,2016,15
32,194,2017,23
32,200,2017,8
32,590,2002,10
32,591,2002,10
32,591,2006,8
32,711,2002,10
33,2,2012,15
33,2,2013,26
33,4,2013,38
33,11,2002,10
33,14,2015,13
33,15,2015,13
33,17,2015,13
33,18,2015,14
33,25,2015,12
33,29,2015,11
33,48,2015,179
33,48,2016,118
33,49,2015,8
33,56,2015,16
33,57,2015,34
33,57,2016,24
33,63,2015,25
33,63,2016,26
33,64,2015,8
33,76,2015,14
33,76,2016,19
33,77,2015,8
33,82,2016,142
33,82,2017,44
33,86,2016,68
33,88,2016,14
33,88,2017,11
33,92,2016,14
33,92,2017,22
33,93,2016,42
33,94,2016,10
33,96,2016,14
33,99,2016,15
33,105,2016,13
33,112,2016,13
33,241,2002,12
33,261,2003,8
33,261,2005,8
33,531,2008,21
33,581,2011,97
33,581,2012,47
33,581,2013,12
33,591,2011,42
33,621,2011,12
33,641,2011,183
33,641,2012,38
33,641,2013,12
33,651,2011,94
33,742,2008,14
