kinuy_mishari,ramat_gimur,shnat_yitzur,merkav,,,,,,,,,,,,,,,,,,,,,,,,
120I,,2008,???????,,,,,,,,,,,,,,,,,,,,,,,,
120I,,2009,???????,,,,,,,,,,,,,,,,,,,,,,,,
120I,,2010,???????,,,,,,,,,,,,,,,,,,,,,,,,
120I,,2011,???????,,,,,,,,,,,,,,,,,,,,,,,,
120I,,2012,???????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2009,???????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2008,???????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2009,???????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2010,???????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2011,???????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2012,???????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2008,????,,,,,,,,,,,,,,,,,,,,,,,,
125I,,2009,????,,,,,,,,,,,,,,,,,,,,,,,,
135I,,2008,???????,,,,,,,,,,,,,,,,,,,,,,,,
135I,,2009,???????,,,,,,,,,,,,,,,,,,,,,,,,
135I,,2010,???????,,,,,,,,,,,,,,,,,,,,,,,,
1SERIES M COUPE,,2011,????,,,,,,,,,,,,,,,,,,,,,,,,
1SERIES M COUPE,,2012,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2019,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,SPORT,2020,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,M-SPORT,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,M-SPORT,2019,????,,,,,,,,,,,,,,,,,,,,,,,,
218I,M-SPORT,2020,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2015,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2015,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2015,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2016,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2015,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2016,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2016,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2016,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2019,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2019,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2019,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2020,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2021,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2018,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2019,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2020,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2021,???????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2014,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2015,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2014,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2015,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2015,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2015,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2015,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2015,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2015,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2016,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2019,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2019,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,BUSINESS,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2017,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,SPORT,2019,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2018,????,,,,,,,,,,,,,,,,,,,,,,,,
220I,LUXURY,2019,????,,,,,,,,,,,,,,,,,,,,,,,,
318CI,,2005,???????,,,,,,,,,,,,,,,,,,,,,,,,
318CI,,2004,???????,,,,,,,,,,,,,,,,,,,,,,,,
318CI,,2005,????,,,,,,,,,,,,,,,,,,,,,,,,
318CI,,2006,????,,,,,,,,,,,,,,,,,,,,,,,,
318CI VALVE,,2004,????,,,,,,,,,,,,,,,,,,,,,,,,
320CI,,2004,???????,,,,,,,,,,,,,,,,,,,,,,,,
320CI,,2005,???????,,,,,,,,,,,,,,,,,,,,,,,,
320CI,,2004,????,,,,,,,,,,,,,,,,,,,,,,,,
320CI,,2005,????,,,,,,,,,,,,,,,,,,,,,,,,
320CI,,2006,????,,,,,,,,,,,,,,,,,,,,,,,,
320I,,2007,???????,,,,,,,,,,,,,,,,,,,,,,,,
320I,,2008,???????,,,,,,,,,,,,,,,,,,,,,,,,
