,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
0,שברולט,קרוז,Premier,2018,4,5,--,3,--,--,--,2015,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1399,153,5600,24.4,2000,7.7,215,12.3,16.6,14.0,--,--,--,--,--,7,אין ציון,ABS + EBD,10,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",466.6,179.1,145.8,270.0,394,--,1362,0.0,0.0,225/45R17,52,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים,אין,יש,יש,עור,יש - לנהג בלבד,מלפנים,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,אין,מראות פנים,הגה בלבד,אין,אין,אין,אין,אין,יש,אין,רגילים,אין,"מערכת ""Teen Driver"" המדווחת על מאפייני הנהיגה לבעל הרכב, בלם חניה בתפעול רגלי, הנעה מרחוק",--
1,שברולט,קרוז,,2018,4,5,--,3,--,--,--,2015,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1399,153,5600,24.4,2000,7.7,215,12.8,16.9,14.4,--,--,--,--,--,7,אין ציון,ABS + EBD,10,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",466.6,179.1,145.8,270.0,394,--,1333,0.0,0.0,205/55R16,52,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,מזגן רגיל,אין,יש,יש,בד,אין,אין,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,"מערכת ""Teen Driver"" המדווחת על מאפייני הנהיגה לבעל הרכב, בלם חניה בתפעול רגלי",--
2,שברולט,קרוז,,2019,4,5,--,3,--,--,--,2015,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1399,153,5600,24.4,2000,7.7,215,12.8,16.9,14.4,--,--,--,--,--,7,אין ציון,ABS + EBD,10,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",466.6,179.1,145.8,270.0,394,--,1333,0.0,0.0,205/60R16,52,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,מזגן רגיל,אין,יש,יש,בד,אין,אין,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,"מערכת ""Teen Driver"" המדווחת על מאפייני הנהיגה לבעל הרכב, בלם חניה בתפעול רגלי",--
3,שברולט,קרוז,Premier,2017,4,5,--,3,--,--,--,2015,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1399,153,5600,24.4,2000,7.7,215,12.3,16.6,14.0,--,--,--,--,--,7,אין ציון,ABS + EBD,10,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,466.6,179.1,145.8,270.0,394,--,1362,0.0,0.0,225/45R17,52,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים,אין,יש,יש,עור,יש - לנהג בלבד,מלפנים,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,אין,מראות פנים,הגה בלבד,אין,אין,אין,אין,אין,יש,אין,רגילים,אין,"מערכת ""Teen Driver"" המדווחת על מאפייני הנהיגה לבעל הרכב, בלם חניה בתפעול רגלי, הנעה מרחוק",--
4,שברולט,קרוז,,2017,4,5,--,3,--,--,--,2015,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1399,153,5600,24.4,2000,7.7,215,12.8,16.9,14.4,--,--,--,--,--,7,אין ציון,ABS + EBD,10,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,466.6,179.1,145.8,270.0,394,--,1333,0.0,0.0,205/55R16,52,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,מזגן רגיל,אין,יש,יש,בד,אין,אין,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,"מערכת ""Teen Driver"" המדווחת על מאפייני הנהיגה לבעל הרכב, בלם חניה בתפעול רגלי",--
5,שברולט,בלייזר,,2022,5,5,"289,990",6,7192,שלוש שנים,אחודה,2018,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,1997,230,5000,35.7,1500,8.0,209,8.9,11.5,--,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,יש,היגוי אקטיבי,התרעה בלבד,אין,אין,אין,יש,אין,אין,אין,בקרת שיוט אדפטיבית עם פונקציית זחילה בפקקים,486.3,194.7,170.3,286.3,864,1818,1938,680,680,235/55R20,82,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,Android Auto + Apple CarPlay,יש,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים + אוורור,אין,LED,יש,אין,יש,אחוריים,היקפיות + מבט על,אין,יש,אין,אין,כניסה + הנעה,אין,מראות צד + פנים,יש,יש,אין,אין,יש,יש,יש,אין,רגילים,יש - ללא מגע,"מראה מרכזית עם תצוגת וידאו, בלוטות' עם אפשרות חיבור שני מכשירים במקביל, 6 שקעי USB, מערכת ביטול רעשים, הגה מתכוונן חשמלית, מערכת שמע מתוצרת BOSE עם 8 רמקולים, חבילת עיצוב RS: לוגו שברולט מושחר, גימורים חיצוניים ופנימיים בשחור מבריק, נגיעות אדומות בריפוד ובפתחי המיזוג, שבכה קדמית בעיצוב כוורת","חישוקי ""21"
6,שברולט,בלייזר,Premier,2022,5,5,"284,990",6,7068,שלוש שנים,אחודה,2018,כפולה (4X4),אוטומטית - טיפטרוניק,9,בנזין,6,3649,305,6600,37.2,5000,6.8,209,7.6,10.6,--,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,יש,היגוי אקטיבי,התרעה בלבד,אין,אין,אין,יש,אין,אין,אין,בקרת שיוט אדפטיבית עם פונקציית זחילה בפקקים,486.3,194.7,170.3,286.3,864,1818,1985,680,2041,235/55R20,82,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,Android Auto + Apple CarPlay,יש,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים + אוורור,אין,LED,יש,אין,יש,אחוריים,היקפיות + מבט על,אין,יש,אין,אין,כניסה + הנעה,אין,מראות צד + פנים,יש,יש,אין,אין,יש,יש,יש,אין,רגילים,יש - ללא מגע,"מראה מרכזית עם תצוגת וידאו, בלוטות' עם אפשרות חיבור שני מכשירים במקביל, 6 שקעי USB, מערכת ביטול רעשים, מצלמה לחיבור נגרר, הגה מתכוונן חשמלית, מערכת שמע מתוצרת BOSE עם 8 רמקולים, חבילת עיצוב Premier: לוגו שברולט מוזהב, גימורי כרום חיצוניים ופנימיים, אופציה לריפוד בהיר",--
7,שברולט,אבאו_סדאן,,2007,4,5,--,2,--,--,--,2005,קדמית,אוטומטית,4,בנזין,4,1399,94,6400,13.3,4200,12.3,170,--,--,15.6,--,--,--,--,--,--,--,ABS + EBD,4,אין,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,431.8,170.2,149.9,248.9,350,--,1036,--,--,185/60R14,45,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,שליטה מההגה על מערכת השמע
8,שברולט,אבאו_סדאן,,2006,4,5,--,2,--,--,--,2005,קדמית,אוטומטית,4,בנזין,4,1399,94,6400,13.3,4200,12.3,170,--,--,15.6,--,--,--,--,--,--,--,ABS + EBD,4,אין,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,431.8,170.2,149.9,248.9,350,--,1036,--,--,185/60R14,45,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,שליטה מההגה על מערכת השמע
9,שברולט,אבאו_סדאן,,2008,4,5,--,2,--,--,--,2005,קדמית,אוטומטית,4,בנזין,4,1399,94,6400,13.3,4200,12.3,170,--,--,15.6,--,--,--,--,--,--,--,ABS + EBD,4,אין,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,431.8,170.2,149.9,248.9,350,--,1036,--,--,185/60R14,45,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,שליטה מההגה על מערכת השמע
