make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ,model_nm,hanaa_nm,automatic_ind,delek_cd
קיה,נירו,,2022,5,5,"184,900",5,3586,חמש שנים,אחודה,2016,קדמית,תמסורת ישירה,--,חשמלי,--,0,204,3800,40.3,--,7.8,167,--,--,--,159,64,455,09:35,01:15,1,1,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,1,1,1,היגוי אקטיבי,התרעה בלבד,יש,אין,יש,יש,אין,אין,יש,התרעת תחילת תנועה של רכב מלפנים,437.5,180.5,156.0,270.0,451,1405,1825,0.0,0.0,215/55R17,--,מקורית + שליטה מההגה,יש,אין,יש,8,אין,USB,Android Auto + Apple CarPlay,יש,אין,4,בקרת אקלים + פתחי איוורור מאחור,0,1,כולל שמירת מרחק,בד משולב עור,יש - לנהג בלבד,אין,אין,רגילים,אין,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,יש,יש,אין,יש + Auto Hold,יש,אין,רגילים,אין,"חלונות אחוריים כהים, בורר הילוכים Shift By Wire",--,0,2X4,1,4
קיה,נירו,,2022,5,5,"157,900",4,2916,חמש שנים,אחודה,2016,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,היברידי נטען (בנזין),4,1580,141,5700,27,4000,10.8,172,--,--,71.4,122,8.9,49,02:15,--,1,1,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,1,1,1,היגוי אקטיבי,אין,אין,אין,יש,יש,אין,אין,אין,--,435.5,180.5,154.5,270.0,324,1322,1594,0.0,0.0,205/60R16,43,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים מפוצלת,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,אין,יש,אין,אחורית,אין,יש,אין,אין,אין,יש,אין,יש,אין,אין,יש,אין,יש + Auto Hold,אין,אין,רגילים,אין,מראות צד מחוממות,--,0,2X4,1,7
קיה,נירו,,2022,5,5,"158,900",4,2941,חמש שנים,אחודה,2016,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,היברידי נטען (בנזין),4,1580,141,5700,27,4000,10.8,172,--,--,71.4,122,8.9,49,02:15,--,1,1,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,1,1,1,היגוי אקטיבי,אין,אין,אין,יש,יש,אין,אין,אין,--,435.5,180.5,154.5,270.0,324,1322,1594,0.0,0.0,205/60R16,43,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,0,1,כולל שמירת מרחק,בד משולב עור,אין,אין,אין,רגילים,יש,יש,יש,אחוריים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,יש + Auto Hold,יש,אין,רגילים,אין,"מראות צד מחוממות, מטען USB, ידיות פנימיות בגימור כרום, ידיות דלתות בגימור כסוף, חלונות אחוריים כהים",--,0,2X4,1,7
קיה,נירו,PLUS,2022,5,5,"158,500",4,2931,חמש שנים,אחודה,2016,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,היברידי נטען (בנזין),4,1580,141,5700,27,4000,10.8,172,--,--,71.4,122,8.9,49,02:15,--,1,1,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,1,1,1,היגוי אקטיבי,אין,אין,אין,יש,יש,אין,אין,אין,--,435.5,180.5,154.5,270.0,324,1322,1594,0.0,0.0,205/60R16,43,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים מפוצלת,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,אין,יש,אין,אחורית,אין,יש,יש,אין,אין,יש,אין,יש,אין,אין,יש,אין,יש + Auto Hold,אין,אין,רגילים,אין,מראות צד מחוממות,--,0,2X4,1,7
קיה,נירו,URBAN,2022,5,5,"151,900",4,3268,חמש שנים,אחודה,2016,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,היברידי (בנזין),4,1580,141,5700,27,4000,11.5,162,--,--,20.4,--,--,--,--,--,3,3,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,1,1,1,היגוי אקטיבי,אין,אין,אין,יש,יש,אין,אין,יש,--,435.5,180.5,154.5,270.0,401,1399,1490,0.0,0.0,205/60R16,45,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים מפוצלת,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,אין,יש,אחוריים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,חלונות אחוריים כהים,--,0,2X4,1,7
קיה,ריו,,2022,5,5,"107,900",2,2676,שבע שנים,--,2016,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,998,100,4500,17.5,1500,11.4,185,--,--,17.8,--,--,--,--,--,5,5,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,1,0,היגוי אקטיבי,אין,אין,אין,יש,יש,אין,אין,יש,--,406.5,172.5,145.0,258.0,300,1078,1200,450,900,185/65R15,45,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים,0,1,יש,בד,אין,אין,אין,רגילים,יש,אין,יש,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,אין,יש,אין,אין,יש,יש,אין,אין,אין,רגילים,אין,"שקע USB מאחור, חלונות אחוריים כהים, תאורה עוקבת פניה",--,0,2X4,1,1
קיה,סול,,2018,5,5,--,2,3098,--,--,2013,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1591,132,6300,16.4,4850,--,--,10.4,15.3,13.1,--,--,--,--,--,13,13,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,0,--,--,--,--,--,--,--,--,--,414.0,180.0,159.3,257.0,354,994,1320,0,0,205/60R16,54,מקורית + שליטה מההגה,יש,אין,יש,--,אין,כונן קשיח + USB+ AUX,--,--,אין,4,בקרת אקלים,0,1,יש,בד,אין,אין,--,רגילים,יש,אין,יש,אין,אחורית,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--,0,2X4,1,1
קיה,סול,,2017,5,5,--,3,3321,--,--,2013,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1591,132,6300,16.4,4850,--,--,10.4,15.3,13.1,--,--,--,--,--,13,13,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,0,--,--,--,--,--,--,--,--,--,414.0,180.0,161.8,257.0,354,994,1320,0,0,235/45R18,54,מקורית + שליטה מההגה,יש,אין,יש,--,אין,כונן קשיח + USB+ AUX,--,--,אין,4,בקרת אקלים,גג שמש פנוראמי,1,יש,בד,אין,אין,--,רגילים,יש,אין,יש,אין,אחורית,אין,יש,--,--,אין,יש,אין,יש,--,--,--,--,--,--,--,--,--,--,--,0,2X4,1,1
קיה,סול,,2014,5,5,--,3,--,--,--,2013,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1591,132,6300,16.4,4850,--,--,10.4,15.3,13.1,--,--,--,--,--,12,12,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,0,--,--,--,--,--,--,--,--,--,414.0,180.0,161.8,257.0,354,994,1320,0,0,235/45R18,54,מקורית + שליטה מההגה,יש,אין,יש,--,אין,כונן קשיח + USB+ AUX,--,--,אין,4,בקרת אקלים,גג שמש פנוראמי,1,יש,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אחורית,אין,יש,--,--,אין,יש,אין,יש,--,--,--,--,--,--,--,--,--,--,--,0,2X4,1,1
קיה,סול,,2016,5,5,--,4,3569,--,--,2010,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו דיזל,4,1582,136,4000,30.6,1750,11.2,180,13.5,20,16.9,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,1,1,--,0,0,0,0,--,--,--,--,--,--,--,--,--,412.0,178.5,166.0,255.0,354,994,1406,0,0,205/60R16,54,מקורית + שליטה מההגה,יש,אין,יש,--,אין,כונן קשיח + USB+ AUX,--,--,אין,4,מזגן רגיל,0,1,יש,בד,אין,אין,--,רגילים,יש,אין,יש,אין,אחורית,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--,0,2X4,1,2
