make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ,hanaa_nm,automatic_ind,delek_cd
לנדרובר,דיסקברי,,2022,5,7.0,"592,000",7,14682.0,שלוש שנים,אחודה,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2993,306,3750.0,70.0,1750.0,7.5,209,8.1,12.2,10.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,6.0,1,1,1,1,1,0,0,0,0,התרעה בלבד,התרעה בלבד,1,0,1,0,0,0,0,"התרעת התנגשות, בקרת נגרר",497.0,207.3000030517578,188.8000030517578,292.29998779296875,258.0,1137.0,2311,750.0,3500.0,235/65R19,85,מקורית + שליטה מההגה,1,0,1,8.0,0,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,0,1,1,עור,יש  - כוונון מלא,0,0,רגילים,1,1,1,אחוריים,אחורית,0,1,0,0,הנעה בלבד,1,מראות צד + פנים,הגה בלבד,0,1,1,0,1,0,1,מתלי אוויר אדפטיביים,1,"גימור עץ מבריק, מערכת Terrain Response עם 5 מצבים",0,4X4,1,2
לנדרובר,דיסקברי,,2022,5,7.0,"558,000",7,13839.0,שלוש שנים,אחודה,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1999,240,4000.0,51.0,1500.0,8.3,207,12.8,17.2,15.3,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,6.0,1,1,1,1,1,0,0,0,0,התרעה בלבד,התרעה בלבד,1,0,1,0,0,0,0,"התרעת התנגשות, בקרת נגרר",497.0,207.3000030517578,188.8000030517578,292.29998779296875,258.0,1137.0,2184,750.0,3500.0,235/65R19,77,מקורית + שליטה מההגה,1,0,1,8.0,0,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,0,1,1,עור,יש  - כוונון מלא,0,0,רגילים,1,1,1,אחוריים,אחורית,0,1,0,0,הנעה בלבד,1,מראות צד + פנים,הגה בלבד,0,1,1,0,1,0,1,מתלי אוויר אדפטיביים,1,"גימור עץ מבריק, מערכת Terrain Response  עם 5 מצבים",0,4X4,1,2
לנדרובר,דיסקברי_ספורט,,2022,5,7.0,"369,000",7,9152.0,ארבע שנים,0.0,2014,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,2000,200,5500.0,32.599998474121094,1250.0,9.2,206,10.0,14.9,12.6,0,0,0,0,0,14.0,14.0,ABS + EBD + BAS,7.0,1,1,1,1,1,1,1,1,0,היגוי אקטיבי,0,0,0,1,0,0,0,0,0,459.70001220703125,206.89999389648438,172.6999969482422,274.1000061035156,115.0,1451.0,2176,750.0,2200.0,235/60R18,67,מקורית + שליטה מההגה,1,0,1,10.0,0,USB,Android Auto + Apple CarPlay,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,1,עור,יש  - כוונון מלא,0,0,LED,1,1,1,אחוריים + קדמיים,אחורית,0,1,0,0,0,1,מראות פנים,הגה בלבד,0,1,1,0,1,1,1,רגילים,0,"מראה מרכזית מבוססת מצלמה, בקרת נגרר",0,4X4,1,1
לנדרובר,דיסקברי_ספורט,PLUS,2022,5,7.0,"435,000",7,10788.0,ארבע שנים,0.0,2014,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,2000,249,5500.0,37.20000076293945,1400.0,7.8,224,10.0,14.5,12.5,0,0,0,0,0,14.0,14.0,ABS + EBD + BAS,7.0,1,1,1,1,1,1,1,1,1,היגוי אקטיבי,התרעה בלבד,0,0,1,0,0,0,0,בלימת חירום במהירות בין-עירונית,459.70001220703125,206.89999389648438,172.6999969482422,274.1000061035156,115.0,1451.0,2194,750.0,2200.0,235/60R18,67,מקורית + שליטה מההגה,1,0,1,10.0,0,USB,Android Auto + Apple CarPlay,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,עור,יש  - כוונון מלא,0,0,LED,1,1,1,אחוריים + קדמיים,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,הגה בלבד,0,1,1,0,1,1,1,רגילים,1,"מראה מרכזית מבוססת מצלמה, בקרת נגרר, מערכת שמע משודרגת עם 10 רמקולים, חלונות אחוריים כהים",0,4X4,1,1
לנדרובר,דיסקברי_ספורט,PLUS,2022,5,7.0,"430,000",7,9664.0,ארבע שנים,0.0,2014,כפולה (4X4),אוטומטית - טיפטרוניק,8,היברידי נטען (טורבו-בנזין),3,1497,309,5500.0,55.0,2000.0,6.6,209,0,0,50.0,0,15.0,62.0,07:00,00:20,2.0,2.0,ABS + EBD + BAS,7.0,1,1,1,1,1,1,1,1,1,היגוי אקטיבי,היגוי אקטיבי,0,0,1,0,0,0,0,"בקרת נגרר, כרית אוויר להגנה על הולכי רגל",459.70001220703125,206.89999389648438,172.6999969482422,274.1000061035156,1036.0,1651.0,2168,750.0,1600.0,235/60R18,67,מקורית + שליטה מההגה,1,0,1,10.0,0,USB,Android Auto + Apple CarPlay,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,עור,יש  - כוונון מלא,0,0,LED,1,1,1,אחוריים + קדמיים,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,הגה בלבד,0,1,1,1,יש + Auto Hold,1,1,רגילים,1,"מראה פנימית מבוססת מצלמה, בורר מצבי שטח, שקעי USB בשורה השנייה, חלונות אחוריים כהים, מערכת שמע מבית Meridian עם 6 רמקולים",0,4X4,1,7
לנדרובר,ריינג'_רובר_ספורט,,2022,5,5.0,"754,000",7,18700.0,שלוש שנים,אחודה + סולם,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2993,249,4000.0,60.0,2000.0,7.9,209,11.6,14.9,13.5,0,0,0,0,0,15.0,אין ציון,ABS + EBD + BAS,6.0,1,1,1,1,1,1,1,1,0,התרעה בלבד,התרעה בלבד,1,0,1,1,1,0,0,0,487.8999938964844,207.3000030517578,180.1999969482422,287.3999938964844,784.0,1761.0,2170,750.0,3500.0,255/55R20,86,מקורית + שליטה מההגה,1,0,1,10.0,0,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,1,עור,יש  + זכרון,מלפנים,0,מטריקס LED,1,1,1,אחוריים + קדמיים,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,הגה בלבד,0,1,1,1,1,1,1,מתלי אוויר אדפטיביים,יש - ללא מגע,"מראות צד עם כיוונון אוטומטי בנסיעה לאחור וזכרונות, סגירת דלתות רכה, מערכת שמע משודרגת מתוצרת meridian sound עם 18 רמקולים, בקרת נגרר, הגה מתכוונן חשמלית","שורת מושבים שלישית, חבילת Dynamic הכוללת חישוקי 21 אינץ', גימור כרום בגלגל ההגה ובמנופי העברת ההילוכים, חבילת עור מורחבת, דוושת מתכת",4X4,1,2
לנדרובר,ריינג'_רובר_ספורט,,2022,5,5.0,"642,000",7,14922.0,שלוש שנים,אחודה + סולם,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,היברידי נטען (טורבו-בנזין),4,1997,404,5500.0,65.19999694824219,1500.0,6.7,220,13.5,17.2,33.3,210.0,13.1,51.0,07:30,02:45,2.0,אין ציון,ABS + EBD + BAS,6.0,1,1,1,1,1,1,1,1,1,היגוי אקטיבי,היגוי אקטיבי,1,0,1,1,0,0,0,0,487.8999938964844,207.3000030517578,180.1999969482422,287.3999938964844,784.0,1761.0,2464,750.0,2500.0,255/55R20,86,מקורית + שליטה מההגה,1,0,1,10.0,0,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים,0,מטריקס LED,1,1,1,אחוריים + קדמיים,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,הגה בלבד,0,1,1,1,1,1,1,מתלי אוויר אדפטיביים,יש - ללא מגע,"מראות צד עם כיוונון אוטומטי בנסיעה לאחור וזכרונות, סגירת דלתות רכה, מערכת שמע משודרגת מתוצרת meridian sound עם 18 רמקולים, בקרת נגרר, הגה מתכוונן חשמלית","חבילת Dynamic הכוללת חישוקי 21 אינץ', גימור כרום בגלגל ההגה ובמנופי העברת ההילוכים, חבילת עור מורחבת, דוושת מתכת.",4X4,1,7
לנדרובר,ריינג'_רובר_וולאר,,2022,5,5.0,"519,000",7,12872.0,שלוש שנים,0.0,2017,כפולה (4X4),אוטומטית,8,בנזין,4,1998,250,5500.0,37.20000076293945,1200.0,6.7,217,11.0,14.9,13.1,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,6.0,1,1,1,1,1,1,1,1,0,התרעה בלבד,התרעה בלבד,1,0,1,1,0,0,0,0,480.29998779296875,203.1999969482422,166.5,287.3999938964844,673.0,1731.0,1804,750.0,2500.0,255/55R19,63,מקורית + שליטה מההגה,1,0,1,10.0,0,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,1,עור,יש  + זכרון,מלפנים,0,LED,1,1,1,אחוריים + קדמיים,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,הגה בלבד,0,1,1,0,1,1,1,רגילים,יש - ללא מגע,"בקרת נגרר, מערכת שמע מתוצרת meridian sound עם 11 רמקולים","חבילת R-DYNAMIC הכוללת: חבילת עיצוב חיצוני, גימורי אלומיניום, הגה בציפור עור עם נגיעות כרום, ספי כניסה עם כיתוב R-DYNAMIC, תקרה בצבע שחור, מנופי העברת הילוכים בהגה בצבע כרום",4X4,1,1
לנדרובר,ריינג'_רובר_וולאר,,2022,5,5.0,"559,000",7,13864.0,שלוש שנים,0.0,2017,כפולה (4X4),אוטומטית,8,בנזין,4,1998,250,5500.0,37.20000076293945,1200.0,6.7,217,11.0,14.9,13.1,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,6.0,1,1,1,1,1,1,1,1,0,התרעה בלבד,התרעה בלבד,1,0,1,1,1,0,0,0,480.29998779296875,203.1999969482422,166.5,287.3999938964844,673.0,1731.0,1804,750.0,2500.0,255/50R20,63,מקורית + שליטה מההגה,1,0,1,10.0,0,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,1,עור,יש  + זכרון,מלפנים,0,מטריקס LED,1,1,1,אחוריים + קדמיים,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,הגה בלבד,0,1,1,0,1,1,1,רגילים,יש - ללא מגע,"בקרת נגרר, מערכת שמע משודרגת מתוצרת meridian sound עם 17 רמקולים, חלונות אחוריים כהים, צמיד-מפתח","חבילת R-DYNAMIC הכוללת: חבילת עיצוב חיצוני, גימורי אלומיניום, הגה בציפור עור עם נגיעות כרום, ספי כניסה עם כיתוב R-DYNAMIC, תקרה בצבע שחור, מנופי העברת הילוכים בהגה בצבע כרום",4X4,1,1
לנדרובר,פרילנדר,,2009,5,5.0,0,7,0,0,0.0,2007,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2197,160,4000.0,40.0,2000.0,11.2,181,9.0,14.7,11.7,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.0,200.5,174.0,266.0,755.0,1670.0,1770,0,0,235/65R17,68,מקורית + שליטה מההגה,0,0,0,0,0,AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,0,1,1,בד,יש  - כוונון מלא,0,0,רגילים,1,1,1,0,0,0,1,0,0,הנעה בלבד,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4X4,1,2
