index,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ
0,לקסוס,IS,PLUS,2022.0,4.0,5.0,"299,900",6.0,7438.0,שלוש שנים,0,2013.0,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,241.0,5800.0,35.7,1650.0,6.9,230.0,0,0,10.6,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,10.0,1,1,1,1,1,1,1,1,1,היגוי אקטיבי,התרעה בלבד,1,1,0,1,1,0,0,מערכת סיוע בפניה בצומת ומערכת עזר בהיגוי חירום,471.0,184.0,143.5,280.0,450.0,0,1685.0,0.0,0.0,"ק' 235/45R19 , א' 265/35R19",66.0,מקורית + שליטה מההגה,1,0,1,10.3,0,USB + AUX,Android Auto + Apple CarPlay,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים + אוורור,0,LED,0,1,1,אחוריים + קדמיים,אחורית,0,1,1,0,כניסה + הנעה,0,מראות צד + פנים,1,0,1,1,0,1,0,0,אדפטיביים,0,"מערכת שמע Mark Levinson עם 17 רמקולים וסאבוופר, שעון אנולגי בקונסולה עליונה, מראות צד עם מפשיר אדים, גימורי F-Sport חיצוניים, מושבים ספורטיביים, דוושות אלומיניום, הגה מתכוונן חשמלית",2X4,1,1,0
1,לקסוס,IS,,2022.0,4.0,5.0,"284,900",6.0,7066.0,שלוש שנים,0,2013.0,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,241.0,5800.0,35.7,1650.0,6.9,230.0,0,0,10.6,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,10.0,1,1,1,1,1,1,1,1,1,היגוי אקטיבי,התרעה בלבד,1,1,0,1,1,0,0,מערכת סיוע בפניה בצומת ומערכת עזר בהיגוי חירום,471.0,184.0,143.5,280.0,450.0,0,1685.0,0.0,0.0,"ק' 235/45R19 , א' 265/35R19",66.0,מקורית + שליטה מההגה,1,0,1,10.3,0,USB + AUX,Android Auto + Apple CarPlay,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  - כוונון מלא,מלפנים + אוורור,0,LED,0,1,1,אחוריים + קדמיים,אחורית,0,1,1,0,כניסה + הנעה,0,מראות צד + פנים,1,0,1,1,0,1,0,0,אדפטיביים,0,"מערכת שמע Pioneer עם 10 רמקולים וסאבוופר, שעון אנולגי בקונסולה עליונה, מראות צד עם מפשיר אדים, גימורי F-Sport חיצוניים, מושבים ספורטיביים, דוושות אלומיניום, הגה מתכוונן חשמלית",2X4,1,1,0
2,לקסוס,IS250,EXECUTIVE,2013.0,4.0,5.0,0,6.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.5,225.0,8.4,15.3,11.9,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.5,180.0,142.5,273.0,398.0,0,1530.0,0,0,205/55R16,65.0,מקורית + שליטה מההגה,1,1,0,0,אופציונלי,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,0,1,ללא,עור,יש  - כוונון מלא,0,0,רגילים,1,0,1,אחוריים,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0
3,לקסוס,IS250,PLUS,2012.0,4.0,5.0,0,7.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.5,225.0,8.4,15.3,11.9,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.5,180.0,142.5,273.0,398.0,0,1530.0,0,0,"ק' - 225/45R17, א' - 245/45R17",65.0,מקורית + שליטה מההגה,1,1,0,0,אופציונלי,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,1,1,1,עור,יש  - כוונון מלא,מלפנים,0,רגילים,1,1,1,אחוריים + קדמיים,0,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0
4,לקסוס,IS250,EXECUTIVE,2012.0,4.0,5.0,0,6.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.5,225.0,8.4,15.3,11.9,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.5,180.0,142.5,273.0,398.0,0,1530.0,0,0,205/55R16,65.0,מקורית + שליטה מההגה,1,1,0,0,אופציונלי,USB + AUX,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,0,1,ללא,עור,יש  - כוונון מלא,0,0,רגילים,1,0,1,אחוריים,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0
5,לקסוס,IS250,LUXURY,2009.0,4.0,5.0,0,6.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.4,225.0,0,0,11.2,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,מקורית + שליטה מההגה,1,0,0,0,0,0,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,1,1,1,עור,יש  - כוונון מלא,אופציונלי,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1,"צבע מטאלי- 4000 ש""ח, חיישני חניה + חימום מושבים- 4500 ש""ח"
6,לקסוס,IS250,PREMIUM,2007.0,4.0,5.0,0,6.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.4,225.0,0,0,11.2,0,0,0,0,0,0,0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,מקורית + שליטה מההגה,1,0,0,0,0,0,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,1,1,1,עור,יש  + זכרון,0,0,רגילים,1,1,0,אחוריים,0,0,1,0,0,0,1,אופציונלי,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0
7,לקסוס,IS250,,2010.0,4.0,5.0,0,6.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.5,225.0,0,0,11.8,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,מקורית + שליטה מההגה,1,0,0,0,0,0,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,1,1,1,עור,יש  - כוונון מלא,מלפנים,0,רגילים,0,1,0,אחוריים,0,0,1,0,0,כניסה + הנעה,1,מראות פנים,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0
8,לקסוס,IS250,EXECUTIVE,2010.0,4.0,5.0,0,6.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.5,225.0,0,0,11.8,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.5,180.0,142.5,273.0,398.0,0,1530.0,0,0,205/55R16,65.0,מקורית + שליטה מההגה,1,0,0,0,0,0,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,0,1,ללא,עור,יש  - כוונון מלא,0,0,רגילים,1,0,0,אחוריים,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0
9,לקסוס,IS250,TECH,2009.0,4.0,5.0,0,6.0,0,0,0,2004.0,אחורית,אוטומטית - טיפטרוניק,6.0,בנזין,6.0,2499.0,208.0,6400.0,25.7,4800.0,8.4,225.0,0,0,10.9,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,מקורית + שליטה מההגה,1,0,0,0,0,0,0,0,0,4.0,בקרת אקלים + פתחי איוורור מאחור,1,1,1,עור,יש  - כוונון מלא,0,0,רגילים,1,0,0,אחוריים,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0
