make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ,hanaa_nm,automatic_ind,delek_cd
ב מ וו,קלאבמן,,2011,5,4.0,0,6,0,0,0.0,2007,קדמית,ידנית,6.0,בנזין,4.0,1598.0,120,6000.0,16.299999237060547,4250.0,9.800000190734863,201,0,0,18.1,0,0,0,0,0,3.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.0,168.0,143.0,255.0,260,930.0,1145,0,0,175/65R15,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,0,1
ב מ וו,קלאבמן,,2008,5,4.0,0,6,0,0,0.0,2007,קדמית,ידנית,6.0,בנזין,4.0,1598.0,120,6000.0,16.299999237060547,4250.0,9.800000190734863,201,0,0,18.1,0,0,0,0,0,0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.0,168.0,143.0,255.0,260,930.0,1145,0,0,175/65R15,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,0,1
ב מ וו,קלאבמן,,2009,5,4.0,0,6,0,0,0.0,2007,קדמית,ידנית,6.0,בנזין,4.0,1598.0,120,6000.0,16.299999237060547,4250.0,9.800000190734863,201,0,0,18.1,0,0,0,0,0,3.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.0,168.0,143.0,255.0,260,930.0,1145,0,0,175/65R15,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,0,1
ב מ וו,קלאבמן,,2009,5,4.0,0,6,0,0,0.0,2007,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,4.0,1598.0,175,5500.0,24.399999618530273,1600.0,7.800000190734863,219,0,0,14.2,0,0,0,0,0,4.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,168.0,143.0,255.0,260,930.0,1230,0,0,195/55R16,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1
ב מ וו,קלאבמן,,2011,5,4.0,0,6,0,0,0.0,2007,קדמית,אוטומטית - טיפטרוניק,6.0,טורבו בנזין,4.0,1598.0,175,5500.0,24.399999618530273,1600.0,7.800000190734863,219,0,0,14.2,0,0,0,0,0,4.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,168.0,143.0,255.0,260,930.0,1230,0,0,195/55R16,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1
ב מ וו,קלאבמן,,2011,5,4.0,0,6,0,0,0.0,2007,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1598.0,120,6000.0,16.299999237060547,4250.0,10.899999618530273,195,0,0,15.1,0,0,0,0,0,4.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,168.0,143.0,255.0,260,930.0,1185,0,0,175/65R15,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1
ב מ וו,קלאבמן,,2010,5,4,0,6,0,0,0.0,2007,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,175,5500.0,24.399999618530273,1600.0,7.599999904632568,224,0,0,15.8,0,0,0,0,0,4.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,168.0,143.0,255.0,260,930.0,1205,0,0,195/55R16,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,0,1
ב מ וו,קלאבמן,,2009,5,4,0,6,0,0,0.0,2007,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,175,5500.0,24.399999618530273,1600.0,7.599999904632568,224,0,0,15.8,0,0,0,0,0,4.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,168.0,143.0,255.0,260,930.0,1205,0,0,195/55R16,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,0,1
ב מ וו,קלאבמן,,2008,5,4.0,0,6,0,0,0.0,2007,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1598.0,120,6000.0,16.299999237060547,4250.0,10.899999618530273,195,0,0,15.1,0,0,0,0,0,0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,168.0,143.0,255.0,260,930.0,1185,0,0,175/65R15,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,1,1
ב מ וו,קלאבמן,,2011,5,4,0,6,0,0,0.0,2007,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,175,5500.0,24.399999618530273,1600.0,7.599999904632568,224,0,0,15.8,0,0,0,0,0,4.0,אין ציון,ABS + EBD + BAS,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,168.0,143.0,255.0,260,930.0,1205,0,0,195/55R16,40.0,מקורית,0,0,0,0,0,0,0,0,0,2,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2X4,0,1
