make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ,model_nm,hanaa_nm,automatic_ind,delek_cd
סיאט,איביזה_SC,SPORT,2011,3,5,0,2.0,0,0,0,2008,קדמית,ידנית,5,טורבו בנזין,4,1197,105,5000,17.799999237060547,1550,9.800000190734863,190,14.7,22.2,18.8,0,0,0,0,0,3.0,3.0,ABS + EBD,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.3999938964844,169.3000030517578,142.8000030517578,246.89999389648438,284,0,1015.0,0,0,215/45R16,45,מקורית + שליטה מההגה,0,0,0,0,0,AUX,0,0,0,2.0,מזגן רגיל,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,SC,2X4,0,1
סיאט,איביזה_SC,,2016,3,5,0,2.0,2726.0,0,0,2008,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,110,5000,20.399999618530273,2000,9.300000190734863,197,18.8,25.6,22.7,0,0,0,0,0,3.0,3.0,ABS + EBD,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.6000061035156,169.3000030517578,142.39999389648438,246.89999389648438,292,554.0,1034.0,0,0,215/45R16,45,מקורית + שליטה מההגה,1,0,1,0,0,USB + AUX,0,0,0,2.0,בקרת אקלים,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,חבילות צבע הכוללות אביזרי עיצוב פנים וחוץ בהתאמה אישית,SC,2X4,1,1
סיאט,איביזה_SC,STYLANCE,2009,3,5,0,2.0,0,0,0,2008,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,4,1598,105,5600,15.600000381469727,3800,10.100000381469727,188,0,0,16.1,0,0,0,0,0,4.0,4.0,ABS + EBD + BAS,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.3999938964844,169.3000030517578,142.8000030517578,246.89999389648438,284,0,1120.0,0,0,185/60R15,45,ללא,0,0,0,0,0,0,0,0,0,0,אופציונלי,0,1,אופציונלי,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SC,2X4,1,1
סיאט,איביזה_SC,SPECIAL,2010,3,5,0,2.0,0,0,0,2008,קדמית,ידנית,5,בנזין,4,1390,85,5600,13.5,3800,11.800000190734863,177,0,0,16.1,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.3999938964844,169.3000030517578,142.8000030517578,246.89999389648438,284,0,1000.0,0,0,215/45R16,45,מקורית + שליטה מההגה,0,0,0,0,0,0,0,0,0,2.0,מזגן רגיל,1,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC,2X4,0,1
סיאט,איביזה_SC,,2015,3,5,0,2.0,0,0,0,2008,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,110,5000,20.399999618530273,2000,9.300000190734863,197,18.8,25.6,22.7,0,0,0,0,0,3.0,3.0,ABS + EBD,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.6000061035156,169.3000030517578,142.39999389648438,246.89999389648438,292,554.0,1065.0,0,0,215/45R16,45,מקורית + שליטה מההגה,1,0,1,0,0,AUX,0,0,0,2.0,בקרת אקלים,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,חבילות צבע הכוללות אביזרי עיצוב פנים וחוץ בהתאמה אישית,SC,2X4,1,1
סיאט,איביזה_SC,SPORT,2014,3,5,0,1.0,0,0,0,2008,קדמית,ידנית,5,בנזין,4,1390,85,5600,13.199999809265137,3800,11.800000190734863,177,12.5,21.2,16.9,0,0,0,0,0,5.0,5.0,ABS + EBD,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.1000061035156,169.3000030517578,144.5,246.89999389648438,284,0,1075.0,0,0,215/45R16,45,מקורית + שליטה מההגה,0,0,0,0,0,AUX,0,0,0,2.0,מזגן רגיל,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,0,SC,2X4,0,1
סיאט,איביזה_SC,,2014,3,5,0,2.0,0,0,0,2008,קדמית,ידנית,5,טורבו בנזין,4,1197,105,5000,17.5,1550,9.800000190734863,190,14.7,22.2,18.8,0,0,0,0,0,4.0,4.0,ABS + EBD,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.1000061035156,169.3000030517578,144.5,246.89999389648438,284,0,1090.0,0,0,215/45R16,45,מקורית + שליטה מההגה,0,0,0,0,0,AUX,0,0,0,2.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,0,SC,2X4,0,1
סיאט,איביזה_SC,,2015,3,5,0,2.0,0,0,0,2008,קדמית,ידנית,6,טורבו בנזין,3,999,110,5000,20.399999618530273,2000,9.199999809265137,197,19.2,26.3,23.2,0,0,0,0,0,3.0,3.0,ABS + EBD,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.6000061035156,169.3000030517578,142.39999389648438,246.89999389648438,292,554.0,1034.0,0,0,215/45R16,45,מקורית + שליטה מההגה,1,0,1,0,0,AUX,0,0,0,2.0,בקרת אקלים,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,חבילות צבע הכוללות אביזרי עיצוב פנים וחוץ בהתאמה אישית,SC,2X4,0,1
סיאט,איביזה_SC,SPORT,2009,3,5,0,2.0,0,0,0,2008,קדמית,ידנית,5,בנזין,4,1598,105,5600,15.600000381469727,3800,10.399999618530273,189,0,0,15.1,0,0,0,0,0,4.0,4.0,ABS + EBD,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.3999938964844,169.3000030517578,142.8000030517578,246.89999389648438,284,0,1115.0,0,0,215/45R16,45,מקורית + שליטה מההגה,0,0,0,0,0,0,0,0,0,0,אופציונלי,0,1,אופציונלי,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SC,2X4,0,1
סיאט,איביזה_SC,SPORT,2012,3,5,0,2.0,0,0,0,2008,קדמית,ידנית,5,בנזין,4,1390,85,5600,13.199999809265137,3800,11.800000190734863,177,12.5,21.2,16.9,0,0,0,0,0,4.0,4.0,ABS + EBD,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.1000061035156,169.3000030517578,144.5,246.89999389648438,284,0,1075.0,0,0,215/45R16,45,מקורית + שליטה מההגה,0,0,0,0,0,AUX,0,0,0,2.0,מזגן רגיל,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,0,SC,2X4,0,1
