Unnamed: 0,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ
0,סובארו,אימפרזה_WRX_STi,,2015,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.600000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.5,179.5,147.5,265.0,460.0,0,1500,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,0,1,1,בד משולב עור,0,0,0,LED,1,0,0,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",4X4,0,1,0
1,סובארו,אימפרזה_WRX_STi,,2016,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.600000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.5,179.5,147.5,265.0,460.0,0,1500,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,0,1,1,בד משולב עור,0,0,0,LED,1,0,0,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",4X4,0,1,0
2,סובארו,אימפרזה_WRX_STi,,2019,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.6,11.9,9.100000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460.0,0,1522,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,0,1,1,בד משולב עור,0,0,0,LED,0,1,1,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",4X4,0,1,0
3,סובארו,אימפרזה_WRX_STi,PREMIUM,2015,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.600000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.5,179.5,147.5,265.0,460.0,0,1500,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,1,1,1,עור,יש - לנהג בלבד,0,0,LED,1,0,0,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",4X4,0,1,0
4,סובארו,אימפרזה_WRX_STi,PREMIUM,2017,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.600000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.5,179.5,147.5,265.0,460.0,0,1500,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,1,1,1,עור,יש - לנהג בלבד,0,0,LED,1,0,0,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",4X4,0,1,0
5,סובארו,אימפרזה_WRX_STi,PREMIUM,2019,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.4,11.4,8.899999618530273,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460.0,0,1522,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,1,1,1,עור,יש - לנהג בלבד,מלפנים,0,LED,0,1,1,0,0,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",4X4,0,1,0
6,סובארו,אימפרזה_WRX_STi,PREMIUM,2018,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.4,11.4,8.899999618530273,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460.0,0,1522,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,1,1,1,עור,יש - לנהג בלבד,מלפנים,0,LED,0,1,1,0,0,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",4X4,0,1,0
7,סובארו,אימפרזה_WRX_STi,,2017,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.600000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.5,179.5,147.5,265.0,460.0,0,1500,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,0,1,1,בד משולב עור,0,0,0,LED,1,0,0,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",4X4,0,1,0
8,סובארו,אימפרזה_WRX_STi,,2018,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.6,11.9,9.100000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460.0,0,1522,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,0,1,1,בד משולב עור,0,0,0,LED,0,1,1,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",4X4,0,1,0
9,סובארו,אימפרזה_WRX_STi,PREMIUM,2016,4,5.0,0,7.0,0,0,0,2014,כפולה (4X4),ידנית,6.0,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.600000381469727,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.5,179.5,147.5,265.0,460.0,0,1500,0.0,0.0,245/40R18,60.0,מקורית + שליטה מההגה,1,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,1,1,1,עור,יש - לנהג בלבד,0,0,LED,1,0,0,0,0,0,1,0,0,כניסה + הנעה,1,0,1,0,0,1,0,0,0,0,רגילים,0,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",4X4,0,1,0
