index,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ
0,מיצובישי,ASX,PREMIUM,2022.0,5,5.0,"152,900",4,3792.0,שלוש שנים,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,148,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,0,התרעה בלבד,התרעה בלבד,1,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1193.0,1415,0.0,0.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,גג שמש פנוראמי,1,1,בד משולב עור,0,מלפנים,0,LED,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,"מסילות גג, מראות צד מחוממות, דיפון דלתות דמוי עור",2X4,1,1,0
1,מיצובישי,ASX,INTENSE,2022.0,5,5.0,"139,900",3,3470.0,שלוש שנים,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,148,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1143.0,1415,0.0,0.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,0,1,1,בד,0,0,0,LED,1,1,1,0,אחורית,0,1,0,0,0,0,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,מסילות גג,2X4,1,1,0
2,מיצובישי,ASX,PANORAMIC,2022.0,5,5.0,"149,900",3,3718.0,שלוש שנים,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,148,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1193.0,1415,0.0,0.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,גג שמש פנוראמי,1,1,בד,0,0,0,LED,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,"מסילות גג, מראות צד מחוממות",2X4,1,1,0
3,מיצובישי,ASX,INSTYLE,2022.0,5,5.0,"143,900",3,3569.0,שלוש שנים,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,148,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1143.0,1415,0.0,0.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,0,1,1,בד,0,0,0,LED,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,"מסילות גג, מראות צד מחוממות",2X4,1,1,0
4,מיצובישי,ASX,PANORAMIC,2021.0,5,5.0,0,4,3718.0,0,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,150,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,1,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1143.0,1415,740.0,1300.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,גג שמש פנוראמי,1,1,בד,0,0,0,LED,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,מסילות גג,2X4,1,1,0
5,מיצובישי,ASX,INTENSE,2019.0,5,5.0,0,3,0,0,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,150,6000,20.100000381469727,4200,0,190.0,10.3,12.8,11.300000190734863,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,1,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,393.0,1193.0,1425,740.0,1300.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,7.0,1,USB,0,0,0,4,בקרת אקלים,0,1,1,בד,0,0,0,רגילים,1,1,1,0,אחורית,0,1,0,0,0,0,מראות פנים,1,0,0,0,0,0,0,0,רגילים,0,מסילות גג,2X4,1,1,0
6,מיצובישי,ASX,INSTYLE,2021.0,5,5.0,0,3,3569.0,0,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,150,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,1,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1143.0,1415,740.0,1300.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,0,1,1,בד,0,0,0,LED,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,מסילות גג,2X4,1,1,0
7,מיצובישי,ASX,INTENSE,2021.0,5,5.0,0,3,3470.0,0,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,150,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,1,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1193.0,1415,740.0,1300.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,0,1,1,בד,0,0,0,LED,1,1,1,0,אחורית,0,1,0,0,0,0,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,מסילות גג,2X4,1,1,0
8,מיצובישי,ASX,PREMIUM,2021.0,5,5.0,0,4,3792.0,0,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,150,6000,20.0,4200,11.7,190.0,0,0,11.5,0,0,0,0,0,15.0,15.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,1,0,התרעה בלבד,התרעה בלבד,1,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,387.0,1193.0,1415,740.0,1300.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,8.0,1,USB,0,0,0,4,בקרת אקלים,גג שמש פנוראמי,1,1,בד משולב עור,0,מלפנים,0,LED,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,0,0,0,0,רגילים,0,מסילות גג,2X4,1,1,0
9,מיצובישי,ASX,PREMIUM,2018.0,5,5.0,0,3,0,0,0.0,2010,קדמית,אוטומטית - רציפה,0,בנזין,4,1998,150,6000,20.100000381469727,4200,0,190.0,10.3,12.8,11.300000190734863,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,1,0,התרעה בלבד,0,0,0,0,1,0,0,0,0,436.5,181.0,164.5,267.0,393.0,1193.0,1425,740.0,1300.0,225/55R18,63,מקורית + שליטה מההגה,1,0,1,7.0,1,USB,0,0,0,4,בקרת אקלים,גג שמש פנוראמי,1,1,בד משולב עור,0,מלפנים,0,רגילים,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,0,מראות פנים,1,0,0,0,0,0,0,0,רגילים,0,מסילות גג,2X4,1,1,0
