make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלפא_רומיאו,בררה,,2008,3,4,--,7,--,--,--,2005,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3195,260,6200,32.8,4500,7,235,--,--,8.6,--,--,--,--,--,--,אין ציון,ABS + EBD,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252,300,610,1625,0,0,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,1,1,ללא,בד,יש  + זכרון,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,"מושבי עור, מערכת",,,
אלפא_רומיאו,בררה,,2008,3,4,--,7,--,--,--,2005,קדמית,ידנית,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,--,אין ציון,ABS + EBD,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252.5,300,610,1445,0,0,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,0,1,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--,2X4,0,1
אלפא_רומיאו,בררה,,2006,3,4,--,7,--,--,--,2005,כפולה (4X4),ידנית,6,בנזין,6,3195,260,6200,32.8,4500,6.8,240,--,--,8.6,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252.5,300,610,1630,0,0,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,1,1,ללא,עור,יש  - כוונון מלא,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--,4X4,0,1
אלפא_רומיאו,בררה,,2009,3,4,--,7,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252,300,610,1445,0,0,235/45R18,70,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,0,1,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--,2X4,0,1
אלפא_רומיאו,בררה,,2009,3,4,--,7,--,--,--,2005,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3195,260,6200,32.8,4500,7,235,--,--,8.6,--,--,--,--,--,15,אין ציון,ABS + EBD,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252,300,610,1625,0,0,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,1,1,ללא,בד,יש  + זכרון,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,"מושבי עור, מערכת",,,
אלפא_רומיאו,בררה,,2011,3,4,--,7,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252,300,610,1445,0,0,235/45R18,70,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,0,1,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--,2X4,0,1
אלפא_רומיאו,בררה,,2007,3,4,--,7,--,--,--,2005,כפולה (4X4),ידנית,6,בנזין,6,3195,260,6200,32.8,4500,6.8,240,--,--,8.6,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252.5,300,610,1630,0,0,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,1,1,ללא,עור,יש  - כוונון מלא,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--,4X4,0,1
אלפא_רומיאו,בררה,,2010,3,4,--,7,--,--,--,2005,כפולה (4X4),ידנית,6,בנזין,6,3195,260,6200,32.8,4500,6.8,240,--,--,8.6,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252.5,300,610,1630,0,0,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,1,1,ללא,עור,יש  - כוונון מלא,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--,4X4,0,1
אלפא_רומיאו,בררה,,2010,3,4,--,7,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252,300,610,1445,0,0,235/45R18,70,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,1,1,ללא,בד,יש  + זכרון,אין,--,קסנון,יש,אין,אין,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,"מסך מרכזי עם טלפון - 25,000",,,
אלפא_רומיאו,בררה,,2009,3,4,--,7,--,--,--,2005,קדמית,ידנית,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,441,183,134,252.5,300,610,1445,0,0,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,0,1,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--,2X4,0,1
