make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
פיאט,500L_ליווינג,Pop,2016,5,7,--,4,3571,--,--,2013,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו דיזל,4,1248,85,3500,20.4,1500,16.3,164,22.2,27,25,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.2,178.4,166.7,261.2,168,1428,1310,--,--,205/55R16,50,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,מזגן רגיל,אין,יש,יש,בד,יש - כוונון חלקי,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,מכונת קפה Lavazza
פיאט,500L_ליווינג,Pop,2014,5,7,--,5,--,--,--,2013,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו דיזל,4,1248,85,3500,20.4,1500,16.3,164,22.2,27,25,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.2,178.4,166.7,261.2,168,1428,1310,--,--,205/55R16,50,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,מזגן רגיל,אין,יש,יש,בד,יש - כוונון חלקי,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,מכונת קפה Lavazza
פיאט,500L_ליווינג,Pop,2015,5,7,--,4,--,--,--,2013,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו דיזל,4,1248,85,3500,20.4,1500,16.3,164,22.2,27,25,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.2,178.4,166.7,261.2,168,1428,1310,--,--,205/55R16,50,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,מזגן רגיל,אין,יש,יש,בד,יש - כוונון חלקי,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,מכונת קפה Lavazza
פיאט,500L_ליווינג,Pop,2017,5,7,--,4,3470,--,--,2013,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו דיזל,4,1248,85,3500,20.4,1500,16.3,164,22.2,27,25,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.2,178.4,166.7,261.2,168,1428,1310,--,--,205/55R16,50,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,מזגן רגיל,אין,יש,יש,בד,יש - כוונון חלקי,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,מכונת קפה Lavazza
פיאט,גרנדה_פונטו,,2008,5,5,--,--,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1368,77,6000,11.4,3000,13.2,165,13,19.2,16.4,--,--,--,--,--,--,--,ABS + EBD,2,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.0,168.7,149.0,251.0,275,638,1040,--,--,175/65R15,45,ללא,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
פיאט,גרנדה_פונטו,,2009,5,5,--,--,--,--,--,2005,קדמית,ידנית,5,בנזין,4,1242,65,5500,10.4,3000,14.5,155,12.6,19.6,16.4,--,--,--,--,--,3,3,ABS + EBD,2,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.0,168.7,149.0,251.0,275,638,1030,--,--,175/65R15,45,ללא,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
פיאט,גרנדה_פונטו,,2008,5,5,--,--,--,--,--,2005,קדמית,ידנית,5,בנזין,4,1242,65,5500,10.4,3000,14.5,155,12.6,19.6,16.4,--,--,--,--,--,--,--,ABS + EBD,2,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.0,168.7,149.0,251.0,275,638,1030,--,--,175/65R15,45,ללא,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
פיאט,גרנדה_פונטו,,2007,5,5,--,--,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1368,77,6000,11.4,3000,13.2,165,13,19.2,16.4,--,--,--,--,--,--,--,ABS + EBD,2,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.0,168.7,149.0,251.0,275,638,1040,--,--,175/65R15,45,ללא,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
פיאט,גרנדה_פונטו,,2012,5,5,--,1,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1368,77,6000,11.7,3000,13.2,165,14.7,20,17,--,--,--,--,--,4,אין ציון,ABS + EBD,4,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.0,168.7,149.0,251.0,268,638,1040,--,--,175/65R15,45,ללא,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
פיאט,גרנדה_פונטו,,2011,5,5,--,1,--,--,--,2005,קדמית,ידנית,5,בנזין,4,1242,65,5500,10.4,3000,14.5,155,13.7,20.8,16.5,--,--,--,--,--,3,אין ציון,ABS + EBD,2,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,403.0,168.7,149.0,251.0,268,638,1030,--,--,175/65R15,45,ללא,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
