,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
0,הונדה,לג'נד,,2009,4,5,--,7,--,--,--,2006,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6,3664,295,6200,37.8,5000,7.1,250,--,--,8.6,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452,--,1868,--,--,235/50R17,73,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
1,הונדה,לג'נד,,2010,4,5,--,7,--,--,--,2006,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6,3664,295,6200,37.8,5000,7.1,250,--,--,8.6,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452,--,1868,--,--,235/50R17,73,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
2,הונדה,לג'נד,,2008,4,5,--,7,--,--,--,2006,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6,3664,295,6200,37.8,5000,7.1,250,--,--,8.6,--,--,--,--,--,--,--,ABS + EBD + BAS,6,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452,--,1868,--,--,235/50R17,73,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
3,הונדה,לג'נד,,2007,4,5,--,7,--,--,--,2006,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6,3664,295,6200,37.8,5000,7.1,250,--,--,8.6,--,--,--,--,--,--,--,ABS + EBD + BAS,6,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452,--,1868,--,--,235/50R17,73,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
4,הונדה,CRZ,,2013,3,2+2,--,5,--,--,--,2010,קדמית,ידנית,6,היברידי (בנזין),4,1497,124,6100,17.7,1000,9.9,200,16.3,22.7,20,--,--,--,--,--,3,3,ABS + EBD + BAS,6,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233,401,1165,--,--,195/55R16,40,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
5,הונדה,CRZ,,2010,3,2+2,--,5,--,--,--,2010,קדמית,ידנית,6,היברידי (בנזין),4,1497,124,6100,17.7,1000,9.9,200,16.3,22.7,20,--,--,--,--,--,2,2,ABS + EBD + BAS,6,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233,401,1165,--,--,195/55R16,40,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
6,הונדה,CRZ,,2012,3,2+2,--,5,--,--,--,2010,קדמית,ידנית,6,היברידי (בנזין),4,1497,124,6100,17.7,1000,9.9,200,16.3,22.7,20,--,--,--,--,--,2,2,ABS + EBD + BAS,6,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233,401,1165,--,--,195/55R16,40,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
7,הונדה,CRZ,,2011,3,2+2,--,5,--,--,--,2010,קדמית,ידנית,6,היברידי (בנזין),4,1497,124,6100,17.7,1000,9.9,200,16.3,22.7,20,--,--,--,--,--,2,2,ABS + EBD + BAS,6,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233,401,1165,--,--,195/55R16,40,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
8,הונדה,FR-V,Trend,2009,5,6,--,4,--,שלוש שנים,--,2004,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1799,140,6300,17.7,4300,12.5,185,--,--,12.3,--,--,--,--,--,8,8,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439,1049,1449,--,--,205/55R16,58,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
9,הונדה,FR-V,Comfort,2008,5,6,--,5,--,שלוש שנים,--,2004,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1799,140,6300,17.7,4300,12.5,185,--,--,12.3,--,--,--,--,--,--,--,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439,1049,1449,--,--,205/55R16,58,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים,אין,אין,יש,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
10,הונדה,FR-V,Trend,2007,5,6,--,4,--,שלוש שנים,--,2004,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1799,140,6300,17.7,4300,12.5,185,--,--,12.3,--,--,--,--,--,--,--,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439,1049,1449,--,--,205/55R16,58,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
11,הונדה,FR-V,Comfort,2010,5,6,--,5,--,שלוש שנים,--,2004,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1799,140,6300,17.7,4300,12.5,185,--,--,12.3,--,--,--,--,--,8,8,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439,1049,1449,--,--,205/55R16,58,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים,אין,אין,יש,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
12,הונדה,FR-V,Trend,2008,5,6,--,4,--,שלוש שנים,--,2004,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1799,140,6300,17.7,4300,12.5,185,--,--,12.3,--,--,--,--,--,--,--,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439,1049,1449,--,--,205/55R16,58,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
13,הונדה,FR-V,Executive,2010,5,6,--,5,--,שלוש שנים,--,2004,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1799,140,6300,17.7,4300,12.5,185,--,--,12.3,--,--,--,--,--,8,8,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439,1049,1449,--,--,205/55R16,58,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים,יש,יש,יש,בד,אין,אין,--,קסנון,יש,יש,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
