make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
יגואר,XK_קופה,,2013,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין + מגדש על,8,5000,510,6000,47.0,2500,4.8,250,5.3,11.6,8.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1753,--,--,ק-245/40R19 א-275/35R19,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,אין,יש,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"שדרוג ג'אנטים ל-20 אינץ' - 35,000 ש""ח + מע""מ"
יגואר,XK_קופה,,2010,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין + מגדש על,8,4196,416,6250,42.1,4000,5.2,250,--,--,8.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1665,--,--,ק-245/40R19 א-275/35R19,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,אופציונלי,אופציונלי,בד,אין,אין,--,רגילים,אופציונלי,יש,אופציונלי,אין,אין,אין,אופציונלי,--,--,אין,אופציונלי,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,--
יגואר,XK_קופה,,2011,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין + מגדש על,8,5000,550,6000,51.2,2500,4.4,300,5.3,11.6,8.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1753,--,--,"""20",71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
יגואר,XK_קופה,,2010,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,8,4196,298,6000,31.6,4100,6.2,250,--,--,8.8,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1595,--,--,ק-245/40R18 א-275/35R18,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,אין,יש,יש,עור,יש  + זכרון,אין,--,רגילים,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,--
יגואר,XK_קופה,,2014,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין + מגדש על,8,5000,550,6000,51.2,2500,4.4,300,5.3,11.6,8.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1753,--,--,"""20",71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
יגואר,XK_קופה,,2012,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין + מגדש על,8,5000,510,6000,47.0,2500,4.8,250,5.3,11.6,8.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1753,--,--,ק-245/40R19 א-275/35R19,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,אין,יש,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"שדרוג ג'אנטים ל-20 אינץ' - 35,000 ש""ח + מע""מ"
יגואר,XK_קופה,,2009,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין + מגדש על,8,4196,416,6250,42.1,4000,5.2,250,--,--,8.1,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1665,--,--,ק-245/40R19 א-275/35R19,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,אופציונלי,אופציונלי,בד,אין,אין,--,רגילים,אופציונלי,יש,אופציונלי,אין,אין,אין,אופציונלי,--,--,אין,אופציונלי,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,--
יגואר,XK_קופה,,2012,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,8,5000,385,6500,38.7,3500,5.5,250,5.8,12.5,8.9,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1660,--,--,ק-245/40R18 א-275/35R18,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,אין,יש,יש,עור,יש  + זכרון,אין,--,רגילים,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,--
יגואר,XK_קופה,,2013,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,8,5000,385,6500,38.7,3500,5.5,250,5.8,12.5,8.9,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1660,--,--,ק-245/40R18 א-275/35R18,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,אין,יש,יש,עור,יש  + זכרון,אין,--,רגילים,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,--
יגואר,XK_קופה,,2008,3,2+2,--,7,--,--,0,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין + מגדש על,8,4196,416,6250,42.1,4000,5.2,250,--,--,8.1,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,4,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,479.1,189.2,132.2,275.2,300,--,1665,--,--,ק-245/40R19 א-275/35R19,71,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,אופציונלי,אופציונלי,בד,אין,אין,--,רגילים,אופציונלי,יש,אופציונלי,אין,אין,אין,אופציונלי,--,--,אין,אופציונלי,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,--
