make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
לנדרובר,דיסקברי,,2022,5,7,"592,000",7,14682,שלוש שנים,אחודה,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2993,306,3750,70.0,1750,7.5,209,8.1,12.2,10.5,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,אין,אין,אין,אין,התרעה בלבד,התרעה בלבד,יש,אין,יש,אין,אין,אין,אין,"התרעת התנגשות, בקרת נגרר",497.0,207.3,188.8,292.3,258,1137,2311,750,3500,235/65R19,85,מקורית + שליטה מההגה,יש,אין,יש,8,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,עור,יש  - כוונון מלא,אין,אין,רגילים,יש,יש,יש,אחוריים,אחורית,אין,יש,אין,אין,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,אין,יש,יש,אין,יש,אין,יש,מתלי אוויר אדפטיביים,יש,"גימור עץ מבריק, מערכת Terrain Response עם 5 מצבים",--
לנדרובר,דיסקברי,,2022,5,7,"558,000",7,13839,שלוש שנים,אחודה,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1999,240,4000,51.0,1500,8.3,207,12.8,17.2,15.3,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,אין,אין,אין,אין,התרעה בלבד,התרעה בלבד,יש,אין,יש,אין,אין,אין,אין,"התרעת התנגשות, בקרת נגרר",497.0,207.3,188.8,292.3,258,1137,2184,750,3500,235/65R19,77,מקורית + שליטה מההגה,יש,אין,יש,8,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,עור,יש  - כוונון מלא,אין,אין,רגילים,יש,יש,יש,אחוריים,אחורית,אין,יש,אין,אין,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,אין,יש,יש,אין,יש,אין,יש,מתלי אוויר אדפטיביים,יש,"גימור עץ מבריק, מערכת Terrain Response  עם 5 מצבים",--
לנדרובר,דיסקברי_ספורט,,2022,5,7,"369,000",7,9152,ארבע שנים,0,2014,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,2000,200,5500,32.6,1250,9.2,206,10,14.9,12.6,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,אין,היגוי אקטיבי,אין,אין,אין,יש,אין,אין,אין,אין,--,459.7,206.9,172.7,274.1,115,1451,2176,750,2200,235/60R18,67,מקורית + שליטה מההגה,יש,אין,יש,10,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,יש,עור,יש  - כוונון מלא,אין,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,אין,יש,מראות פנים,הגה בלבד,אין,יש,יש,אין,יש,יש,יש,רגילים,אין,"מראה מרכזית מבוססת מצלמה, בקרת נגרר",--
לנדרובר,דיסקברי_ספורט,Plus,2022,5,7,"435,000",7,10788,ארבע שנים,0,2014,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,2000,249,5500,37.2,1400,7.8,224,10,14.5,12.5,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,התרעה בלבד,אין,אין,יש,אין,אין,אין,אין,בלימת חירום במהירות בין-עירונית,459.7,206.9,172.7,274.1,115,1451,2194,750,2200,235/60R18,67,מקורית + שליטה מההגה,יש,אין,יש,10,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,כולל שמירת מרחק,עור,יש  - כוונון מלא,אין,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,יש,יש,אין,יש,יש,יש,רגילים,יש,"מראה מרכזית מבוססת מצלמה, בקרת נגרר, מערכת שמע משודרגת עם 10 רמקולים, חלונות אחוריים כהים",--
לנדרובר,דיסקברי_ספורט,Plus,2022,5,7,"430,000",7,9664,ארבע שנים,0,2014,כפולה (4X4),אוטומטית - טיפטרוניק,8,היברידי נטען (טורבו-בנזין),3,1497,309,5500,55.0,2000,6.6,209,--,--,50,--,15,62,07:00,00:20,2,2,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,היגוי אקטיבי,אין,אין,יש,אין,אין,אין,אין,"בקרת נגרר, כרית אוויר להגנה על הולכי רגל",459.7,206.9,172.7,274.1,1036,1651,2168,750,1600,235/60R18,67,מקורית + שליטה מההגה,יש,אין,יש,10,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,כולל שמירת מרחק,עור,יש  - כוונון מלא,אין,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,יש,יש,יש,יש + Auto Hold,יש,יש,רגילים,יש,"מראה פנימית מבוססת מצלמה, בורר מצבי שטח, שקעי USB בשורה השנייה, חלונות אחוריים כהים, מערכת שמע מבית Meridian עם 6 רמקולים",--
לנדרובר,ריינג'_רובר_ספורט,,2022,5,5,"754,000",7,18700,שלוש שנים,אחודה + סולם,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2993,249,4000,60.0,2000,7.9,209,11.6,14.9,13.5,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,התרעה בלבד,יש,אין,יש,יש,יש,אין,אין,--,487.9,207.3,180.2,287.4,784,1761,2170,750,3500,255/55R20,86,מקורית + שליטה מההגה,יש,אין,יש,10,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,מלפנים,אין,מטריקס LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,יש,יש,יש,יש,יש,יש,מתלי אוויר אדפטיביים,יש - ללא מגע,"מראות צד עם כיוונון אוטומטי בנסיעה לאחור וזכרונות, סגירת דלתות רכה, מערכת שמע משודרגת מתוצרת meridian sound עם 18 רמקולים, בקרת נגרר, הגה מתכוונן חשמלית","שורת מושבים שלישית, חבילת Dynamic הכוללת חישוקי 21 אינץ', גימור כרום בגלגל ההגה ובמנופי העברת ההילוכים, חבילת עור מורחבת, דוושת מתכת"
לנדרובר,ריינג'_רובר_ספורט,,2022,5,5,"642,000",7,14922,שלוש שנים,אחודה + סולם,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,היברידי נטען (טורבו-בנזין),4,1997,404,5500,65.2,1500,6.7,220,13.5,17.2,33.3,210,13.1,51,07:30,02:45,2,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,היגוי אקטיבי,יש,אין,יש,יש,אין,אין,אין,--,487.9,207.3,180.2,287.4,784,1761,2464,750,2500,255/55R20,86,מקורית + שליטה מההגה,יש,אין,יש,10,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים,אין,מטריקס LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,יש,יש,יש,יש,יש,יש,מתלי אוויר אדפטיביים,יש - ללא מגע,"מראות צד עם כיוונון אוטומטי בנסיעה לאחור וזכרונות, סגירת דלתות רכה, מערכת שמע משודרגת מתוצרת meridian sound עם 18 רמקולים, בקרת נגרר, הגה מתכוונן חשמלית","חבילת Dynamic הכוללת חישוקי 21 אינץ', גימור כרום בגלגל ההגה ובמנופי העברת ההילוכים, חבילת עור מורחבת, דוושת מתכת."
לנדרובר,ריינג'_רובר_וולאר,,2022,5,5,"519,000",7,12872,שלוש שנים,0,2017,כפולה (4X4),אוטומטית,8,בנזין,4,1998,250,5500,37.2,1200,6.7,217,11.0,14.9,13.1,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,התרעה בלבד,יש,אין,יש,יש,אין,אין,אין,--,480.3,203.2,166.5,287.4,673,1731,1804,750,2500,255/55R19,63,מקורית + שליטה מההגה,יש,אין,יש,10,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,מלפנים,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,יש,יש,אין,יש,יש,יש,רגילים,יש - ללא מגע,"בקרת נגרר, מערכת שמע מתוצרת meridian sound עם 11 רמקולים","חבילת R-DYNAMIC הכוללת: חבילת עיצוב חיצוני, גימורי אלומיניום, הגה בציפור עור עם נגיעות כרום, ספי כניסה עם כיתוב R-DYNAMIC, תקרה בצבע שחור, מנופי העברת הילוכים בהגה בצבע כרום"
לנדרובר,ריינג'_רובר_וולאר,,2022,5,5,"559,000",7,13864,שלוש שנים,0,2017,כפולה (4X4),אוטומטית,8,בנזין,4,1998,250,5500,37.2,1200,6.7,217,11.0,14.9,13.1,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,התרעה בלבד,יש,אין,יש,יש,יש,אין,אין,--,480.3,203.2,166.5,287.4,673,1731,1804,750,2500,255/50R20,63,מקורית + שליטה מההגה,יש,אין,יש,10,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,מלפנים,אין,מטריקס LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,יש,יש,אין,יש,יש,יש,רגילים,יש - ללא מגע,"בקרת נגרר, מערכת שמע משודרגת מתוצרת meridian sound עם 17 רמקולים, חלונות אחוריים כהים, צמיד-מפתח","חבילת R-DYNAMIC הכוללת: חבילת עיצוב חיצוני, גימורי אלומיניום, הגה בציפור עור עם נגיעות כרום, ספי כניסה עם כיתוב R-DYNAMIC, תקרה בצבע שחור, מנופי העברת הילוכים בהגה בצבע כרום"
לנדרובר,פרילנדר,,2009,5,5,--,7,--,--,0,2007,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2197,160,4000,40.0,2000,11.2,181,9,14.7,11.7,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,450.0,200.5,174.0,266.0,755,1670,1770,--,--,235/65R17,68,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,יש,בד,יש  - כוונון מלא,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,הנעה בלבד,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
