,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
0,מאזדה,2_סדאן,Active,2012,4,5,--,2,--,--,--,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.7,170,12.2,18.5,15.3,--,--,--,--,--,4,4,ABS + EBD,6,יש,אין,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,426.3,169.5,148.3,249.0,450,--,1030,--,--,185/55R15,43,מקורית,אין,אין,אין,--,אין,AUX,--,--,אין,4,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
1,מאזדה,2_סדאן,Active,2011,4,5,--,2,--,--,--,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.7,170,12.2,18.5,15.3,--,--,--,--,--,4,4,ABS + EBD,6,יש,אין,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,426.3,169.5,148.3,249.0,450,--,1030,--,--,185/55R15,43,מקורית,אין,אין,אין,--,אין,AUX,--,--,אין,4,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
2,מאזדה,2_סדאן,Dynamic,2011,4,5,--,2,--,--,--,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.7,170,12.2,18.5,15.3,--,--,--,--,--,4,4,ABS + EBD,6,יש,אין,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,426.3,169.5,148.3,249.0,450,--,1030,--,--,185/55R15,43,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,4,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,--
3,מאזדה,2_סדאן,Dynamic,2012,4,5,--,2,--,--,--,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.7,170,12.2,18.5,15.3,--,--,--,--,--,4,4,ABS + EBD,6,יש,אין,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,426.3,169.5,148.3,249.0,450,--,1030,--,--,185/55R15,43,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,4,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,--
4,מאזדה,2_סדאן,Active,2010,4,5,--,2,--,--,--,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.7,170,12.2,18.5,15.3,--,--,--,--,--,4,4,ABS + EBD,6,יש,אין,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,426.3,169.5,148.3,249.0,450,--,1030,--,--,185/55R15,43,מקורית,אין,אין,אין,--,אין,AUX,--,--,אין,4,מזגן רגיל,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
5,מאזדה,2_סדאן,Dynamic,2010,4,5,--,2,--,--,--,2008,קדמית,אוטומטית,4,בנזין,4,1498,102,6000,13.5,4000,12.7,170,12.2,18.5,15.3,--,--,--,--,--,4,4,ABS + EBD,6,יש,אין,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,426.3,169.5,148.3,249.0,450,--,1030,--,--,185/55R15,43,מקורית + שליטה מההגה,אין,אין,אין,--,אין,AUX,--,--,אין,4,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,--
6,מאזדה,CX3,Zoom,2022,5,5,"118,900",2,2949,שלוש שנים,--,2014,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,15.2,4000,11.2,170,--,--,15.3,--,--,--,--,--,5,5,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,יש,יש,אין,אין,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,אין,מערכת AWACS בהתקנה מקומית,427.5,176.5,153.5,257.0,240,--,1315,630,1200,215/60R16,48,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים,אין,יש,יש,בד,אין,אין,אין,רגילים,אין,יש,יש,אין,אחורית,אין,יש,אין,אין,הנעה בלבד,יש,אין,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,"חלונות אחוריים כהים, חיפוי דלתות וקונסולה בעור שחור",--
7,מאזדה,CX3,Urban,2022,5,5,"125,900",2,3123,שלוש שנים,--,2014,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,15.2,4000,11.2,170,--,--,15.3,--,--,--,--,--,5,5,ABS + EBD + BAS,6,יש,יש,יש,יש,יש,יש,יש,אין,יש,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,427.5,176.5,153.5,257.0,240,--,1315,630,1200,215/50R18,48,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים,אין,יש,כולל שמירת מרחק,עור,אין,אין,אין,LED,אין,יש,יש,אין,אחורית,אין,יש,אין,יש,כניסה + הנעה,יש,אין,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,"חלונות אחוריים כהים, חיפוי דלתות וקונסולה בעור אפור עם תפרים יחודיים, תאורה אחורית Led",--
8,מאזדה,323_לאנטיס,,2001,4,5,--,1,--,שנתיים,--,1998,קדמית,אוטומטית,4,בנזין,4,1598,109,5500,14.0,3600,12.8,171,--,--,11.8,--,--,--,--,--,--,אין ציון,ABS,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,436.5,170.5,141.0,261.0,416,--,1170,0.0,0.0,185/65R14,55,לא מקורית,אין,אין,אין,--,אין,אין,אין,אין,אין,2,מזגן רגיל,אין,אופציונלי,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,--,--
9,מאזדה,323_לאנטיס,,2003,4,5,--,1,--,שנתיים,--,1998,קדמית,אוטומטית,4,בנזין,4,1598,105,5500,14.0,3600,12.8,171,--,--,11.8,--,--,--,--,--,--,אין ציון,ABS,2,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,436.5,170.5,141.0,261.0,416,--,1170,0.0,0.0,185/65R14,55,לא מקורית,אין,אין,אין,--,אין,אין,אין,אין,אין,2,מזגן רגיל,אין,אופציונלי,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,--,--
