,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
0,מרצדס,B_קלאס,Urban,2018,5,5,--,6,6074,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,25.5,1250,8.4,220,14.5,22.2,18.5,--,--,--,--,--,9,9,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.8,269.9,488,--,1425,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,LED,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות"
1,מרצדס,B_קלאס,Urban,2017,5,5,--,6,6074,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,25.5,1250,8.4,220,14.5,22.2,18.5,--,--,--,--,--,9,9,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.8,269.9,488,--,1425,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,LED,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות"
2,מרצדס,B_קלאס,Urban,2015,5,5,--,6,--,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,122,5000,20.4,1250,9.1,200,14.5,22.2,18.5,--,--,--,--,--,5,5,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.7,269.9,488,--,1425,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,LED,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות"
3,מרצדס,B_קלאס,Premium,2014,5,5,--,6,--,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,122,5000,20.4,1250,10.4,190,12.5,21.3,16.9,--,--,--,--,--,5,5,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.7,269.9,488,--,1395,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,בי קסנון עם מנגנון הפניה בסיבוב ,אין,יש,יש,אין,אין,אין,יש,--,--,אין,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"מערכת שמע מתוצרת Harman Kardon עם 12 רמקולים, מחליף דיסקים, חיישני חניה אחוריים, מערכת עזר לחניה אוטומטית, מצלמת רוורס, חלונות אחוריים כהים"
4,מרצדס,B_קלאס,Style,2017,5,5,--,5,5047,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,122,5000,20.4,1250,9.1,200,14.5,22.2,18.5,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.7,269.9,488,--,1425,--,--,205/55R16,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,אופציה לגג שמש פנוראמי,יש,יש,עור,אין,אופציונלי,--,רגילים,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,אין,אופציונלי,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות, תאורת פנים בצבעים משתנים"
5,מרצדס,B_קלאס,Urban,2016,5,5,--,6,5578,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,122,5000,20.4,1250,9.1,200,14.5,22.2,18.5,--,--,--,--,--,5,5,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.7,269.9,488,--,1425,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,LED,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות"
6,מרצדס,B_קלאס,Standard,2013,5,5,--,5,--,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,122,5000,20.4,1250,10.2,190,12.3,20.6,16.5,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.7,269.9,486,--,1425,--,--,205/55R16,54,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,אופציה לגג שמש פנוראמי,יש,יש,עור,אין,אין,--,בי קסנון עם מנגנון הפניה בסיבוב ,אין,אופציונלי,יש,אין,אין,אין,יש,--,--,אין,אין,אין,הגה בלבד,--,--,--,--,--,--,--,--,--,--,מערכת עזר לחניה
7,מרצדס,B_קלאס,Urban,2015,5,5,--,6,--,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,25.5,1250,8.4,220,14.5,22.2,18.5,--,--,--,--,--,6,6,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.8,269.9,488,--,1425,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,LED,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות"
8,מרצדס,B_קלאס,Urban,2016,5,5,--,6,6000,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,25.5,1250,8.4,220,14.5,22.2,18.5,--,--,--,--,--,6,6,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.8,269.9,488,--,1425,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,LED,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות"
9,מרצדס,B_קלאס,Urban,2018,5,5,--,6,5667,--,--,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,122,5000,20.4,1250,9.1,200,14.5,22.2,18.5,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,435.9,178.6,155.7,269.9,488,--,1425,--,--,225/45R17,50,מקורית + שליטה מההגה,יש,אופציונלי,יש,--,אין,USB,--,--,אין,4,מזגן רגיל,גג שמש פנוראמי,יש,יש,עור,יש  + זכרון,אופציונלי,--,LED,אין,יש,יש,אחוריים + קדמיים,אין,יש,יש,--,--,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"בקרת אקלים מפוצלת, מצלמת רוורס, מערכת שמע משודרגת מתוצרת ""Harman Kardon"" עם 12 רמקולים, מערכת התראה על סטיה מנתיב, מערכת Blind Spot להתראה על רכב ב""שטח מת"" במראות"
