tozeret_cd,degem_cd,year,ignition,gearbox,gear,piston,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,fuel
57,1,2016,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,2,2016,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,5,2016,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,1,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,2,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,5,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,6,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,7,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,8,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,9,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,10,2017,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,1,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,2,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,5,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,6,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,9,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,10,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,11,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,12,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,13,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,15,2018,קדמית,אוטומטית - טיפטרוניק,6.0,3.0,3750.0,20.9,1500.0,9.9,188.0,17.2,24.4,21.3,,,,,,ABS + EBD + BAS,יש,394.8,171.5,148.3,245.2,285.0,980.0,1090.0,,,50.0
57,4,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,6000.0,24.5,1400.0,9.5,202.0,13.0,20.4,16.9,,,,,,ABS + EBD + BAS,יש,453.0,187.1,150.5,272.7,468.0,,,,,60.0
57,4,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,6000.0,24.5,1400.0,9.5,202.0,13.0,20.4,16.9,,,,,,ABS + EBD + BAS,יש,453.0,187.1,150.5,272.7,468.0,,,,,60.0
57,20,2018,קדמית,אוטומטית,8.0,4.0,5500.0,25.5,1650.0,8.9,220.0,13.3,20.4,16.9,,,,,,ABS + EBD + BAS,יש,457.3,190.6,162.5,273.0,555.0,1752.0,1425.0,,,55.0
57,20,2019,קדמית,אוטומטית,8.0,4.0,5500.0,25.5,1650.0,8.9,220.0,13.3,20.4,16.9,,,,,,ABS + EBD + BAS,יש,457.3,190.6,162.5,273.0,555.0,1752.0,1425.0,,,55.0
