make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
מיני,קלאבמן,,2011,5,4,--,6,--,--,0,2007,קדמית,ידנית,6,בנזין,4,1598,120,6000,16.3,4250,9.8,201,--,--,18.1,--,--,--,--,--,3,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,394.0,168.0,143.0,255.0,260,930,1145,--,--,175/65R15,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2008,5,4,--,6,--,--,0,2007,קדמית,ידנית,6,בנזין,4,1598,120,6000,16.3,4250,9.8,201,--,--,18.1,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,394.0,168.0,143.0,255.0,260,930,1145,--,--,175/65R15,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2009,5,4,--,6,--,--,0,2007,קדמית,ידנית,6,בנזין,4,1598,120,6000,16.3,4250,9.8,201,--,--,18.1,--,--,--,--,--,3,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,394.0,168.0,143.0,255.0,260,930,1145,--,--,175/65R15,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2009,5,4,--,6,--,--,0,2007,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1598,175,5500,24.4,1600,7.8,219,--,--,14.2,--,--,--,--,--,4,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,396.0,168.0,143.0,255.0,260,930,1230,--,--,195/55R16,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2011,5,4,--,6,--,--,0,2007,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1598,175,5500,24.4,1600,7.8,219,--,--,14.2,--,--,--,--,--,4,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,396.0,168.0,143.0,255.0,260,930,1230,--,--,195/55R16,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2011,5,4,--,6,--,--,0,2007,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1598,120,6000,16.3,4250,10.9,195,--,--,15.1,--,--,--,--,--,4,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,396.0,168.0,143.0,255.0,260,930,1185,--,--,175/65R15,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2010,5,2+2,--,6,--,--,0,2007,קדמית,ידנית,6,טורבו בנזין,4,1598,175,5500,24.4,1600,7.6,224,--,--,15.8,--,--,--,--,--,4,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,396.0,168.0,143.0,255.0,260,930,1205,--,--,195/55R16,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2009,5,2+2,--,6,--,--,0,2007,קדמית,ידנית,6,טורבו בנזין,4,1598,175,5500,24.4,1600,7.6,224,--,--,15.8,--,--,--,--,--,4,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,396.0,168.0,143.0,255.0,260,930,1205,--,--,195/55R16,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2008,5,4,--,6,--,--,0,2007,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1598,120,6000,16.3,4250,10.9,195,--,--,15.1,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,396.0,168.0,143.0,255.0,260,930,1185,--,--,175/65R15,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
מיני,קלאבמן,,2011,5,2+2,--,6,--,--,0,2007,קדמית,ידנית,6,טורבו בנזין,4,1598,175,5500,24.4,1600,7.6,224,--,--,15.8,--,--,--,--,--,4,אין ציון,ABS + EBD + BAS,6,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,396.0,168.0,143.0,255.0,260,930,1205,--,--,195/55R16,40,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
