,Unnamed: 0_x,Unnamed: 0.1,tozeret_cd,tozar,kinuy_mishari,ramat_gimur_x,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm_x,automatic_ind,mispar_halonot_hashmal,merkav,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,technologiat_hanaa_cd,technologiat_hanaa_nm,n_model,Unnamed: 0_y,make,model,ramat_gimur_y,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm_y,sitting.1,engine_cd
0,10950,10950,33,אופל,CORSA,OPC,2012,1,4,1598,1735,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,192,5,,הנעה רגילה,קורסה,77,אופל,קורסה OPC,,2012,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,192,5800.0,23.0,1980.0,7.2,225,10.2,16.9,13.6,,,,,,ABS + EBD,6,יש,יש,404.0,171.5,149.0,251.0,285.0,1050.0,1205.0,,,,,235/35R18,44.0,2X4,5,1
1,11080,11080,33,אופל,CORSA,OPC,2012,60,4,1598,1735,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,192,5,,הנעה רגילה,קורסה,77,אופל,קורסה OPC,,2012,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,192,5800.0,23.0,1980.0,7.2,225,10.2,16.9,13.6,,,,,,ABS + EBD,6,יש,יש,404.0,171.5,149.0,251.0,285.0,1050.0,1205.0,,,,,235/35R18,44.0,2X4,5,1
2,10951,10951,33,אופל,CORSA,OPC,2013,1,4,1598,1735,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,192,5,,הנעה רגילה,קורסה,76,אופל,קורסה OPC,,2013,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,192,5800.0,23.0,1980.0,7.2,225,10.2,16.9,13.6,,,,,,ABS + EBD,6,יש,יש,404.0,171.5,149.0,251.0,285.0,1050.0,1205.0,,,,,235/35R18,44.0,2X4,5,1
3,11081,11081,33,אופל,CORSA,OPC,2013,60,4,1598,1735,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,192,5,,הנעה רגילה,קורסה,76,אופל,קורסה OPC,,2013,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,192,5800.0,23.0,1980.0,7.2,225,10.2,16.9,13.6,,,,,,ABS + EBD,6,יש,יש,404.0,171.5,149.0,251.0,285.0,1050.0,1205.0,,,,,235/35R18,44.0,2X4,5,1
4,10952,10952,33,אופל,CORSA,OPC,2014,1,4,1598,1735,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,192,5,,הנעה רגילה,קורסה,75,אופל,קורסה OPC,,2014,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,192,5800.0,23.0,1980.0,7.2,225,10.2,16.9,13.6,,,,,,ABS + EBD,6,יש,יש,404.0,171.5,149.0,251.0,285.0,1050.0,1205.0,,,,,235/35R18,44.0,2X4,5,1
5,11082,11082,33,אופל,CORSA,OPC,2014,60,4,1598,1735,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,192,5,,הנעה רגילה,קורסה,75,אופל,קורסה OPC,,2014,3,5,קדמית,ידנית,6.0,טורבו בנזין,4.0,1598.0,192,5800.0,23.0,1980.0,7.2,225,10.2,16.9,13.6,,,,,,ABS + EBD,6,יש,יש,404.0,171.5,149.0,251.0,285.0,1050.0,1205.0,,,,,235/35R18,44.0,2X4,5,1
6,10959,10959,33,אופל,CORSA,ESSENTIA,2012,4,1,1229,1595,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,85,5,,הנעה רגילה,קורסה,61,אופל,קורסה,ESSENTIA,2012,3,5,קדמית,ידנית,5.0,בנזין,4.0,1229.0,85,5600.0,11.5,4000.0,12.4,172,13.8,22.2,18.1,,,,,,ABS + EBD + BAS,4,יש,יש,399.9,171.3,148.8,251.1,285.0,1050.0,1145.0,,,450.0,750.0,185/70R14,45.0,2X4,5,1
7,10959,10959,33,אופל,CORSA,ESSENTIA,2012,4,1,1229,1595,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,85,5,,הנעה רגילה,קורסה,62,אופל,קורסה,YOU,2012,3,5,קדמית,ידנית,5.0,בנזין,4.0,1229.0,85,5600.0,11.5,4000.0,12.4,172,13.8,22.2,18.1,,,,,,ABS + EBD + BAS,4,יש,יש,399.9,171.3,148.8,251.1,285.0,1050.0,1145.0,,,450.0,750.0,185/70R14,45.0,2X4,5,1
8,10960,10960,33,אופל,CORSA,ESSENTIA,2013,4,1,1229,1595,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,85,5,,הנעה רגילה,קורסה,55,אופל,קורסה,YOU,2013,3,5,קדמית,ידנית,5.0,בנזין,4.0,1229.0,85,5600.0,11.5,4000.0,12.4,172,13.8,22.2,18.1,,,,,,ABS + EBD + BAS,4,יש,יש,399.9,171.3,148.8,251.1,285.0,1050.0,1145.0,,,450.0,750.0,185/70R14,45.0,2X4,5,1
9,10960,10960,33,אופל,CORSA,ESSENTIA,2013,4,1,1229,1595,,1.0,4X2,0,2,הצ'בק,1,בנזין,3,85,5,,הנעה רגילה,קורסה,58,אופל,קורסה,ESSENTIA,2013,3,5,קדמית,ידנית,5.0,בנזין,4.0,1229.0,85,5600.0,11.5,4000.0,12.4,172,13.8,22.2,18.1,,,,,,ABS + EBD + BAS,4,יש,יש,399.9,171.3,148.8,251.1,285.0,1050.0,1145.0,,,450.0,750.0,185/70R14,45.0,2X4,5,1
