tozeret_cd,degem_cd
676,618
481,246
739,177
676,615
481,267
588,289
676,629
481,246
739,177
481,267
778,183
588,250
481,273
778,184
739,173
724,316
676,857
739,177
724,316
481,246
739,177
650,258
676,857
739,185
724,316
481,246
676,857
739,185
724,316
778,365
481,246
443,22
724,316
739,177
676,777
724,316
481,246
253,98
817,139
650,308
481,246
253,96
817,77
650,308
845,77
481,267
650,308
496,54
885,398
676,548
19,860
588,182
676,552
443,22
481,308
739,194
481,302
885,502
496,123
676,552
968,9
676,552
443,22
968,9
676,548
139,32
443,22
481,235
676,548
143,789
481,246
253,97
676,548
139,31
885,519
676,618
443,22
722,430
443,22
845,70
443,22
722,430
443,22
481,305
650,344
593,2202
676,863
695,65
676,875
968,9
143,788
443,22
676,618
968,9
676,848
593,2112
650,368
481,235
968,9
676,865
481,235
676,615
676,629
481,235
590,216
481,235
650,323
676,844
139,32
650,327
19,752
650,327
637,148
21,99
968,9
481,256
481,267
676,629
845,70
650,327
481,256
676,615
650,327
590,217
676,416
351,123
650,308
778,257
968,9
637,150
481,256
778,183
845,70
968,9
650,308
253,97
676,407
301,89
968,9
968,9
481,235
481,235
502,14
968,9
481,256
968,9
19,704
481,256
676,552
502,14
968,9
637,148
676,478
502,14
481,235
885,540
845,70
968,9
845,70
481,235
301,63
650,308
928,107
845,70
481,305
650,308
771,256
885,539
650,336
940,149
481,305
715,89
624,134
650,327
885,507
481,246
676,618
637,154
676,615
502,14
650,327
502,14
676,657
481,235
481,305
968,9
676,676
481,246
481,235
481,235
650,327
885,520
481,235
481,305
481,246
778,183
481,246
481,234
845,77
676,552
481,246
481,235
845,82
481,246
676,567
650,327
968,9
481,246
443,22
502,15
771,250
676,567
771,250
676,552
650,323
650,323
481,295
650,323
502,15
739,159
650,354
481,295
603,38
481,305
650,349
676,846
502,14
771,250
603,38
676,552
650,354
676,856
650,349
771,250
724,624
481,246
676,857
739,177
778,365
739,177
778,365
301,75
739,176
253,98
650,344
778,166
416,224
481,246
845,77
650,344
676,606
481,246
817,77
650,354
676,618
845,84
481,246
650,335
676,615
845,79
403,24
481,246
676,689
650,308
724,705
481,246
496,123
676,903
650,323
724,316
590,216
730,35
481,246
839,144
502,14
771,250
704,26
839,195
771,250
676,455
650,323
778,184
650,323
676,615
885,519
676,856
496,47
481,246
502,14
590,216
830,185
496,47
676,857
502,14
496,47
676,857
481,246
481,294
650,323
481,294
496,47
481,294
676,615
771,249
496,47
650,354
351,116
845,63
650,347
676,615
481,246
676,617
502,14
676,478
650,378
502,14
481,246
650,353
481,235
676,629
481,246
650,349
502,14
676,625
650,354
778,184
481,235
481,246
778,184
502,14
481,246
676,615
502,14
672,80
481,246
676,646
481,235
650,349
650,359
778,184
481,235
481,256
416,234
650,348
778,253
650,347
739,166
481,257
496,54
778,184
650,359
416,222
724,316
481,256
237,37
650,335
739,185
481,256
990,83
416,222
650,335
19,506
481,247
650,339
990,97
416,234
481,256
185,13
990,97
990,97
516,17
416,85
481,308
650,358
19,570
481,247
481,294
650,349
481,227
502,15
416,234
650,335
502,14
481,246
416,227
650,368
502,14
185,13
516,17
502,14
481,246
650,349
502,14
650,349
502,14
650,359
624,139
650,354
253,80
650,386
185,13
502,14
481,246
624,133
502,14
650,358
481,246
771,250
481,235
724,666
771,250
650,348
185,13
502,14
588,202
650,349
502,14
650,386
676,657
650,386
588,202
481,246
143,62
650,349
650,388
185,14
481,235
650,398
771,250
516,17
676,655
650,388
676,645
650,335
516,17
481,255
650,335
481,294
778,184
650,257
771,250
481,247
481,294
516,17
771,250
778,257
771,250
481,235
481,294
481,294
481,247
650,324
481,235
481,294
185,14
650,404
481,235
481,294
650,348
771,250
778,184
771,250
481,294
516,17
185,14
771,250
590,216
603,69
481,235
588,222
481,294
185,14
481,235
603,69
676,414
481,235
603,69
588,223
650,386
588,182
481,235
481,235
416,224
481,235
185,14
817,148
416,232
603,69
185,14
739,173
481,247
588,219
481,294
185,14
603,69
603,69
185,14
416,223
481,247
481,247
603,69
739,173
739,173
481,294
739,173
845,70
481,294
588,202
185,14
481,294
885,506
771,250
481,294
771,250
603,69
496,47
771,250
185,14
676,572
481,267
481,294
845,70
185,14
603,75
676,548
185,14
481,294
845,70
185,14
481,294
676,639
845,70
481,294
845,70
481,294
496,47
590,214
676,646
481,294
845,70
676,478
650,358
845,70
481,294
676,478
845,70
481,294
185,14
603,75
185,14
481,294
502,14
845,70
481,294
845,70
481,294
676,409
676,844
885,506
676,553
185,14
845,70
502,14
724,273
650,386
676,584
739,173
185,14
301,63
139,32
845,70
739,173
676,409
185,14
739,173
771,250
676,483
185,14
739,166
845,70
676,484
739,173
185,14
739,173
481,294
624,137
885,540
676,629
712,23
185,14
771,250
481,235
496,56
928,105
676,489
712,23
185,14
588,202
423,19
845,70
712,23
185,14
771,257
845,70
416,199
185,14
845,70
185,14
253,98
481,294
650,409
481,273
185,14
771,250
185,13
845,70
185,13
481,273
845,70
416,199
481,273
845,70
624,132
481,273
650,348
845,70
845,70
724,318
481,273
624,132
416,199
940,146
416,199
676,655
885,537
481,308
650,308
650,402
885,537
647,30
481,235
885,537
676,414
416,223
778,183
650,402
778,255
650,399
481,235
650,399
481,305
481,273
724,316
676,455
481,273
143,789
481,273
650,354
739,173
593,1075
650,404
637,126
481,273
481,229
817,77
676,414
481,273
481,257
650,354
650,354
817,155
481,246
185,9
481,273
647,30
650,406
739,176
603,71
481,273
143,789
481,273
739,174
637,154
481,273
481,235
739,189
481,273
771,249
496,53
481,273
481,273
650,359
496,53
603,71
143,788
481,273
650,404
237,36
637,154
481,273
603,71
637,150
481,273
481,1241
481,299
885,506
715,86
603,38
739,173
603,38
481,235
481,235
637,126
351,125
481,255
603,38
845,77
57,22
650,349
268,36
351,125
885,512
650,353
695,65
845,77
650,358
845,77
676,844
603,38
185,9
185,9
496,124
268,36
650,393
603,38
676,552
845,77
845,77
650,353
676,646
739,174
676,409
724,316
650,386
637,146
253,96
603,38
637,149
603,38
695,65
603,38
351,124
637,146
496,54
185,9
727,45
845,77
724,296
481,236
588,223
19,714
739,166
722,278
739,194
650,386
496,56
481,257
185,9
496,47
143,814
724,677
603,38
143,822
715,78
845,77
739,185
845,77
19,744
845,77
481,256
739,173
481,256
496,57
143,822
603,38
185,9
603,38
650,336
771,250
739,173
845,77
771,250
268,56
650,395
143,822
676,539
771,250
481,236
676,409
593,1839
739,188
845,77
603,38
676,478
650,397
650,336
885,514
940,146
423,24
724,274
845,77
676,414
845,77
650,395
650,353
676,552
845,77
603,75
676,606
481,247
19,667
603,71
676,682
603,38
676,407
676,647
603,38
676,647
676,615
351,115
481,236
1294,1
845,77
603,75
603,38
676,618
496,54
676,618
771,250
624,137
516,14
603,38
845,77
603,38
676,639
676,478
237,37
351,116
778,277
481,246
845,77
481,299
817,155
481,285
739,194
253,97
739,185
650,353
739,173
940,156
603,38
516,14
603,38
722,255
650,339
603,38
253,100
739,174
481,305
778,184
481,267
739,173
650,353
722,255
423,24
481,189
650,353
676,657
253,100
650,368
253,100
650,368
676,857
771,250
676,905
845,77
676,825
253,97
33,150
676,903
771,250
253,96
650,347
771,250
739,174
637,155
885,506
771,250
1294,1
845,77
253,100
724,705
637,155
845,77
301,75
845,77
1294,1
845,77
724,299
771,250
1294,1
253,100
481,305
593,1042
676,409
650,328
253,100
845,77
253,100
771,250
830,303
481,235
676,894
351,125
481,256
481,307
650,358
778,165
624,137
253,96
885,506
650,396
637,149
845,84
253,100
588,245
676,893
845,83
885,514
588,205
676,846
940,145
481,308
676,893
588,217
57,23
676,856
637,146
253,99
845,77
351,123
253,99
885,1021
253,99
624,130
253,99
301,89
885,398
57,23
624,132
253,99
481,285
253,99
817,157
650,328
739,174
253,99
588,218
253,99
676,684
650,358
481,267
676,615
650,347
624,112
676,615
771,268
481,247
676,615
650,353
771,268
676,615
771,268
771,249
676,618
650,396
650,335
771,268
676,646
650,396
771,268
650,335
722,420
650,323
771,268
778,253
481,246
771,268
481,273
722,518
650,323
481,235
961,213
650,323
650,396
624,127
481,287
676,484
481,235
739,166
481,299
885,537
845,83
724,334
739,185
771,259
771,268
481,235
771,250
481,267
268,57
845,77
481,256
650,323
603,71
676,548
481,235
481,235
637,142
481,235
739,166
650,368
650,393
1231,1
771,250
676,618
637,148
650,323
603,71
1231,1
603,75
603,75
845,77
771,250
603,75
481,235
845,77
676,622
885,537
928,104
253,96
676,416
885,537
481,273
885,537
771,250
778,354
739,174
845,77
817,158
845,77
603,75
676,548
481,235
650,396
603,75
928,104
771,250
496,53
650,323
1231,1
885,512
650,323
603,75
637,134
739,166
845,77
603,75
845,77
603,75
771,250
771,250
739,174
603,75
481,256
739,192
603,75
301,86
676,626
739,192
603,75
739,195
603,75
650,323
650,323
283,53
771,257
845,77
676,856
650,323
845,77
650,396
650,323
650,323
739,174
624,123
739,182
845,84
885,502
676,869
650,323
845,84
650,323
603,75
624,123
650,396
650,323
771,250
739,174
603,76
771,250
778,275
885,514
771,250
676,875
603,76
778,276
885,514
771,250
739,194
778,256
676,905
624,127
481,247
416,222
778,276
845,77
771,257
481,247
724,298
481,287
481,247
624,137
1231,1
885,502
481,256
481,247
588,182
1231,1
771,250
968,9
845,75
778,268
481,308
771,250
676,905
416,224
1231,1
139,32
603,38
416,224
481,308
139,32
676,824
416,203
845,77
637,150
1231,1
423,28
416,224
845,77
650,323
139,32
1231,1
845,77
885,519
650,323
845,77
650,323
885,466
845,77
676,489
624,137
650,323
845,77
624,134
739,159
845,77
1231,1
650,323
637,146
845,77
637,144
650,323
19,663
416,227
139,32
634,16
637,167
885,51
1231,1
650,354
637,167
496,57
650,354
845,77
650,406
845,77
1231,1
845,77
1231,1
637,126
845,77
728,84
481,303
817,156
650,397
637,152
845,77
739,173
885,514
817,155
845,73
481,308
481,295
728,55
845,77
845,85
637,152
1231,1
845,77
650,393
771,250
845,77
728,78
739,162
351,126
481,235
940,146
650,393
624,127
351,126
496,56
650,398
845,79
103,53
771,249
603,71
481,235
650,354
885,514
771,259
771,257
481,235
603,71
481,235
637,146
676,478
603,71
845,77
940,145
139,32
650,393
253,87
1231,1
312,492
624,126
771,250
481,235
637,126
1231,1
676,857
739,173
940,156
885,514
676,655
712,26
771,250
676,552
637,148
885,519
1231,1
603,71
481,235
588,223
1231,1
481,247
676,639
845,84
1231,1
481,235
650,393
481,235
481,265
637,155
481,235
481,247
637,155
739,185
481,235
845,82
590,216
845,74
253,96
588,187
845,84
778,184
481,235
778,366
637,155
845,74
778,184
885,519
19,846
885,466
637,155
496,47
637,155
103,54
481,256
885,519
637,126
481,256
496,47
481,235
676,856
771,249
1231,1
496,47
637,126
676,875
637,126
845,74
637,148
676,863
1294,1
676,863
845,74
885,537
588,187
481,286
778,258
637,155
650,393
588,187
637,155
423,23
778,166
624,117
496,48
637,149
496,48
650,359
637,155
603,71
603,71
940,146
845,74
496,48
253,97
940,146
301,79
771,250
771,250
778,253
496,132
481,235
778,184
588,187
778,253
1231,1
301,89
771,250
778,253
481,255
845,74
940,146
481,256
940,146
940,146
637,149
817,155
940,146
771,250
481,246
1294,1
481,246
845,77
739,174
778,184
588,218
727,36
845,74
739,185
481,246
771,250
739,166
845,74
771,250
416,227
481,246
416,227
771,250
739,177
845,74
481,246
885,513
771,250
845,74
496,134
845,74
885,540
676,893
481,235
624,134
496,135
481,1241
676,825
603,38
739,185
1231,1
676,878
650,394
416,223
481,235
730,8
885,466
676,905
885,1021
481,235
1231,1
351,126
1231,1
771,268
301,64
590,217
1231,1
590,216
253,96
590,217
481,299
590,216
351,96
676,893
481,255
637,154
590,217
481,287
416,235
481,235
637,143
481,256
885,519
590,217
676,898
603,71
416,216
496,132
817,157
845,77
637,126
603,38
739,174
481,256
496,133
590,209
603,71
637,126
778,367
496,133
603,38
603,38
253,96
481,235
496,133
481,256
724,299
481,256
650,354
637,126
481,267
481,235
481,235
676,655
416,227
481,302
1231,1
301,98
496,133
1231,1
778,255
481,235
739,167
739,178
590,216
739,178
624,123
588,202
778,184
624,123
624,123
590,217
351,123
778,184
845,77
590,216
650,402
650,402
590,216
675,6
590,216
624,137
624,123
650,402
778,255
940,155
650,402
481,308
351,119
496,53
351,117
496,53
724,316
143,658
715,86
676,857
650,402
590,216
771,250
845,77
637,148
496,54
481,235
637,148
885,519
590,217
590,184
351,116
481,308
481,235
676,866
650,402
676,897
19,666
590,209
143,792
481,235
739,188
885,502
650,402
676,856
650,402
1231,1
885,530
771,250
590,209
481,228
778,184
253,99
481,235
481,235
590,209
771,250
481,235
481,235
676,856
771,250
590,214
771,250
676,893
481,307
845,78
771,250
590,216
650,402
590,217
650,402
351,118
481,235
603,38
1231,1
739,185
778,254
603,75
481,303
1231,1
771,250
481,235
676,552
771,250
1231,1
676,857
624,127
481,255
650,396
885,502
771,268
481,235
771,250
603,76
739,185
771,250
724,417
637,168
650,402
1231,1
885,513
481,235
771,250
603,76
624,140
516,17
771,250
481,235
603,76
516,17
771,250
481,255
481,235
516,17
771,250
650,393
481,235
771,250
885,523
845,82
1231,1
481,235
650,404
885,523
351,106
676,552
481,235
481,247
1231,1
351,110
253,96
676,552
481,308
885,524
253,99
676,457
928,107
253,99
676,606
637,142
885,502
481,246
637,155
676,414
253,100
416,235
650,402
301,59
637,155
253,96
650,397
253,87
637,134
1231,1
516,17
676,455
650,404
516,17
771,250
940,146
516,17
676,857
253,100
940,146
516,17
624,137
1231,1
637,126
516,17
739,178
940,155
253,97
676,552
624,134
650,354
722,320
676,618
481,295
253,100
253,97
416,217
481,255
253,86
143,912
771,250
650,354
253,96
423,22
185,9
481,246
481,256
624,116
351,126
771,250
845,74
423,20
481,246
771,250
624,127
845,74
624,126
481,246
845,74
624,132
637,143
481,246
416,234
722,278
351,116
928,104
253,86
143,792
928,104
724,316
481,246
351,116
481,246
351,116
695,74
516,17
624,123
19,700
637,134
650,404
676,857
650,402
481,246
724,316
650,393
771,250
481,246
845,74
771,250
676,904
481,267
885,524
676,863
676,865
481,246
724,417
481,246
724,316
778,185
676,857
778,252
676,856
603,38
676,839
11,6
637,149
845,74
650,393
268,57
771,256
603,75
712,26
845,74
817,156
603,75
885,502
676,414
845,74
650,396
637,126
676,615
845,74
624,127
283,52
845,74
885,519
676,689
771,250
481,305
885,519
676,615
253,89
676,615
1106,3
676,615
588,223
676,548
603,75
676,552
603,75
416,227
351,123
481,223
588,182
739,185
481,305
771,250
481,223
676,552
739,185
624,140
416,227
771,250
1231,1
603,69
739,185
624,137
676,552
730,127
590,209
676,455
637,146
727,48
647,26
416,227
268,57
481,203
637,175
676,677
624,148
739,174
481,179
1231,1
845,59
624,147
739,174
590,209
676,622
588,179
885,514
603,75
588,202
481,189
676,657
603,38
416,235
588,202
676,675
603,75
637,178
676,409
253,79
739,188
650,413
588,202
481,234
885,466
1231,1
603,75
624,147
676,488
603,76
603,69
676,489
19,667
603,76
603,69
885,502
940,66
268,57
845,82
481,189
637,182
268,57
650,393
637,179
676,675
885,514
481,199
481,257
588,202
351,116
603,71
1106,2
845,63
676,664
588,202
481,305
637,177
481,257
739,165
481,247
637,177
845,77
351,132
481,305
416,234
676,646
928,26
593,1863
771,250
588,202
724,405
771,250
351,125
544,31
650,413
351,132
481,203
603,71
416,234
778,276
496,56
603,71
845,79
845,65
771,257
771,250
423,24
739,185
481,308
481,225
481,247
481,203
778,276
771,250
351,132
771,250
637,179
603,71
481,235
724,318
351,132
845,65
351,132
739,167
481,225
481,305
885,535
603,71
968,8
481,265
588,202
771,250
253,96
19,686
637,177
676,869
771,250
351,125
624,110
481,247
940,158
637,146
845,79
885,513
637,146
590,215
351,132
481,247
676,636
590,209
351,132
739,188
481,267
588,202
590,214
778,259
885,524
481,247
637,176
778,257
650,414
588,202
481,189
885,479
845,63
481,246
885,479
253,87
885,530
650,396
637,146
776,109
845,63
637,143
722,431
481,255
650,396
637,149
496,136
845,59
588,215
845,79
845,79
817,158
845,83
143,788
845,63
885,502
727,48
845,84
143,822
481,287
885,515
637,148
885,519
481,235
771,256
590,210
1294,1
845,59
778,274
590,216
739,166
588,202
253,78
351,96
885,398
778,377
139,32
253,87
771,250
676,455
590,217
940,146
940,146
588,215
845,64
588,202
253,96
845,58
481,235
778,276
481,235
771,258
139,28
481,235
590,209
139,32
481,247
724,316
650,397
416,224
650,396
283,53
481,246
481,235
139,32
676,893
771,249
885,514
253,100
676,716
885,466
481,246
704,26
885,466
771,250
351,116
253,99
139,29
845,82
351,119
885,466
940,146
139,29
481,235
839,212
910,55
839,212
481,204
845,85
650,396
676,1306
588,202
845,79
496,54
650,404
588,202
839,214
416,234
588,202
590,214
416,234
845,58
624,125
588,202
481,273
593,1842
676,1305
650,354
676,657
423,31
676,1305
253,97
676,1305
416,234
588,202
839,212
650,354
590,216
839,214
771,257
650,404
481,243
588,202
676,657
416,234
588,202
590,210
496,54
650,393
603,71
839,214
588,202
603,71
603,71
676,863
603,71
650,393
416,234
822,13
588,202
739,177
603,71
839,214
839,212
152,133
603,71
603,71
845,77
481,285
603,71
739,177
481,256
603,71
676,625
839,211
481,286
603,71
676,844
845,64
839,212
778,183
481,275
778,183
481,305
739,185
650,404
603,71
839,212
416,224
845,64
416,224
845,60
727,68
416,212
481,247
778,253
845,77
885,463
839,212
817,155
778,183
885,514
603,71
103,53
588,202
839,212
885,520
839,212
650,359
139,28
624,116
845,84
676,663
885,540
885,513
603,71
416,235
839,211
822,13
676,555
839,211
590,209
496,57
845,60
839,214
771,249
845,60
885,502
283,52
416,85
839,214
839,119
516,14
588,202
481,294
839,202
885,502
253,86
885,519
637,143
676,857
739,174
624,116
481,188
839,202
237,36
676,857
139,32
817,155
603,71
637,143
845,64
778,183
845,64
590,209
351,116
603,71
845,83
778,183
351,117
481,308
481,267
778,253
481,286
845,64
650,354
724,318
481,294
845,64
650,404
940,145
845,60
253,98
885,537
845,60
650,404
496,57
481,189
481,286
885,520
624,129
845,65
481,287
351,115
650,414
481,234
822,11
624,112
650,394
481,234
650,354
822,11
675,6
650,396
253,86
301,68
253,89
481,299
822,13
778,184
481,235
650,354
724,316
885,514
481,287
481,235
817,155
715,89
650,404
481,235
817,156
676,575
481,274
416,224
637,148
481,235
650,404
496,123
481,235
21,102
885,1021
650,393
739,189
715,78
885,466
268,58
603,69
481,11
650,393
416,235
637,148
650,398
603,69
676,407
481,235
588,202
637,134
739,166
676,618
676,618
845,77
676,618
839,193
481,256
481,235
817,158
139,32
739,165
650,354
676,857
676,615
650,394
885,520
676,689
885,519
885,519
481,257
481,299
676,618
885,514
676,639
637,146
481,235
481,235
676,857
481,287
481,235
143,658
416,223
676,639
676,1128
590,215
676,639
941,790
839,193
19,700
839,193
676,825
778,442
839,132
143,774
845,74
778,438
481,256
839,202
481,235
650,393
676,639
839,202
481,256
416,235
351,116
839,202
676,646
139,32
481,256
650,393
817,149
481,235
839,202
778,438
739,185
603,38
650,394
778,438
839,202
603,71
778,438
885,507
778,438
839,202
739,177
603,71
778,438
603,38
839,202
739,185
778,438
481,235
778,438
496,58
839,202
885,523
603,71
341,38
885,520
481,235
885,524
778,438
739,177
778,438
488,138
430,12
481,235
603,38
728,100
778,438
516,14
603,71
885,519
502,3
650,354
778,438
676,629
481,234
676,639
603,38
488,129
778,438
650,397
488,129
603,71
778,438
650,393
885,1021
253,87
778,438
650,394
488,138
885,398
778,438
488,138
588,911
778,438
603,71
676,857
624,127
283,98
603,69
603,38
885,519
481,305
603,69
603,38
885,519
253,86
481,294
603,38
676,615
253,86
