,tozar,kinuy_mishari,shnat_yitzur,tozeret_cd,degem_cd
0,אאודי,A1,2010,551,11
1,אאודי,A1,2010,551,21
2,אאודי,A1,2011,551,1
3,אאודי,A1,2011,551,2
4,אאודי,A1,2011,551,11
5,אאודי,A1,2011,551,21
6,אאודי,A1,2012,551,1
7,אאודי,A1,2012,551,2
8,אאודי,A1,2012,551,3
9,אאודי,A1,2012,551,4
10,אאודי,A1,2012,551,5
11,אאודי,A1,2012,551,6
12,אאודי,A1,2012,551,7
13,אאודי,A1,2012,551,11
14,אאודי,A1,2012,551,20
15,אאודי,A1,2012,551,21
16,אאודי,A1,2013,551,1
17,אאודי,A1,2013,551,2
18,אאודי,A1,2013,551,4
19,אאודי,A1,2013,551,6
20,אאודי,A1,2013,551,7
21,אאודי,A1,2013,551,8
22,אאודי,A1,2013,551,9
23,אאודי,A1,2013,551,10
24,אאודי,A1,2013,551,11
25,אאודי,A1,2013,551,12
26,אאודי,A1,2013,551,13
27,אאודי,A1,2013,551,14
28,אאודי,A1,2013,551,15
29,אאודי,A1,2013,551,16
30,אאודי,A1,2013,551,17
31,אאודי,A1,2013,551,18
32,אאודי,A1,2013,551,19
33,אאודי,A1,2013,551,20
34,אאודי,A1,2013,551,21
35,אאודי,A1,2013,551,22
36,אאודי,A1,2013,551,23
37,אאודי,A1,2014,551,4
38,אאודי,A1,2014,551,6
39,אאודי,A1,2014,551,9
40,אאודי,A1,2014,551,11
41,אאודי,A1,2014,551,13
42,אאודי,A1,2014,551,15
43,אאודי,A1,2014,551,16
44,אאודי,A1,2014,551,18
45,אאודי,A1,2014,551,19
46,אאודי,A1,2014,551,22
47,אאודי,A1,2014,551,23
48,אאודי,A1,2014,551,24
49,אאודי,A1,2014,551,25
50,אאודי,A1,2014,551,26
51,אאודי,A1,2014,551,27
52,אאודי,A1,2014,551,28
53,אאודי,A1,2014,551,29
54,אאודי,A1,2014,551,30
55,אאודי,A1,2014,551,31
56,אאודי,A1,2014,551,32
57,אאודי,A1,2014,551,33
58,אאודי,A1,2014,551,34
59,אאודי,A1,2014,551,35
60,אאודי,A1,2014,551,36
61,אאודי,A1,2014,551,37
62,אאודי,A1,2014,551,38
63,אאודי,A1,2014,551,39
64,אאודי,A1,2014,551,40
65,אאודי,A1,2014,551,41
66,אאודי,A1,2014,551,43
67,אאודי,A1,2015,551,24
68,אאודי,A1,2015,551,25
69,אאודי,A1,2015,551,33
70,אאודי,A1,2015,551,34
71,אאודי,A1,2015,551,35
72,אאודי,A1,2015,551,36
73,אאודי,A1,2015,551,37
74,אאודי,A1,2015,551,38
75,אאודי,A1,2015,551,39
76,אאודי,A1,2015,551,40
77,אאודי,A1,2015,551,41
78,אאודי,A1,2015,551,43
79,אאודי,A1,2015,551,44
80,אאודי,A1,2015,551,45
81,אאודי,A1,2015,551,46
82,אאודי,A1,2015,551,47
83,אאודי,A1,2015,551,48
84,אאודי,A1,2015,551,49
85,אאודי,A1,2015,551,50
86,אאודי,A1,2015,551,51
87,אאודי,A1,2015,551,52
88,אאודי,A1,2015,551,53
89,אאודי,A1,2015,551,54
90,אאודי,A1,2015,551,55
91,אאודי,A1,2015,551,56
92,אאודי,A1,2015,551,57
93,אאודי,A1,2015,551,58
94,אאודי,A1,2015,551,59
95,אאודי,A1,2015,551,60
96,אאודי,A1,2015,551,61
97,אאודי,A1,2016,551,44
98,אאודי,A1,2016,551,45
99,אאודי,A1,2016,551,46
100,אאודי,A1,2016,551,47
101,אאודי,A1,2016,551,48
102,אאודי,A1,2016,551,49
103,אאודי,A1,2016,551,53
104,אאודי,A1,2016,551,54
105,אאודי,A1,2016,551,55
106,אאודי,A1,2016,551,57
107,אאודי,A1,2016,551,59
108,אאודי,A1,2016,551,60
109,אאודי,A1,2016,551,61
110,אאודי,A1,2016,551,62
111,אאודי,A1,2016,551,64
112,אאודי,A1,2016,551,65
113,אאודי,A1,2016,551,66
114,אאודי,A1,2016,551,67
115,אאודי,A1,2016,551,70
116,אאודי,A1,2016,551,71
117,אאודי,A1,2016,551,72
118,אאודי,A1,2016,551,73
119,אאודי,A1,2016,551,74
120,אאודי,A1,2017,551,44
121,אאודי,A1,2017,551,45
122,אאודי,A1,2017,551,46
123,אאודי,A1,2017,551,47
124,אאודי,A1,2017,551,48
125,אאודי,A1,2017,551,49
126,אאודי,A1,2017,551,53
127,אאודי,A1,2017,551,54
128,אאודי,A1,2017,551,55
129,אאודי,A1,2017,551,57
130,אאודי,A1,2017,551,59
131,אאודי,A1,2017,551,60
132,אאודי,A1,2017,551,61
133,אאודי,A1,2017,551,62
134,אאודי,A1,2017,551,64
135,אאודי,A1,2017,551,65
136,אאודי,A1,2017,551,66
137,אאודי,A1,2017,551,67
138,אאודי,A1,2017,551,70
139,אאודי,A1,2017,551,71
140,אאודי,A1,2017,551,73
141,אאודי,A1,2017,551,74
142,אאודי,A1,2017,551,75
143,אאודי,A1,2017,551,76
144,אאודי,A1,2017,551,79
145,אאודי,A1,2017,551,80
146,אאודי,A1,2018,551,54
147,אאודי,A1,2018,551,62
148,אאודי,A1,2018,551,65
149,אאודי,A1,2018,551,74
150,אאודי,A1,2018,551,79
151,אאודי,A1,2018,551,80
152,אאודי,A1,2018,551,85
153,אאודי,A1,2018,551,87
154,אאודי,A1 SB,2016,551,68
155,אאודי,A1 SB,2017,551,68
156,אאודי,A1 SPORTBACK,2012,551,81
157,אאודי,A1 SPORTBACK,2017,551,77
158,אאודי,A1 SPORTBACK,2017,551,78
159,אאודי,A1 SPORTBACK,2017,551,82
160,אאודי,A1 SPORTBACK,2017,551,83
161,אאודי,A1 SPORTBACK,2018,551,77
162,אאודי,A1 SPORTBACK,2018,551,78
163,אאודי,A1 SPORTBACK,2018,551,82
164,אאודי,A1 SPORTBACK,2018,551,83
165,אאודי,A1 SPORTBACK,2018,551,86
166,אאודי,A1 SPORTBACK,2019,268,66
167,אאודי,A1 SPORTBACK,2019,268,67
168,אאודי,A1 SPORTBACK,2019,268,68
169,אאודי,A1 SPORTBACK,2019,268,69
170,אאודי,A1 SPORTBACK,2019,268,70
171,אאודי,A1 SPORTBACK,2019,268,71
172,אאודי,A1 SPORTBACK,2019,268,72
173,אאודי,A1 SPORTBACK,2019,268,73
174,אאודי,A1 SPORTBACK,2019,268,74
175,אאודי,A1 SPORTBACK,2019,268,75
176,אאודי,A1 SPORTBACK,2019,268,76
177,אאודי,A1 SPORTBACK,2019,268,78
178,אאודי,A1 SPORTBACK,2019,268,79
179,אאודי,A1 SPORTBACK,2019,268,80
180,אאודי,A1 SPORTBACK,2019,268,81
181,אאודי,A1 SPORTBACK,2019,268,82
182,אאודי,A1 SPORTBACK,2019,268,83
183,אאודי,A1 SPORTBACK,2019,268,84
184,אאודי,A1 SPORTBACK,2019,268,85
185,אאודי,A1 SPORTBACK,2020,268,67
186,אאודי,A1 SPORTBACK,2020,268,68
187,אאודי,A1 SPORTBACK,2020,268,70
188,אאודי,A1 SPORTBACK,2020,268,71
189,אאודי,A1 SPORTBACK,2020,268,72
190,אאודי,A1 SPORTBACK,2020,268,73
191,אאודי,A1 SPORTBACK,2020,268,78
192,אאודי,A1 SPORTBACK,2020,268,79
193,אאודי,A1 SPORTBACK,2020,268,80
194,אאודי,A1 SPORTBACK,2020,268,81
195,אאודי,A1 SPORTBACK,2020,268,82
196,אאודי,A1 SPORTBACK,2020,268,83
197,אאודי,A1 SPORTBACK,2020,268,84
198,אאודי,A1 SPORTBACK,2020,268,85
199,אאודי,A1 SPORTBACK,2020,268,86
200,אאודי,A1 SPORTBACK,2020,268,87
201,אאודי,A1 SPORTBACK,2020,268,88
202,אאודי,A1 SPORTBACK,2020,268,89
203,אאודי,A1 SPORTBACK,2020,268,90
204,אאודי,A1 SPORTBACK,2020,268,91
205,אאודי,A1 SPORTBACK,2020,268,92
