,dmake,dmodel,dyear,tozeret_cd,model_cd
55000,Kia,CEED,2014,416,74
55001,Kia,CEED,2014,416,75
55002,Kia,CEED,2014,416,76
55003,Kia,CEED,2014,416,77
55004,Kia,CEED,2014,416,78
55005,Kia,CEED,2014,416,79
55006,Kia,CEED,2015,416,29
55007,Kia,CEED,2015,416,32
55008,Kia,CEED,2015,416,33
55009,Kia,CEED,2015,416,34
55010,Kia,CEED,2015,416,35
55011,Kia,CEED,2015,416,36
55012,Kia,CEED,2015,416,37
55013,Kia,CEED,2015,416,65
55014,Kia,CEED,2015,416,66
55015,Kia,CEED,2015,416,67
55016,Kia,CEED,2015,416,68
55017,Kia,CEED,2015,416,69
55018,Kia,CEED,2015,416,70
55019,Kia,CEED,2015,416,72
55020,Kia,CEED,2015,416,73
55021,Kia,CEED,2015,416,74
55022,Kia,CEED,2015,416,75
55023,Kia,CEED,2015,416,76
55024,Kia,CEED,2015,416,77
55025,Kia,CEED,2015,416,78
55026,Kia,CEED,2015,416,79
55027,Kia,CEED,2015,416,90
55028,Kia,CEED,2015,416,92
55029,Kia,CEED,2015,416,93
55030,Kia,CEED,2015,416,94
55031,Kia,CEED,2015,416,95
55032,Kia,CEED,2015,416,96
55033,Kia,CEED,2015,416,97
55034,Kia,CEED,2015,416,98
55035,Kia,CEED,2015,416,99
55036,Kia,CEED,2015,416,100
55037,Kia,CEED,2015,416,102
55038,Kia,CEED,2015,416,103
55039,Kia,CEED,2015,416,104
55040,Kia,CEED,2015,416,105
55041,Kia,CEED,2015,416,106
55042,Kia,CEED,2015,416,107
55043,Kia,CEED,2015,416,108
55044,Kia,CEED,2015,416,109
55045,Kia,CEED,2015,416,231
55046,Kia,CEED,2016,416,65
55047,Kia,CEED,2016,416,76
55048,Kia,CEED,2016,416,90
55049,Kia,CEED,2016,416,92
55050,Kia,CEED,2016,416,93
55051,Kia,CEED,2016,416,94
55052,Kia,CEED,2016,416,95
55053,Kia,CEED,2016,416,96
55054,Kia,CEED,2016,416,97
55055,Kia,CEED,2016,416,98
55056,Kia,CEED,2016,416,99
55057,Kia,CEED,2016,416,100
55058,Kia,CEED,2016,416,102
55059,Kia,CEED,2016,416,103
55060,Kia,CEED,2016,416,105
55061,Kia,CEED,2016,416,106
55062,Kia,CEED,2016,416,107
55063,Kia,CEED,2016,416,108
55064,Kia,CEED,2016,416,109
55065,Kia,CEED,2016,416,126
55066,Kia,CEED,2016,416,127
55067,Kia,CEED,2016,416,128
55068,Kia,CEED,2016,416,129
55069,Kia,CEED,2016,416,130
55070,Kia,CEED,2016,416,132
55071,Kia,CEED,2016,416,133
55072,Kia,CEED,2016,416,134
55073,Kia,CEED,2016,416,135
55074,Kia,CEED,2016,416,136
55075,Kia,CEED,2016,416,137
55076,Kia,CEED,2016,416,138
55077,Kia,CEED,2016,416,139
55078,Kia,CEED,2016,416,140
55079,Kia,CEED,2016,416,142
55080,Kia,CEED,2016,416,144
55081,Kia,CEED,2016,416,145
55082,Kia,CEED,2016,416,146
55083,Kia,CEED,2016,416,147
55084,Kia,CEED,2016,416,148
55085,Kia,CEED,2016,416,149
55086,Kia,CEED,2016,416,152
55087,Kia,CEED,2016,416,153
55088,Kia,CEED,2016,416,155
55089,Kia,CEED,2016,416,156
55090,Kia,CEED,2016,416,178
55091,Kia,CEED,2016,416,179
55092,Kia,CEED,2016,416,180
55093,Kia,CEED,2016,416,182
55094,Kia,CEED,2016,416,185
55095,Kia,CEED,2016,416,193
55096,Kia,CEED,2016,416,231
55097,Kia,CEED,2017,416,106
55098,Kia,CEED,2017,416,126
55099,Kia,CEED,2017,416,128
55100,Kia,CEED,2017,416,130
55101,Kia,CEED,2017,416,133
55102,Kia,CEED,2017,416,135
55103,Kia,CEED,2017,416,137
55104,Kia,CEED,2017,416,139
55105,Kia,CEED,2017,416,140
55106,Kia,CEED,2017,416,144
55107,Kia,CEED,2017,416,145
55108,Kia,CEED,2017,416,146
55109,Kia,CEED,2017,416,147
55110,Kia,CEED,2017,416,148
55111,Kia,CEED,2017,416,149
55112,Kia,CEED,2017,416,155
55113,Kia,CEED,2017,416,156
55114,Kia,CEED,2017,416,157
55115,Kia,CEED,2017,416,158
55116,Kia,CEED,2017,416,159
55117,Kia,CEED,2017,416,162
55118,Kia,CEED,2017,416,163
55119,Kia,CEED,2017,416,164
55120,Kia,CEED,2017,416,165
55121,Kia,CEED,2017,416,166
55122,Kia,CEED,2017,416,167
55123,Kia,CEED,2017,416,177
55124,Kia,CEED,2017,416,178
55125,Kia,CEED,2017,416,179
55126,Kia,CEED,2017,416,180
55127,Kia,CEED,2017,416,182
55128,Kia,CEED,2017,416,183
55129,Kia,CEED,2017,416,184
55130,Kia,CEED,2017,416,185
55131,Kia,CEED,2017,416,186
55132,Kia,CEED,2017,416,187
55133,Kia,CEED,2017,416,193
55134,Kia,CEED,2017,885,387
55135,Kia,CEED,2018,416,144
55136,Kia,CEED,2018,416,145
55137,Kia,CEED,2018,416,146
55138,Kia,CEED,2018,416,147
55139,Kia,CEED,2018,416,156
55140,Kia,CEED,2018,416,159
55141,Kia,CEED,2018,416,163
55142,Kia,CEED,2018,416,165
55143,Kia,CEED,2018,416,167
55144,Kia,CEED,2018,416,177
55145,Kia,CEED,2018,416,178
55146,Kia,CEED,2018,416,179
55147,Kia,CEED,2018,416,180
55148,Kia,CEED,2018,416,182
55149,Kia,CEED,2018,416,183
55150,Kia,CEED,2018,416,184
55151,Kia,CEED,2018,416,185
55152,Kia,CEED,2018,416,186
55153,Kia,CEED,2018,416,187
55154,Kia,CEED,2018,416,193
55155,Kia,CEED,2018,416,198
55156,Kia,CEED,2018,416,199
55157,Kia,CEED,2019,416,198
55158,Kia,CEED,2019,416,199
55159,Kia,CEED,2019,416,200
55160,Kia,CEED,2019,416,202
55161,Kia,CEED,2019,416,204
55162,Kia,CEED,2019,416,207
55163,Kia,CEED,2019,416,218
55164,Kia,CEED,2020,416,198
55165,Kia,CEED,2020,416,199
55166,Kia,CEED,2020,416,200
55167,Kia,CEED,2020,416,202
55168,Kia,CEED,2020,416,204
55169,Kia,CEED,2020,416,207
55170,Kia,CEED,2020,416,218
55171,Kia,CEED,2020,416,219
55172,Kia,CEED,2021,416,198
55173,Kia,CEED,2021,416,199
55174,Kia,CEED,2021,416,200
55175,Kia,CEED,2021,416,202
55176,Kia,CEED,2021,416,204
55177,Kia,CEED,2021,416,219
55178,Kia,CEED,2021,416,228
55179,Kia,CEED,2021,416,229
55180,Kia,CEED,2022,416,229
55181,Kia,CEED,2022,416,240
55182,Kia,CEED,2022,416,242
55183,Kia,CEED,2022,416,244
55184,Kia,CEED,2022,416,245
55185,Kia,CEED,2022,416,246
55186,Kia,CEED,2022,416,247
55187,Kia,CERAT0?,2006,885,201
55188,Kia,CERATO?,2005,885,251
55189,Kia,CERATO?,2005,885,261
55190,Kia,CERATO?,2006,885,251
55191,Kia,CERATO?,2006,885,261
55192,Kia,CERATO?,2006,885,341
55193,Kia,CERATO?,2006,885,351
55194,Kia,CERATO?,2006,885,511
55195,Kia,CERATO?,2007,885,471
55196,Kia,CERATO?,2008,885,471
55197,Kia,CERATO?,2008,885,571
55198,Kia,CERATO?,2009,885,571
55199,Kia,DEED?,2009,416,30
55200,Kia,DEED?,2010,416,30
55201,Kia,DEED?,2011,416,30
55202,Kia,EV6?,2022,885,554
55203,Kia,FORTE?,2009,885,801
55204,Kia,FORTE?,2009,885,841
55205,Kia,FORTE?,2010,885,801
55206,Kia,FORTE?,2010,885,841
55207,Kia,FORTE?,2010,885,1011
55208,Kia,FORTE?,2010,885,1021
55209,Kia,FORTE?,2011,885,801
55210,Kia,FORTE?,2011,885,841
