,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,video_url
0,Opel,CORSA,2014,4,79%,77%,71%,56%,https://www.youtube.com/embed/kXeyJklwAY4
1,BMW,COOPER?,2014,4,79%,73%,66%,56%,https://www.youtube.com/embed/nYw8Ddz1_nc
2,Lexus,NX,2014,5,82%,82%,69%,71%,https://www.youtube.com/embed/qs8LqCYXpO8
3,Land-Rover,DISCOVERY SPORT,2014,5,93%,83%,69%,82%,https://www.youtube.com/embed/LKuLM1sldMY
4,Kia,SORENTO,2014,5,90%,83%,67%,71%,https://www.youtube.com/embed/bu7D2Vzg3ic
5,Jeep,RENEGADE,2014,5,87%,85%,65%,74%,https://www.youtube.com/embed/mkUYyn2Lde0
6,Ford,MONDEO,2014,5,86%,82%,66%,66%,https://www.youtube.com/embed/q0bP5GoMMwU
7,Dacia,LOGAN,2014,3,57%,75%,55%,38%,https://www.youtube.com/embed/d_p9tFPDyrk
8,Audi,A3,2014,5,82%,78%,66%,68%,https://www.youtube.com/embed/4qRk-yLOotw
9,Renault,TRAFIC,2015,3,52%,91%,53%,57%,https://www.youtube.com/embed/175DwsXW4cc
10,Opel,VIVARO,2015,3,52%,91%,53%,57%,https://www.youtube.com/embed/175DwsXW4cc
11,Audi,TT,2015,4,81%,68%,82%,64%,https://www.youtube.com/embed/_qm3t2NarWg
12,Suzuki,VITARA,2015,5,89%,85%,76%,75%,https://www.youtube.com/embed/WW9BwW5U4n4
13,Renault,ESPACE,2015,5,82%,89%,70%,80%,https://www.youtube.com/embed/5V25aABfHkY
14,Mazda,2,2015,4,86%,78%,84%,64%,https://www.youtube.com/embed/uE0MKOa0VTU
15,Fiat,500X,2015,4,86%,85%,74%,64%,https://www.youtube.com/embed/Wf3ni-qIzxY
16,Skoda,SUPERB,2015,5,86%,86%,71%,76%,https://www.youtube.com/embed/5iM_zsw278Y
17,Hyundai,I20,2015,4,85%,73%,79%,64%,https://www.youtube.com/embed/MBUPwFdKOQ0
18,Fiat,PANDA-CROSS?,2015,3,70%,77%,50%,46%,https://www.youtube.com/embed/ynlKeHgLawg
19,Volkswagen,TOURAN,2015,5,88%,89%,71%,76%,https://www.youtube.com/embed/YVQtsk7j0K4
20,Volvo,XC90,2015,5,97%,87%,72%,94%,https://www.youtube.com/embed/TEyL3N0aIdk
21,Toyota,AVENSIS,2015,5,93%,85%,78%,81%,https://www.youtube.com/embed/tVeNGsxpLMc
22,Renault,KADJAR,2015,5,89%,81%,74%,71%,https://www.youtube.com/embed/xUWP_Wd_xqo
23,Mitsubishi,L200,2015,4,81%,84%,76%,64%,https://www.youtube.com/embed/j-eF4n2oyQ4
24,Mazda,CX-3,2015,4,85%,79%,84%,64%,https://www.youtube.com/embed/mRyR6xghDYw
25,Ford,S-MAX,2015,5,87%,87%,79%,71%,https://www.youtube.com/embed/8_mA9ZdGW1s
26,Ford,GALAXY,2015,5,87%,87%,79%,71%,https://www.youtube.com/embed/8_mA9ZdGW1s
27,Audi,Q7,2015,5,94%,88%,70%,76%,https://www.youtube.com/embed/tmKF0fA_r1s
28,Opel,KARL?,2015,4,74%,72%,68%,64%,https://www.youtube.com/embed/GfciJHSYYQo
29,Mazda,MX-5,2015,4,84%,80%,93%,64%,https://www.youtube.com/embed/UIjhKoISJyM
30,Hyundai,TUCSON,2015,5,86%,85%,71%,71%,https://www.youtube.com/embed/jHuckiKSWBU
31,Volkswagen,CADDY,2015,4,84%,78%,58%,68%,https://www.youtube.com/embed/XcBp9xpyL5o
32,Honda,JAZZ,2015,5,93%,85%,73%,71%,https://www.youtube.com/embed/PHptsZglju8
33,Honda,HR-V,2015,5,86%,79%,72%,71%,https://www.youtube.com/embed/BF7p49iasuQ
34,Renault,TALISMAN?,2015,5,86%,84%,68%,76%,https://www.youtube.com/embed/f-KjiaKoTMM
35,Renault,MEGANE,2015,5,88%,87%,71%,71%,https://www.youtube.com/embed/bKf7XOBP6y4
36,Opel,ASTRA,2015,5,86%,84%,83%,75%,https://www.youtube.com/embed/p_lh1kJSPx4
37,Nissan,NAVARA,2015,4,79%,78%,78%,68%,https://www.youtube.com/embed/zzhmwtUO-zk
38,BMW,CLUBMAN?,2015,4,90%,68%,68%,67%,https://www.youtube.com/embed/Uaavu8TG2s4
39,Mercedes,GLC,2015,5,95%,89%,82%,71%,https://www.youtube.com/embed/fIds6G7m-iw
40,Lexus,RX,2015,5,91%,82%,79%,77%,https://www.youtube.com/embed/hLyCPC472II
41,Lancia,YPSILON,2015,2,44%,79%,64%,38%,https://www.youtube.com/embed/CKz7KU3A-3Q
42,Kia,SPORTAGE,2015,5,90%,83%,66%,71%,https://www.youtube.com/embed/dinp6dhJa5I
43,Kia,OPTIMA,2015,5,89%,86%,67%,71%,https://www.youtube.com/embed/YDIqEmeiKJo
44,Jaguar,XF,2015,5,92%,84%,80%,83%,https://www.youtube.com/embed/9Yk-UJpG7lQ
45,Jaguar,XE,2015,5,92%,82%,81%,82%,https://www.youtube.com/embed/C-Yj16qQR7Y
46,Nissan,Q30?,2015,5,84%,86%,91%,81%,https://www.youtube.com/embed/nGs-Vbf1Vhc
47,BMW,Z4,2015,3,69%,61%,91%,46%,https://www.youtube.com/embed/t3z4lzsLe0c
48,BMW,X1,2015,5,90%,87%,74%,77%,https://www.youtube.com/embed/lQZkcHi_FyU
49,BMW,X2,2015,5,90%,87%,74%,77%,https://www.youtube.com/embed/lQZkcHi_FyU
50,Toyota,PROACE,2015,5,87%,91%,64%,78%,https://www.youtube.com/embed/6lfV8O3Qsg4
51,Peugeot,TRAVELLER?,2015,5,87%,91%,64%,78%,https://www.youtube.com/embed/6lfV8O3Qsg4
52,Citroen,SPACETOURER,2015,5,87%,91%,64%,78%,https://www.youtube.com/embed/6lfV8O3Qsg4
53,Audi,A4,2015,5,89%,87%,75%,75%,https://www.youtube.com/embed/e8wxUZjS-Kk
54,Audi,A5,2015,5,89%,87%,75%,75%,https://www.youtube.com/embed/e8wxUZjS-Kk
55,Alfa-Romeo,GIULIA,2016,5,98%,81%,69%,60%,https://www.youtube.com/embed/7YkddjbcQew
56,Mercedes,E_CLASS,2016,5,95%,90%,77%,62%,https://www.youtube.com/embed/oEcplOsn0KU
57,Mercedes,CLS-CLASS?,2016,5,95%,90%,77%,62%,https://www.youtube.com/embed/oEcplOsn0KU
58,Toyota,C-HR,2017,5,95%,77%,76%,78%,https://www.youtube.com/embed/ICiXkXA-Mw8
59,Land-Rover,DISCOVERY,2017,5,90%,80%,75%,73%,https://www.youtube.com/embed/SByJ1pJB3GA
60,Ford,KA+?,2017,3,73%,61%,57%,29%,https://www.youtube.com/embed/HExp6oVWXn4
61,BMW,5 SERIES,2017,5,91%,85%,81%,59%,https://www.youtube.com/embed/f5HXYUKzFY0
62,Opel,INSIGNIA,2017,5,93%,85%,78%,69%,https://www.youtube.com/embed/uWghFMcGjvo
63,Alfa-Romeo,STELVIO,2017,5,97%,84%,71%,60%,https://www.youtube.com/embed/fj0IQfMPhew
64,Opel,GRANDLAND X,2017,5,84%,87%,63%,60%,https://www.youtube.com/embed/izMUasiB7hA
65,Opel,AMPERA-E,2017,4,82%,73%,75%,72%,https://www.youtube.com/embed/ulbeSJSDQhs
66,Mercedes,C-CLASS CABRIOLET,2017,5,89%,79%,66%,53%,https://www.youtube.com/embed/oUM2YwJQvUs
