,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,Video_Url
0,Volkswagen,GOLF,2009,5,97%,84%,61%,71%,https://www.youtube.com/embed/Gix7ymymhTo
1,Toyota,IQ,2009,5,91%,71%,54%,86%,https://www.youtube.com/embed/CE_eUP_BAcU
2,Toyota,AVENSIS,2009,5,90%,86%,53%,86%,https://www.youtube.com/embed/nQLRam6IKBA
3,Subaru,IMPREZA,2009,4,84%,73%,72%,57%,https://www.youtube.com/embed/50zAs2EpWOE
4,Skoda,SUPERB,2009,5,90%,81%,50%,71%,https://www.youtube.com/embed/VAIO_u8QcW8
5,Mitsubishi,LANCER,2009,5,81%,80%,34%,71%,https://www.youtube.com/embed/ANV6hSGw3Bo
6,Mazda,6,2009,5,77%,81%,49%,71%,https://www.youtube.com/embed/mxfn0RXvxs8
7,Citroen,C3 PICASSO,2009,4,81%,76%,43%,40%,https://www.youtube.com/embed/1fXu9OvuQqc
8,Volvo,XC60,2009,5,94%,79%,48%,86%,https://www.youtube.com/embed/M21inFc51t4
9,Volvo,V70,2009,5,88%,84%,43%,71%,https://www.youtube.com/embed/CDcy444Fel8
10,Volkswagen,TIGUAN,2009,5,87%,79%,48%,71%,https://www.youtube.com/embed/BAqhYefi1S8
11,Suzuki,ALTO,2009,3,55%,46%,35%,29%,https://www.youtube.com/embed/rpyWR7x8gOo
12,Peugeot,3008,2009,5,86%,81%,31%,97%,https://www.youtube.com/embed/7F13wYMldzg
13,Opel,INSIGNIA,2009,5,94%,79%,40%,71%,https://www.youtube.com/embed/pida_0FL8GA
14,Kia,SOUL,2009,5,87%,86%,39%,86%,https://www.youtube.com/embed/okQz7PHjULc
15,Hyundai,I20,2009,5,88%,83%,64%,86%,https://www.youtube.com/embed/trh5KFy4_x0
16,Honda,JAZZ,2009,5,78%,79%,60%,71%,https://www.youtube.com/embed/mJjUmZKNtbs
17,Honda,CIVIC,2009,5,79%,76%,67%,86%,https://www.youtube.com/embed/TyVDvyBoy_Q
18,Honda,ACCORD,2009,5,86%,79%,54%,86%,https://www.youtube.com/embed/2KVaxOcWxN4
19,Audi,Q5,2009,5,92%,84%,32%,71%,https://www.youtube.com/embed/P55B_p-hOkE
20,Audi,A4,2009,5,93%,84%,39%,71%,https://www.youtube.com/embed/nc1sOwMSTy4
21,Volkswagen,POLO,2009,5,90%,86%,41%,71%,https://www.youtube.com/embed/USas_poHSSI
22,Toyota,PRIUS,2009,5,88%,82%,68%,86%,https://www.youtube.com/embed/mD_tuGe_S_s
23,Subaru,LEGACY,2009,5,79%,73%,58%,71%,https://www.youtube.com/embed/z2gAnW5fT2A
24,Skoda,YETI,2009,5,92%,78%,46%,71%,https://www.youtube.com/embed/CTvP10LSrOU
25,Renault,MEGANE GRAND SCENIC,2009,5,91%,76%,42%,99%,https://www.youtube.com/embed/UhjbeY7GBAk
26,Kia,SORENTO,2009,5,87%,84%,44%,71%,https://www.youtube.com/embed/TItZyPpJVCE
27,Honda,INSIGHT,2009,5,90%,74%,76%,86%,https://www.youtube.com/embed/rwVe5NAGEu0
28,Citroen,C3,2009,4,83%,74%,33%,40%,https://www.youtube.com/embed/3uY-0VRDngk
29,Volvo,C30,2009,5,91%,78%,26%,71%,https://www.youtube.com/embed/ubTxUUBxGds
30,Volkswagen,SCIROCCO,2009,5,87%,73%,53%,71%,https://www.youtube.com/embed/edVRsIZOtjI
31,Toyota,URBAN-CRUISER,2009,3,58%,71%,53%,86%,https://www.youtube.com/embed/YTss05ny-m0
32,Peugeot,5008,2009,5,89%,79%,37%,97%,https://www.youtube.com/embed/PCZFsDrxjrk
33,Peugeot,308,2009,5,83%,70%,33%,97%,https://www.youtube.com/embed/USCINF05Vq4
34,Opel,ASTRA,2009,5,95%,84%,46%,71%,https://www.youtube.com/embed/iWy4fmgipI8
35,Mercedes,C-CLASS,2009,5,82%,70%,30%,86%,https://www.youtube.com/embed/2orgbIFId-M
36,Mazda,3,2009,5,86%,84%,51%,71%,https://www.youtube.com/embed/5O5Rupm9u80
37,Nissan,FX?,2009,5,86%,77%,44%,99%,https://www.youtube.com/embed/hZ4zob5OhzY
38,Citroen,DS3,2009,5,87%,71%,35%,83%,https://www.youtube.com/embed/b-VO6QoR7ak
39,Citroen,C5,2009,5,81%,77%,32%,83%,https://www.youtube.com/embed/tfwKgbZJjTQ
40,Citroen,C4,2009,5,87%,78%,46%,89%,https://www.youtube.com/embed/lfadGSsqtCE
