,make,model,years
0,Aiways,1,"(2019,)"
1,Alfa-Romeo,STELVIO,"(2017,)"
2,Alfa-Romeo,GIULIETTA,"(2010, 2017)"
3,Alfa-Romeo,GIULIA,"(2016,)"
4,Audi,Q2,"(2016,)"
5,Audi,A6,"(2011, 2018)"
6,Audi,A4,"(2009, 2015)"
7,Audi,A3,"(2012, 2014, 2020)"
8,Audi,Q3,"(2011, 2018)"
9,Audi,A5,"(2015,)"
10,Audi,A7,"(2018,)"
11,Audi,A1,"(2010, 2019)"
12,Audi,e-tron,"(2019,)"
13,Audi,Q5,"(2009, 2017)"
14,Audi,Q8,"(2019,)"
15,Audi,Q7,"(2015, 2019)"
16,Audi,TT,"(2015,)"
17,Audi,Q4_e-tron,"(2021,)"
18,BMW,CLUBMAN,"(2015,)"
19,BMW,6 SERIES,"(2017,)"
20,BMW,Z4,"(2015, 2019)"
21,BMW,X2,"(2015,)"
22,BMW,2-SERIES-ACTIVE-TOURER,"(2014,)"
23,BMW,X5,"(2018,)"
24,BMW,I3,"(2013,)"
25,BMW,COOPER,"(2014,)"
26,BMW,2-SERIES-COUPE,"(2019, 2022)"
27,BMW,4 SERIES,"(2019,)"
28,BMW,1 SERIES,"(2012, 2019)"
29,BMW,COUNTRYMAN,"(2010, 2017)"
30,BMW,5 SERIES,"(2010, 2017)"
31,BMW,X1,"(2012, 2015)"
32,BMW,X3,"(2011, 2017)"
33,BMW,X4,"(2017,)"
34,BMW,iX,"(2021,)"
35,BMW,3 SERIES,"(2012, 2019)"
36,Chevrolet,ORLANDO,"(2011,)"
37,Chevrolet,MALIBU,"(2011,)"
38,Chevrolet,TRAX,"(2013,)"
39,Chevrolet,CAPTIVA,"(2011,)"
40,Chevrolet,CRUZE,"(2009,)"
41,Chevrolet,AVEO,"(2011,)"
42,Chevrolet,SPARK,"(2009,)"
43,Chevrolet,VOLT,"(2011,)"
44,Citroen,DS3,"(2009,)"
45,Citroen,SPACETOURER,"(2013, 2015)"
46,Citroen,C4 PICASSO,"(2013,)"
47,Citroen,JUMPY,"(2012,)"
48,Citroen,C4,"(2009, 2010, 2021)"
49,Citroen,BERLINGO,"(2014, 2018)"
50,Citroen,C-ZERO,"(2011,)"
51,Citroen,C4 CACTUS,"(2014,)"
52,Citroen,E-MEHARI,"(2017,)"
53,Citroen,C3 PICASSO,"(2009,)"
54,Citroen,C3,"(2009, 2017)"
55,Citroen,NEMO,"(2010,)"
56,Citroen,C3 AIRCROSS,"(2017,)"
57,Citroen,C1,"(2012, 2014)"
58,Citroen,DS5,"(2011,)"
59,Citroen,C5,"(2009,)"
60,Citroen,C-ELYSEE,"(2014,)"
61,Citroen,C5 AIRCROSS,"(2019,)"
62,Citroen,DS4,"(2011,)"
63,Dacia,LODGY,"(2012,)"
64,Dacia,DUSTER,"(2011, 2017)"
65,Dacia,SANDERO,"(2013,)"
66,Dacia,SPRING,"(2021,)"
67,Dacia,Jogger,"(2021,)"
68,Dacia,LOGAN,"(2014, 2021)"
69,Dacia,SANDERO-STEPWAY,"(2021,)"
70,DS,3-CROSSBACK,"(2019,)"
71,DS,7-CROSSBACK?,"(2017,)"
72,DS,3,"(2017,)"
73,DS,4,"(2022,)"
74,Fiat,TIPO,"(2016,)"
75,Fiat,DOBL?,"(2017,)"
76,Fiat,PUNTO,"(2017,)"
77,Fiat,PANDA,"(2011, 2015, 2018)"
78,Fiat,SCUDO,"(2012,)"
79,Fiat,500,"(2012, 2017, 2021)"
80,Fiat,FREEMONT,"(2011,)"
81,Fiat,500X,"(2015,)"
82,Ford,KA+?,"(2017,)"
83,Ford,B-MAX,"(2012,)"
84,Ford,MUSTANG,"(2017,)"
