tozar,kinuy_mishari,shnat_yitzur,tozeret_cd,degem_cd,Unnamed: 0,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,Video_Url
Audi,A1,2010,551,11,67,Audi,A1,2010,5,90%,79%,49%,86%,https://www.youtube.com/embed/SOEuP95YxR4
Audi,A1,2010,551,21,67,Audi,A1,2010,5,90%,79%,49%,86%,https://www.youtube.com/embed/SOEuP95YxR4
Audi,A1,2019,268,66,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,67,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,68,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,69,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,70,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,71,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,72,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,73,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,74,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,75,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,76,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,78,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,79,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,80,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,81,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,82,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,83,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,84,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,85,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
Audi,A1,2019,268,77,439,Audi,A1,2019,5,95%,85%,73%,80%,https://www.youtube.com/embed/W1CpzPPSqfE
