,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
0,סובארו,אימפרזה_WRX_STi,,2015,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.6,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,459.5,179.5,147.5,265.0,460,--,1500,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,אין,יש,יש,בד משולב עור,אין,אין,אין,LED,יש,אין,אין,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",--
1,סובארו,אימפרזה_WRX_STi,,2016,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.6,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,459.5,179.5,147.5,265.0,460,--,1500,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,אין,יש,יש,בד משולב עור,אין,אין,אין,LED,יש,אין,אין,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",--
2,סובארו,אימפרזה_WRX_STi,,2019,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.6,11.9,9.1,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460,--,1522,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,אין,יש,יש,בד משולב עור,אין,אין,אין,LED,אין,יש,יש,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",--
3,סובארו,אימפרזה_WRX_STi,Premium,2015,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.6,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,459.5,179.5,147.5,265.0,460,--,1500,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,יש,יש,יש,עור,יש - לנהג בלבד,אין,אין,LED,יש,אין,אין,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",--
4,סובארו,אימפרזה_WRX_STi,Premium,2017,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.6,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,459.5,179.5,147.5,265.0,460,--,1500,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,יש,יש,יש,עור,יש - לנהג בלבד,אין,אין,LED,יש,אין,אין,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",--
5,סובארו,אימפרזה_WRX_STi,Premium,2019,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.4,11.4,8.9,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460,--,1522,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,יש,יש,יש,עור,יש - לנהג בלבד,מלפנים,אין,LED,אין,יש,יש,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",--
6,סובארו,אימפרזה_WRX_STi,Premium,2018,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.4,11.4,8.9,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460,--,1522,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,יש,יש,יש,עור,יש - לנהג בלבד,מלפנים,אין,LED,אין,יש,יש,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",--
7,סובארו,אימפרזה_WRX_STi,,2017,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.6,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,459.5,179.5,147.5,265.0,460,--,1500,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,אין,יש,יש,בד משולב עור,אין,אין,אין,LED,יש,אין,אין,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",--
8,סובארו,אימפרזה_WRX_STi,,2018,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,6.6,11.9,9.1,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",459.5,179.5,147.5,265.0,460,--,1522,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,אין,יש,יש,בד משולב עור,אין,אין,אין,LED,אין,יש,יש,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום",--
9,סובארו,אימפרזה_WRX_STi,Premium,2016,4,5,--,7,--,--,--,2014,כפולה (4X4),ידנית,6,טורבו בנזין,4,2457,300,6000,41.5,4000,5.2,255,7.1,11.9,9.6,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,אין,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,459.5,179.5,147.5,265.0,460,--,1500,0.0,0.0,245/40R18,60,מקורית + שליטה מההגה,יש,אין,אין,--,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,יש,יש,יש,עור,יש - לנהג בלבד,אין,אין,LED,יש,אין,אין,אין,אין,אין,יש,אין,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,אין,אין,אין,אין,רגילים,אין,"דיפרנציאל מרכזי נשלט בעל מצבי נהיגה שונים (DCCD), חלוקת מומנט אקטיבית, מערכת עזר לזינוק בעליה, מערכת שטיפת פנסים, דוושות אלומיניום, ספוילר אחורי, חישוקי BBS",--
