make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
מיצובישי,ASX,Premium,2022,5,5,"152,900",4,3792,שלוש שנים,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,148,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,אין,התרעה בלבד,התרעה בלבד,יש,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1193,1415,0,0,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד משולב עור,אין,מלפנים,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,"מסילות גג, מראות צד מחוממות, דיפון דלתות דמוי עור",--
מיצובישי,ASX,Intense,2022,5,5,"139,900",3,3470,שלוש שנים,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,148,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1143,1415,0,0,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,אין,יש,יש,בד,אין,אין,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,אין,אין,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,מסילות גג,--
מיצובישי,ASX,Panoramic,2022,5,5,"149,900",3,3718,שלוש שנים,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,148,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1193,1415,0,0,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד,אין,אין,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,"מסילות גג, מראות צד מחוממות",--
מיצובישי,ASX,Instyle,2022,5,5,"143,900",3,3569,שלוש שנים,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,148,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,אין,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1143,1415,0,0,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,אין,יש,יש,בד,אין,אין,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,"מסילות גג, מראות צד מחוממות",--
מיצובישי,ASX,Panoramic,2021,5,5,--,4,3718,--,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,150,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1143,1415,740,1300,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד,אין,אין,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,מסילות גג,--
מיצובישי,ASX,Intense,2019,5,5,--,3,--,--,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,150,6000,20.1,4200,--,190,10.3,12.8,11.3,--,--,--,--,--,13,13,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,393,1193,1425,740,1300,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,7,יש,USB,אין,אין,אין,4,בקרת אקלים,אין,יש,יש,בד,אין,אין,אין,רגילים,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,אין,אין,מראות פנים,יש,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,מסילות גג,--
מיצובישי,ASX,Instyle,2021,5,5,--,3,3569,--,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,150,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1143,1415,740,1300,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,אין,יש,יש,בד,אין,אין,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,מסילות גג,--
מיצובישי,ASX,Intense,2021,5,5,--,3,3470,--,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,150,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1193,1415,740,1300,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,אין,יש,יש,בד,אין,אין,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,אין,אין,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,מסילות גג,--
מיצובישי,ASX,Premium,2021,5,5,--,4,3792,--,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,150,6000,20,4200,11.7,190,--,--,11.5,--,--,--,--,--,15,15,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,התרעה בלבד,יש,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,387,1193,1415,740,1300,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,8,יש,USB,אין,אין,אין,4,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד משולב עור,אין,מלפנים,אין,LED,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,מסילות גג,--
מיצובישי,ASX,Premium,2018,5,5,--,3,--,--,0,2010,קדמית,אוטומטית - רציפה,--,בנזין,4,1998,150,6000,20.1,4200,--,190,10.3,12.8,11.3,--,--,--,--,--,13,13,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,אין,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,436.5,181,164.5,267,393,1193,1425,740,1300,225/55R18,63,מקורית + שליטה מההגה,יש,אין,יש,7,יש,USB,אין,אין,אין,4,בקרת אקלים,גג שמש פנוראמי,יש,יש,בד משולב עור,אין,מלפנים,אין,רגילים,יש,יש,יש,אין,אחורית,אין,יש,אין,אין,כניסה + הנעה,אין,מראות פנים,יש,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,מסילות גג,--
