,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
0,טויוטה,קורולה,Active,2022,4,5,"134,990",3,3348,שלוש שנים,--,2018,קדמית,אוטומטית - רציפה,--,בנזין,3,1490,125,6600,15.6,4800,12.1,190,--,--,16.9,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,אין,אין,אין,אין,יש,יש,אין,אין,--,463.0,178.0,143.5,270.0,471,--,1300,450,1000,195/65R15,50,מקורית + שליטה מההגה,יש,אין,יש,9,יש,USB + AUX,אין,אין,אין,4,מזגן רגיל + פתחי אוורור מאחור,אין,אין,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,--,--
1,טויוטה,קורולה,Sun,2022,4,5,"144,990",3,3096,שלוש שנים,--,2018,קדמית,אוטומטית - רציפה,--,היברידי (בנזין),4,1798,121,5200,14.5,3600,11,180,--,--,22.2,--,--,--,--,--,2,2,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,אין,אין,אין,אין,יש,יש,אין,אין,--,463.0,178.0,143.5,270.0,471,--,1365,450,750,205/55R16,43,מקורית + שליטה מההגה,יש,אין,יש,9,יש,USB,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,אין,אין,הנעה בלבד,יש,אין,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,--,--
2,טויוטה,קורולה,Sense,2022,4,5,"138,990",3,3447,שלוש שנים,--,2018,קדמית,אוטומטית - רציפה,--,בנזין,3,1490,125,6600,15.6,4800,12.1,190,--,--,16.7,--,--,--,--,--,4,4,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,אין,אין,אין,אין,יש,יש,אין,אין,--,463.0,178.0,143.5,270.0,471,--,1300,450,1000,205/55R16,50,מקורית + שליטה מההגה,יש,אין,יש,9,יש,USB,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,אין,אין,יש,אין,אחורית,אין,יש,יש,אין,אין,יש,אין,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,"מחשב דרך בגודל 7 אינץ', חלונות אחוריים כהים",--
3,טויוטה,קורולה,Limited,2022,4,5,"150,990",3,3245,שלוש שנים,--,2018,קדמית,אוטומטית - רציפה,--,היברידי (בנזין),4,1798,121,5200,14.5,3600,11,180,--,--,22.4,--,--,--,--,--,2,2,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,התרעה בלבד,יש,אין,אין,יש,יש,אין,אין,--,463.0,178.0,143.5,270.0,471,--,1365,450,750,225/45R17,43,מקורית + שליטה מההגה,יש,אין,יש,8,אין,USB + AUX,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,יש,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אין,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,--,--
4,טויוטה,קורולה,Sense,2022,4,5,"145,990",3,3121,שלוש שנים,--,2018,קדמית,אוטומטית - רציפה,--,היברידי (בנזין),4,1798,121,5200,14.5,3600,11,180,--,--,22.2,--,--,--,--,--,2,2,ABS + EBD + BAS,7,יש,יש,יש,יש,יש,יש,יש,יש,יש,היגוי אקטיבי,אין,אין,אין,אין,יש,יש,אין,אין,--,463.0,178.0,143.5,270.0,471,--,1365,450,750,205/55R16,43,מקורית + שליטה מההגה,יש,אין,יש,9,יש,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,אין,יש,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,אין,יש,אין,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,אין,יש,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,"מחשב דרך בגודל 7 אינץ', חלונות אחוריים כהים",--
5,טויוטה,אייגו,Open,2017,5,4,--,1,--,--,--,2014,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,998,69,6000,9.7,4300,15.5,160,20,26.3,23.8,--,--,--,--,--,2,2,ABS + EBD,6,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,345.5,161.5,146.0,234.0,168,--,860,--,--,165/60R15,35,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,2,מזגן רגיל,יש,יש,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,הגה בלבד,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,גג קנבס שחור נפתח חשמלית,חבילת עיצוב X-Pack
6,טויוטה,אייגו,,2021,5,4,--,1,1808,--,--,2014,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,998,72,6000,9.5,4300,15.2,160,--,--,19.2,--,--,--,--,--,4,4,ABS + EBD,6,יש,יש,יש,יש,יש,יש,אין,אין,אין,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,אין,--,346.5,161.5,146.0,234.0,168,--,860,--,--,165/60R15,35,מקורית + שליטה מההגה,יש,אין,יש,7,יש,USB + AUX,אין,אין,אין,2,מזגן רגיל,אין,אין,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,הגה בלבד,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,--,--
7,טויוטה,אייגו,,2018,5,4,--,1,--,--,--,2014,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,998,72,6000,9.7,4300,15.2,160,20.4,26.3,23.8,--,--,--,--,--,2,2,ABS + EBD,6,יש,יש,יש,יש,יש,יש,אין,אין,אין,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,אין,--,346.5,161.5,146.0,234.0,168,--,860,--,--,165/60R15,35,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,Android Auto + Apple CarPlay,אין,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,הגה בלבד,אין,יש,אין,אין,אין,אין,אין,רגילים,אין,--,--
8,טויוטה,אייגו,,2016,5,4,--,1,--,--,--,2014,קדמית,ידנית,5,בנזין,3,998,69,6000,9.7,4300,14.2,160,20,27.8,24.4,--,--,--,--,--,2,2,ABS + EBD,6,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,345.5,161.5,146.0,234.0,168,--,855,--,--,165/60R15,35,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,הגה בלבד,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,מערכת עזר לזינוק בעליה,חבילת עיצוב X-Pack
9,טויוטה,אייגו,,2017,5,4,--,1,--,--,--,2014,קדמית,ידנית,5,בנזין,3,998,69,6000,9.7,4300,14.2,160,20,27.8,24.4,--,--,--,--,--,2,2,ABS + EBD,6,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,345.5,161.5,146.0,234.0,168,--,855,--,--,165/60R15,35,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,2,מזגן רגיל,אין,יש,ללא,בד,אין,אין,אין,רגילים,אין,אין,אין,אין,אחורית,אין,יש,אין,אין,אין,אין,אין,הגה בלבד,אין,אין,אין,אין,אין,אין,אין,רגילים,אין,מערכת עזר לזינוק בעליה,חבילת עיצוב X-Pack
