,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,פיאט,500,SCORPIONE,2022,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,145,5500,21.0,3000,7.8,210,11.5,18.5,14.0,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,195/45R16,35,2X4,0,4,1,500
1,פיאט,500,TURISMO,2022,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.3,218,,,13.3,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,205/40R17,35,2X4,0,4,1,500
2,פיאט,500,TURISMO,2022,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.4,218,,,13.7,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1045,,,400.0,800.0,205/40R17,35,2X4,1,4,1,500
3,פיאט,500,COMPETIZIONE,2022,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,180,5500,25.5,3000,6.7,225,,,12.8,,,,,,ABS + EBD + BAS,5,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1070,,,,,205/40R17,35,2X4,1,4,1,500
4,פיאט,500,SCORPIONE,2021,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,145,5500,21.0,3000,7.8,210,11.5,18.5,14.0,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,195/45R16,35,2X4,0,4,1,500
5,פיאט,500,TURISMO,2021,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.3,218,,,13.3,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,205/40R17,35,2X4,0,4,1,500
6,פיאט,500,TURISMO,2021,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.4,218,,,13.7,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1045,,,400.0,800.0,205/40R17,35,2X4,1,4,1,500
7,פיאט,500,COMPETIZIONE,2021,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,180,5500,25.5,3000,6.7,225,,,12.8,,,,,,ABS + EBD + BAS,5,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1070,,,,,205/40R17,35,2X4,1,4,1,500
8,פיאט,500,SCORPIONE,2020,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,145,5500,21.0,3000,7.8,210,11.5,18.5,14.0,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,195/45R16,35,2X4,0,4,1,500
9,פיאט,500,TURISMO,2020,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.3,218,11.7,18.2,14.2,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,205/40R17,35,2X4,0,4,1,500
10,פיאט,500,TURISMO,2020,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.4,218,11.7,18.2,14.2,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1045,,,400.0,800.0,205/40R17,35,2X4,1,4,1,500
11,פיאט,500,COMPETIZIONE,2020,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,180,5500,25.5,3000,6.7,225,12.2,17.2,14.2,,,,,,ABS + EBD + BAS,5,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1070,,,,,205/40R17,35,2X4,1,4,1,500
12,פיאט,500,SCORPIONE,2019,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,145,5500,21.0,3000,7.8,210,11.5,18.5,14.0,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,195/45R16,35,2X4,0,4,1,500
13,פיאט,500,TURISMO,2019,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.3,218,11.7,18.2,14.2,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,205/40R17,35,2X4,0,4,1,500
14,פיאט,500,COMPETIZIONE NURBURGRING,2019,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,180,5500,25.5,3000,6.7,225,11.5,17.5,13.8,,,,,,ABS + EBD + BAS,5,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1070,,,,,205/40R17,35,2X4,0,4,1,500
15,פיאט,500,TURISMO,2019,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.4,218,11.7,18.2,14.2,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1045,,,400.0,800.0,205/40R17,35,2X4,1,4,1,500
16,פיאט,500,COMPETIZIONE,2019,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,180,5500,25.5,3000,6.7,225,12.2,17.2,14.2,,,,,,ABS + EBD + BAS,5,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1070,,,,,205/40R17,35,2X4,1,4,1,500
17,פיאט,500,SCORPIONE,2018,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,145,5500,21.0,3000,7.8,210,12.6,20.4,16.6,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,195/45R16,35,2X4,0,4,1,500
18,פיאט,500,TURISMO,2018,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.3,218,12.6,20.4,16.6,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1035,,,400.0,800.0,205/40R17,35,2X4,0,4,1,500
19,פיאט,500,TURISMO,2018,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,165,5500,23.5,3000,7.4,218,13.1,21.2,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1045,,,400.0,800.0,205/40R17,35,2X4,1,4,1,500
20,פיאט,500,COMPETIZIONE,2018,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,180,5500,25.5,3000,6.7,225,12.6,20.4,16.6,,,,,,ABS + EBD + BAS,5,יש,יש,366.0,162.7,148.5,230.0,185,550.0,1070,,,,,205/40R17,35,2X4,1,4,1,500
21,פיאט,500,SCORPIONE,2017,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,140,5500,21.0,2000,7.9,205,12.6,20.4,16.6,,,,,,ABS + EBD + BAS,7,יש,יש,365.7,162.7,148.5,230.0,185,550.0,1035,,,400.0,750.0,195/45R16,35,2X4,0,4,1,500
22,פיאט,500,SCORPIONE,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,140,5500,21.0,3000,8.1,205,11.9,18.5,15.3,,,,,,ABS + EBD + BAS,7,יש,יש,365.7,162.7,148.5,230.0,185,550.0,1045,,,400.0,750.0,195/45R16,35,2X4,1,4,1,500
23,פיאט,500,SCORPIONE,2016,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,140,5500,21.0,2000,7.9,205,12.6,20.4,16.6,,,,,,ABS + EBD + BAS,7,יש,יש,365.7,162.7,148.5,230.0,185,550.0,1035,,,400.0,750.0,195/45R16,35,2X4,0,4,1,500
24,פיאט,500,SCORPIONE,2016,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,4,1368,140,5500,21.0,3000,8.1,205,11.9,18.5,15.3,,,,,,ABS + EBD + BAS,7,יש,יש,365.7,162.7,148.5,230.0,185,550.0,1045,,,400.0,750.0,195/45R16,35,2X4,1,4,1,500
25,פיאט,500,SCORPIONE,2015,3,4,קדמית,ידנית,5,טורבו בנזין,4,1368,135,5500,21.0,3000,7.9,205,11.7,18.5,15.3,,,,,,ABS + EBD + BAS,7,יש,יש,365.7,162.7,148.0,230.0,185,550.0,1035,,,,,195/45R16,35,2X4,0,4,1,500
