,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,אודי,A1,TFSI,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1498.0,150,5000.0,25.5,1500.0,7.7,222,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1240.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
1,אודי,A1,TFSI,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,999.0,116,5000.0,20.4,2000.0,9.4,203,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1200.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
2,אודי,A1,TFSI,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1498.0,150,5000.0,25.5,1500.0,7.7,222,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1240.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
3,אודי,A1,TFSI,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,999.0,116,5000.0,20.4,2000.0,9.4,203,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1200.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
4,אודי,A1,TFSI,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1498.0,150,5000.0,25.5,1500.0,7.7,222,15.3,23.8,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1240.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
5,אודי,A1,TFSI,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,999.0,116,5000.0,20.4,2000.0,9.4,203,16.9,23.8,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1200.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
6,אודי,A1,TFSI,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1498.0,150,5000.0,25.5,1500.0,7.7,222,15.3,23.8,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1240.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
7,אודי,A1,TFSI,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,999.0,116,5000.0,20.4,2000.0,9.4,203,16.9,23.8,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.9,174.0,140.9,256.3,335.0,,1200.0,,,,,195/55R16,40.0,2X4,1,5,1,A1
8,אודי,A1,,2018,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1395.0,125,5000.0,20.4,1400.0,8.8,204,16.1,23.8,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,397.3,174.0,144.1,246.9,270.0,920.0,1190.0,,,,,215/45R16,45.0,2X4,1,4,1,A1
9,אודי,A1,STYLE,2018,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1395.0,125,5000.0,20.4,1400.0,8.8,204,16.1,23.8,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,397.3,174.0,144.1,246.9,270.0,920.0,1190.0,,,,,215/45R16,45.0,2X4,1,4,1,A1
10,אודי,A1,SPORTBACK,2018,5,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1395.0,125,5000.0,20.4,1400.0,8.9,204,16.1,23.3,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,397.3,174.6,144.8,246.9,270.0,920.0,1215.0,,,,,215/45R16,45.0,2X4,1,4,1,A1
11,אודי,A1,SPORTBACK STYLE,2018,5,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1395.0,125,5000.0,20.4,1400.0,8.9,204,16.1,23.3,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,397.3,174.6,144.8,246.9,270.0,920.0,1215.0,,,,,215/45R16,45.0,2X4,1,4,1,A1
12,אודי,A1,,2018,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1798.0,192,5400.0,25.5,1250.0,6.8,234,13.9,21.3,17.9,,,,,,ABS + EBD + BAS,6,יש,יש,397.3,174.0,144.1,246.9,270.0,920.0,1255.0,,,,,215/40R17,45.0,2X4,1,4,1,A1
13,אודי,A1,SPORTBACK,2018,5,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1798.0,192,5400.0,25.5,1250.0,6.9,234,13.9,21.3,17.9,,,,,,ABS + EBD + BAS,6,יש,יש,397.3,174.6,144.8,246.9,270.0,920.0,1280.0,,,,,215/40R17,45.0,2X4,1,4,1,A1
14,אודי,A1,,2018,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,999.0,95,5000.0,16.3,1500.0,10.9,186,18.5,26.3,22.7,,,,,,ABS + EBD + BAS,6,יש,יש,397.3,174.0,144.1,246.9,270.0,920.0,1140.0,,,,,215/45R16,45.0,2X4,1,4,1,A1
