,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,אופל,אדם,JAM,2019,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1398,87,6000,13.2,4000,13.9,178,15.2,24.4,20,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1120,,,,,185/65R15,35,2X4,1,4,1,אדם
1,אופל,אדם,S,2019,3,4,קדמית,ידנית,6,טורבו בנזין,4,1364,150,4900,22.4,2750,8.5,210,10.4,13.2,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1163,,,,,215/45R17,35,2X4,0,4,1,אדם
2,אופל,אדם,JAM,2018,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1398,87,6000,13.2,4000,13.9,178,15.2,24.4,20,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1120,,,,,185/65R15,35,2X4,1,4,1,אדם
3,אופל,אדם,S,2018,3,4,קדמית,ידנית,6,טורבו בנזין,4,1364,150,4900,22.4,2750,8.5,210,10.4,13.2,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1163,,,,,215/45R17,35,2X4,0,4,1,אדם
4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1398,87,6000,13.2,4000,13.9,178,15.2,24.4,20,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1120,,,,,185/65R15,35,2X4,1,4,1,אדם
5,אופל,אדם,S,2017,3,4,קדמית,ידנית,6,טורבו בנזין,4,1364,150,4900,22.4,2750,8.5,210,10.4,13.2,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1163,,,,,215/45R17,35,2X4,0,4,1,אדם
6,אופל,אדם,JAM,2016,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1398,87,6000,13.2,4000,13.9,178,15.2,24.4,20,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1120,,,,,185/65R15,35,2X4,1,4,1,אדם
7,אופל,אדם,S,2016,3,4,קדמית,ידנית,6,טורבו בנזין,4,1364,150,4900,22.4,2750,8.5,210,10.4,13.2,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1163,,,,,215/45R17,35,2X4,0,4,1,אדם
8,אופל,אדם,,2015,3,4,קדמית,ידנית,5,בנזין,4,1398,87,6000,13.2,4000,12.5,176,15.1,23.8,19.6,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1120,,,,,195/55R16,38,2X4,0,4,1,אדם
9,אופל,אדם,,2015,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,4,1398,87,6000,13.2,4000,13.9,178,15.3,25.0,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170,663,1120,,,,,185/65R15,38,2X4,1,4,1,אדם
