,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,איווקו,דיילי,'  H2,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,610.9,201.0,274.8,352.0,12000.0,,2549,5200,2651,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
1,איווקו,דיילי,'  H3,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,610.9,201.0,274.8,352.0,12000.0,,2549,5200,2651,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
2,איווקו,דיילי,'  H2,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,716.8,201.0,275.2,410.0,16000.0,,2685,5200,2515,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
3,איווקו,דיילי,'  H3,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,716.8,201.0,275.2,410.0,16000.0,,2685,5200,2515,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
4,איווקו,דיילי,'  H2,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,753.8,201.0,275.3,410.0,17500.0,,2709,5200,2491,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
5,איווקו,דיילי,'  H3,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,753.8,201.0,294.5,410.0,19600.0,,2739,5200,2461,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
6,איווקו,דיילי,' -,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,598.3,201.0,227.0,345.0,,,2116,5200,3084,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
7,איווקו,דיילי,' -,2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,699.3,201.0,226.1,410.0,,,2146,5200,3054,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
8,איווקו,דיילי,',2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,598.3,201.0,230.0,345.0,,,2321,5200,2879,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
9,איווקו,דיילי,',2022,5,3,קדמית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,699.3,201.0,227.5,410.0,,,2344,5200,2856,750.0,3500.0,195/75R16,90,2X4,1,3,2,דיילי
10,איווקו,דיילי,H2,2021,5,3,קדמית,ידנית,6,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,610.9,201.0,274.8,352.0,12000.0,,2549,5200,2651,750.0,3500.0,195/75R16,90,2X4,0,3,2,דיילי
11,איווקו,דיילי,H2,2021,5,3,קדמית,ידנית,6,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,716.8,201.0,275.2,410.0,16000.0,,2685,5200,2515,750.0,3500.0,195/75R16,90,2X4,0,3,2,דיילי
12,איווקו,דיילי,H3,2021,5,3,קדמית,ידנית,6,טורבו דיזל,4,2998,180,3500,43.8,1500,,120.0,,,,,,,,,ABS + EBD + BAS,1,יש,אין,610.9,201.0,293.9,352.0,13400.0,,2579,5200,2621,750.0,3500.0,195/75R16,90,2X4,0,3,2,דיילי
