,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,ניסאן,Q30,LUXE,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,25.5,1250,8.9,215.0,,,13.1,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,149.5,270.0,430.0,,1541.0,,,750.0,1400.0,235/50R18,50.0,2X4,1,5,1,Q30
1,ניסאן,Q30,LUXE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,25.5,1250,8.9,215.0,12.2,18.1,15.3,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,149.5,270.0,430.0,,1541.0,,,750.0,1400.0,235/50R18,50.0,2X4,1,5,1,Q30
2,ניסאן,Q30,SPORT,2020,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1991,211,5500,35.7,1200,7.3,235.0,10.8,16.9,14.0,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1579.0,,,750.0,1500.0,235/45R19,50.0,4X4,1,5,1,Q30
3,ניסאן,Q30,PREMIUM,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215.0,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,149.5,270.0,430.0,,1545.0,,,750.0,1400.0,235/50R18,50.0,2X4,1,5,1,Q30
4,ניסאן,Q30,SPORT,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215.0,13.3,19.6,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1573.0,,,750.0,1400.0,235/45R19,50.0,2X4,1,5,1,Q30
5,ניסאן,Q30,SPORT,2019,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1991,211,5500,35.6,1400,7.3,230.0,11.4,18.8,14.9,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1641.0,,,750.0,1800.0,235/45R19,56.0,4X4,1,5,1,Q30
6,ניסאן,Q30,PREMIUM,2018,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215.0,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,149.5,270.0,430.0,,1545.0,,,750.0,1400.0,235/50R18,50.0,2X4,1,5,1,Q30
7,ניסאן,Q30,SPORT,2018,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215.0,13.3,19.6,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1573.0,,,750.0,1400.0,235/45R19,50.0,2X4,1,5,1,Q30
8,ניסאן,Q30,SPORT,2018,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1991,211,5500,35.6,1400,7.3,230.0,11.4,18.8,14.9,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1641.0,,,750.0,1800.0,235/45R19,56.0,4X4,1,5,1,Q30
9,ניסאן,Q30,PREMIUM,2017,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215.0,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1545.0,,,750.0,1400.0,235/50R18,50.0,2X4,1,5,1,Q30
10,ניסאן,Q30,SPORT,2017,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215.0,13.3,19.6,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1573.0,,,750.0,1400.0,235/45R19,50.0,2X4,1,5,1,Q30
11,ניסאן,Q30,SPORT,2017,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4,1991,211,5500,35.6,1400,7.3,230.0,11.4,18.8,14.9,,,,,,ABS + EBD + BAS,7,יש,יש,442.5,180.5,147.5,270.0,430.0,,1641.0,,,750.0,1800.0,235/45R19,56.0,4X4,1,5,1,Q30
12,ניסאן,G37,,2013,4,5,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,477.5,177.0,147.0,285.0,450.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,5,1,G37
13,ניסאן,G37,GT,2013,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,477.5,177.0,147.0,285.0,450.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,5,1,G37
14,ניסאן,G37,,2012,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,477.5,177.0,147.0,285.0,450.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,5,1,G37
15,ניסאן,G37,GT,2012,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,477.5,177.0,147.0,285.0,450.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,5,1,G37
16,ניסאן,G37,,2011,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,477.5,177.0,147.0,285.0,450.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,5,1,G37
17,ניסאן,G37,GT,2011,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,477.5,177.0,147.0,285.0,450.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,5,1,G37
18,ניסאן,G37,,2010,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,5,1,G37
19,ניסאן,G37,GT,2010,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,5,1,G37
20,ניסאן,G37,S,2010,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,5,1,G37
21,ניסאן,G37,,2009,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,5,1,G37
22,ניסאן,G37,GT,2009,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,5,1,G37
23,ניסאן,G37,S,2009,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,5,1,G37
24,ניסאן,G37 קופה,GT,2013,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,4,1,G37 קופה
25,ניסאן,G37 קופה,SPORT,2013,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק: 225/50R18 א: 245/45R18,80.0,2X4,1,4,1,G37 קופה
26,ניסאן,G37 קופה,GT,2012,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק': 225/50R18 א': 245/45R18,80.0,2X4,1,4,1,G37 קופה
27,ניסאן,G37 קופה,SPORT,2012,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק: 225/50R18 א: 245/45R18,80.0,2X4,1,4,1,G37 קופה
28,ניסאן,G37 קופה,,2011,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,G37 קופה
29,ניסאן,G37 קופה,GT,2011,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק: 225/50R18 א: 245/45R18,80.0,2X4,1,4,1,G37 קופה
30,ניסאן,G37 קופה,,2010,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,G37 קופה
31,ניסאן,G37 קופה,GT,2010,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק: 225/50R18 א: 245/45R18,80.0,2X4,1,4,1,G37 קופה
32,ניסאן,G37 קופה,,2009,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,G37 קופה
33,ניסאן,G37 קופה,GT,2009,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק: 225/50R18 א: 245/45R18,80.0,2X4,1,4,1,G37 קופה
34,ניסאן,G37 קופה,,2008,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,G37 קופה
35,ניסאן,G37 קופה,GT,2008,2,2+2,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,5.9,250.0,,,9.6,,,,,,ABS + EBD + BAS,6,יש,יש,465.5,182.0,139.5,285.0,275.0,,1719.0,,,,,ק: 225/50R18 א: 245/45R18,80.0,2X4,1,4,1,G37 קופה
36,ניסאן,G37 קונברטיבל,GT,2013,2,4,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,6.4,250.0,,,8.7,,,,,,ABS + EBD + BAS,6,יש,יש,466.0,185.0,140.0,285.0,366.0,,1898.0,,,,,ק: 225/45R19 א: 245/40R19,80.0,2X4,1,4,1,G37 קונברטיבל
37,ניסאן,G37 קונברטיבל,GT,2012,2,4,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,6.4,250.0,,,8.7,,,,,,ABS + EBD + BAS,8,יש,יש,466.0,185.0,140.0,285.0,366.0,,1898.0,,,,,ק: 225/45R19 א: 245/40R19,80.0,2X4,1,4,1,G37 קונברטיבל
38,ניסאן,G37 קונברטיבל,GT,2011,2,4,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,6.4,250.0,,,8.7,,,,,,ABS + EBD + BAS,8,יש,יש,466.0,185.0,140.0,285.0,366.0,,1898.0,,,,,ק: 225/45R19 א: 245/40R19,80.0,2X4,1,4,1,G37 קונברטיבל
39,ניסאן,G37 קונברטיבל,GT,2010,2,4,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,6.4,250.0,,,8.7,,,,,,ABS + EBD + BAS,8,יש,יש,466.0,185.0,140.0,285.0,366.0,,1898.0,,,,,ק: 225/45R19 א: 245/40R19,80.0,2X4,1,4,1,G37 קונברטיבל
40,ניסאן,G37 קונברטיבל,GT,2009,2,4,אחורית,אוטומטית - טיפטרוניק,7.0,בנזין,6,3696,320,7000,36.7,5200,6.4,250.0,,,8.7,,,,,,ABS + EBD + BAS,8,יש,יש,466.0,185.0,140.0,285.0,366.0,,1898.0,,,,,ק: 225/45R19 א: 245/40R19,80.0,2X4,1,4,1,G37 קונברטיבל
41,ניסאן,M37,,2013,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
42,ניסאן,M37,GT,2013,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
43,ניסאן,M37,GT PREMIUM,2013,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
44,ניסאן,M37,,2012,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
45,ניסאן,M37,GT,2012,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
46,ניסאן,M37,GT PREMIUM,2012,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
47,ניסאן,M37,,2011,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
48,ניסאן,M37,GT,2011,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
49,ניסאן,M37,GT PREMIUM,2011,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
50,ניסאן,M37,,2010,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
51,ניסאן,M37,GT,2010,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
52,ניסאן,M37,GT PREMIUM,2010,4,5,אחורית,אוטומטית,7.0,בנזין,6,3696,320,7000,36.0,5200,5.9,250.0,,,11.8,,,,,,ABS + EBD + BAS,6,יש,יש,494.5,184.5,150.1,290.0,500.0,,1765.0,,,,,245/50R18,80.0,2X4,1,5,1,M37
53,ניסאן,Q50,SPORT,2020,4,5,אחורית,אוטומטית - טיפטרוניק,7.0,היברידי (בנזין),6,3498,364,6800,55.7,5000,5.1,250.0,13.7,12.5,12.6,,,,,,ABS + EBD + BAS,6,יש,יש,481.0,182.0,143.0,285.0,400.0,,1812.0,,,750.0,1500.0,245/40R19,70.0,2X4,1,5,1,Q50
54,ניסאן,Q50,PREMIUM,2019,4,5,אחורית,אוטומטית - טיפטרוניק,7.0,טורבו בנזין,4,1991,211,5500,35.6,1250,7.2,245.0,11.6,20.0,15.9,,,,,,ABS + EBD + BAS,6,יש,יש,481.0,182.0,144.5,285.0,500.0,,1587.0,,,750.0,1500.0,225/55R17,80.0,2X4,1,5,1,Q50
55,ניסאן,Q50,SPORT TECH,2019,4,5,אחורית,אוטומטית - טיפטרוניק,7.0,טורבו בנזין,4,1991,211,5500,35.6,1250,7.2,245.0,11.4,19.2,15.4,,,,,,ABS + EBD + BAS,6,יש,יש,481.0,182.0,144.5,285.0,500.0,,1736.0,,,750.0,1500.0,245/40R19,80.0,2X4,1,5,1,Q50
56,ניסאן,Q50,SPORT TECH,2019,4,5,אחורית,אוטומטית - טיפטרוניק,7.0,טורבו בנזין,6,2997,405,6400,48.4,1600,5.1,250.0,7.5,14.9,10.9,,,,,,ABS + EBD + BAS,6,יש,יש,481.0,182.0,143.0,285.0,500.0,,1819.0,,,750.0,1500.0,245/40R19,80.0,2X4,1,5,1,Q50
