,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,איסוזו,די מקס,-  S,2022,2,2,אחורית,ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,12.3,,,,,,ABS + EBD + BAS,7,יש,יש,530.5,181.0,177.0,312.5,,,1800,3000,1200,750.0,2500.0,205/85R16,76,2X4,0,2,2,די מקס
1,איסוזו,די מקס,-  S,2022,4,5,אחורית,ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,12.0,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,1910,3000,1090,750.0,2500.0,265/60R18,76,2X4,0,5,2,די מקס
2,איסוזו,די מקס,-  S,2022,4,5,כפולה (4X4),ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,11.9,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,1990,3100,1110,750.0,3500.0,265/60R18,76,4X4,0,5,2,די מקס
3,איסוזו,די מקס,' -  S PLUS,2022,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,10.8,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,2020,3100,1080,750.0,3500.0,265/60R18,76,4X4,1,5,2,די מקס
4,איסוזו,די מקס,' -  LS PLUS,2022,4,5,אחורית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,11.1,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,1920,3000,1080,750.0,2500.0,265/60R18,76,2X4,1,5,2,די מקס
5,איסוזו,די מקס,' -  LS PREMIUM,2022,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,10.8,,,,,,ABS + EBD + BAS,8,יש,יש,526.5,187.0,179.0,312.5,,,2020,3100,1080,750.0,3500.0,265/60R18,76,4X4,1,5,2,די מקס
6,איסוזו,די מקס,' -  LSE PREMIUM,2022,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,10.8,,,,,,ABS + EBD + BAS,8,יש,יש,526.5,187.0,179.0,312.5,,,2020,3100,1080,750.0,3500.0,265/60R18,76,4X4,1,5,2,די מקס
7,איסוזו,די מקס,-  S,2021,2,2,אחורית,ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,12.3,,,,,,ABS + EBD + BAS,7,יש,יש,530.5,181.0,177.0,312.5,,,1800,3000,1200,750.0,2500.0,205/85R16,76,2X4,0,2,2,די מקס
8,איסוזו,די מקס,-  S,2021,4,5,אחורית,ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,12.0,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,1910,3000,1090,750.0,2500.0,265/60R18,76,2X4,0,5,2,די מקס
9,איסוזו,די מקס,-  S,2021,4,5,כפולה (4X4),ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,11.9,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,1990,3100,1110,750.0,3500.0,265/60R18,76,4X4,0,5,2,די מקס
10,איסוזו,די מקס,' -  S PLUS,2021,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,10.8,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,2020,3100,1080,750.0,3500.0,265/60R18,76,4X4,1,5,2,די מקס
11,איסוזו,די מקס,' -  LS PLUS,2021,4,5,אחורית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,11.1,,,,,,ABS + EBD + BAS,7,יש,יש,526.5,187.0,179.0,312.5,,,1920,3000,1080,750.0,2500.0,265/60R18,76,2X4,1,5,2,די מקס
12,איסוזו,די מקס,' -  LS PREMIUM,2021,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,10.8,,,,,,ABS + EBD + BAS,8,יש,יש,526.5,187.0,179.0,312.5,,,2020,3100,1080,750.0,3500.0,265/60R18,76,4X4,1,5,2,די מקס
13,איסוזו,די מקס,' -  LSE PREMIUM,2021,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,180.0,,,10.8,,,,,,ABS + EBD + BAS,8,יש,יש,526.5,187.0,179.0,312.5,,,2020,3100,1080,750.0,3500.0,265/60R18,76,4X4,1,5,2,די מקס
14,איסוזו,די מקס,-  S,2020,2,2,אחורית,ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,,13.7,17.9,16.1,,,,,,ABS + EBD + BAS,6,יש,אין,521.5,177.5,168.5,309.5,,,1690,3000,1310,750.0,2500.0,215/70R15,76,2X4,0,2,2,די מקס
15,איסוזו,די מקס,-  S,2020,4,5,אחורית,ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,1400,,,14.1,17.2,15.9,,,,,,ABS + EBD + BAS,6,יש,אין,521.5,177.5,169.0,309.5,,,1770,3000,1230,750.0,2500.0,215/70R15,76,2X4,0,5,2,די מקס
16,איסוזו,די מקס,-  S,2020,4,5,כפולה (4X4),ידנית,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,,13.2,15.2,14.3,,,,,,ABS + EBD + BAS,6,יש,אין,529.5,186.0,178.5,309.5,,,1915,3000,1085,750.0,3500.0,245/70R16,76,4X4,0,5,2,די מקס
17,איסוזו,די מקס,-  LS,2020,4,5,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,1900,163,3600,36.7,2000,,,10.8,14.5,12.8,,,,,,ABS + EBD + BAS,6,יש,אין,529.5,186.0,178.5,309.5,,,1810,3000,1190,750.0,2500.0,245/70R16,76,2X4,1,5,2,די מקס
18,איסוזו,די מקס,-  S,2020,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,,10.8,14.5,12.8,,,,,,ABS + EBD + BAS,6,יש,אין,529.5,186.0,178.5,309.5,,,1920,3000,1080,750.0,3500.0,245/70R16,76,4X4,1,5,2,די מקס
19,איסוזו,די מקס,-  LS,2020,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1900,163,3600,36.7,2000,,,10.8,14.5,12.8,,,,,,ABS + EBD + BAS,6,יש,אין,529.5,186.0,179.5,309.5,,,1920,3000,1080,750.0,3500.0,255/60R18,69,4X4,1,5,2,די מקס
