,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,אלפא רומיאו,מיטו,VELOCE,2019,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,170,5500,25.5,2500,7.3,219,14.3,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/40R18,45.0,2X4,1,4,1,מיטו
1,אלפא רומיאו,מיטו,VELOCE QV PACK,2019,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,170,5500,25.5,2500,7.3,219,14.3,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/40R18,45.0,2X4,1,4,1,מיטו
2,אלפא רומיאו,מיטו,COMPETIZIONE,2018,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,140,5000,25.5,2500,8.1,209,14.2,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/45R17,45.0,2X4,1,4,1,מיטו
3,אלפא רומיאו,מיטו,VELOCE,2018,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,170,5500,25.5,2500,7.3,219,14.3,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/40R18,45.0,2X4,1,4,1,מיטו
4,אלפא רומיאו,מיטו,VELOCE QV PACK,2018,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,170,5500,25.5,2500,7.3,219,14.3,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/40R18,45.0,2X4,1,4,1,מיטו
5,אלפא רומיאו,מיטו,COMPETIZIONE,2017,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,140,5000,25.5,2500,8.1,209,14.2,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/45R17,45.0,2X4,1,4,1,מיטו
6,אלפא רומיאו,מיטו,VELOCE,2017,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,170,5500,25.5,2500,7.3,219,14.3,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/40R18,45.0,2X4,1,4,1,מיטו
7,אלפא רומיאו,מיטו,VELOCE QV PACK,2017,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1368,170,5500,25.5,2500,7.3,219,14.3,22.7,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1245.0,,,400.0,500.0,215/40R18,45.0,2X4,1,4,1,מיטו
8,אלפא רומיאו,מיטו,ZAGATO,2016,3,4,קדמית,ידנית,6,טורבו בנזין,2,875,105,5500,14.8,2000,11.4,184,20.0,26.3,23.8,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1130.0,,,400.0,500.0,185/65R15,45.0,2X4,0,4,1,מיטו
9,אלפא רומיאו,מיטו,MASSIMO,2016,3,4,קדמית,ידנית,6,טורבו בנזין,2,875,105,5500,14.8,2000,11.4,184,20.0,26.3,23.8,,,,,,ABS + EBD + BAS,7,יש,יש,406.3,172.0,144.6,251.1,270.0,,1130.0,,,400.0,500.0,185/65R15,45.0,2X4,0,4,1,מיטו
