make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
אלפא_רומיאו,בררה,,2008,3,2+2,--,7,--,--,--,2005,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3195,260,6200,32.8,4500,7.0,235,--,--,8.6,--,--,--,--,--,--,אין ציון,ABS + EBD,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.0,300,610,1625,--,--,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,יש,יש,ללא,בד,יש  + זכרון,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,"מושבי עור, מערכת שמע BOSE עם 8 רמקולים, סאב וופר ומגבר"
אלפא_רומיאו,בררה,,2008,3,2+2,--,7,--,--,--,2005,קדמית,ידנית,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,--,אין ציון,ABS + EBD,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.5,300,610,1445,--,--,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
אלפא_רומיאו,בררה,,2006,3,2+2,--,7,--,--,--,2005,כפולה (4X4),ידנית,6,בנזין,6,3195,260,6200,32.8,4500,6.8,240,--,--,8.6,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.5,300,610,1630,--,--,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,יש,יש,ללא,עור,יש  - כוונון מלא,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
אלפא_רומיאו,בררה,,2009,3,2+2,--,7,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.0,300,610,1445,--,--,235/45R18,70,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
אלפא_רומיאו,בררה,,2009,3,2+2,--,7,--,--,--,2005,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3195,260,6200,32.8,4500,7.0,235,--,--,8.6,--,--,--,--,--,15,אין ציון,ABS + EBD,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.0,300,610,1625,--,--,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,יש,יש,ללא,בד,יש  + זכרון,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,"מושבי עור, מערכת שמע BOSE עם 8 רמקולים, סאב וופר ומגבר"
אלפא_רומיאו,בררה,,2011,3,2+2,--,7,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.0,300,610,1445,--,--,235/45R18,70,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
אלפא_רומיאו,בררה,,2007,3,2+2,--,7,--,--,--,2005,כפולה (4X4),ידנית,6,בנזין,6,3195,260,6200,32.8,4500,6.8,240,--,--,8.6,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.5,300,610,1630,--,--,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,יש,יש,ללא,עור,יש  - כוונון מלא,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
אלפא_רומיאו,בררה,,2010,3,2+2,--,7,--,--,--,2005,כפולה (4X4),ידנית,6,בנזין,6,3195,260,6200,32.8,4500,6.8,240,--,--,8.6,--,--,--,--,--,15,אין ציון,ABS + EBD + BAS,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.5,300,610,1630,--,--,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,יש,יש,ללא,עור,יש  - כוונון מלא,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
אלפא_רומיאו,בררה,,2010,3,2+2,--,7,--,--,--,2005,קדמית,אוטומטית - רובוטית מצמד יחיד,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.0,300,610,1445,--,--,235/45R18,70,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים מפוצלת,יש,יש,ללא,בד,יש  + זכרון,אין,--,קסנון,יש,אין,אין,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,"מסך מרכזי עם טלפון - 25,000  שקל. דיבורית בלוטו'ס - 1,490  שקל, מערכת שמע BOSE עם 8 רמקולים, סאב וופר ומגבר, ריפוד עור"
אלפא_רומיאו,בררה,,2009,3,2+2,--,7,--,--,--,2005,קדמית,ידנית,6,בנזין,4,2198,185,6500,23.4,4500,8.6,222,--,--,10.6,--,--,--,--,--,14,אין ציון,ABS + EBD,8,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,441.0,183.0,134.0,252.5,300,610,1445,--,--,235/45R18,70,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,אין,אופציונלי,אין,יש,אופציונלי,בד,אין,אין,--,רגילים,יש,יש,יש,אין,אין,אין,יש,--,--,אין,יש,אין,אין,--,--,--,--,--,--,--,--,--,--,--
