,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,אסטון מרטין,ונטאג',V8,2022,2,2,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,3982,510,6000,69.8,2000,3.6,314,6.9,12.2,9.5,,,,,,ABS + EBD + BAS,4,יש,אין,446.5,194.2,127.3,270.4,,,1530.0,,,,,"ק' 255/40R20 , א' 295/35R20",73.0,2X4,1,2,1,ונטאג'
1,אסטון מרטין,ונטאג',V8,2022,2,2,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,3982,510,6000,69.8,2000,3.8,306,,,10.3,,,,,,ABS + EBD + BAS,4,יש,אין,446.5,194.2,127.3,270.4,,,1628.0,,,,,"ק' 255/40R20 , א' 295/35R20",73.0,2X4,1,2,1,ונטאג'
2,אסטון מרטין,ונטאג',V,2022,2,2,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,12,5200,700,5500,76.7,5500,3.6,322,,,7.1,,,,,,ABS + EBD + BAS,4,יש,אין,451.4,198.2,127.4,270.5,200.0,,1855.0,,,,,"ק' 275/35R21 , א' 315/30R21",73.0,2X4,1,2,1,ונטאג'
3,אסטון מרטין,ונטאג',V8,2021,2,2,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,3982,510,6000,69.8,2000,3.6,314,6.9,12.2,9.5,,,,,,ABS + EBD + BAS,4,יש,אין,446.5,194.2,127.3,270.4,,,1530.0,,,,,"ק' 255/40R20 , א' 295/35R20",73.0,2X4,1,2,1,ונטאג'
4,אסטון מרטין,ונטאג',V8,2021,2,2,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,3982,510,6000,69.8,2000,3.8,306,,,10.3,,,,,,ABS + EBD + BAS,4,יש,אין,446.5,194.2,127.3,270.4,,,1628.0,,,,,"ק' 255/40R20 , א' 295/35R20",73.0,2X4,1,2,1,ונטאג'
5,אסטון מרטין,ונטאג',V8,2020,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3982,510,6000,69.8,2000,3.6,314,6.9,12.2,9.5,,,,,,ABS + EBD + BAS,4,יש,אין,446.5,194.2,127.3,270.4,,,1530.0,,,,,"ק' 255/40R20 , א' 295/35R20",73.0,2X4,1,2,1,ונטאג'
6,אסטון מרטין,ונטאג',V8,2019,2,2,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,3982,510,6000,69.8,2000,3.6,314,6.9,12.2,9.5,,,,,,ABS + EBD + BAS,4,יש,אין,446.5,194.2,127.3,270.4,,,1530.0,,,,,"ק' 255/40R20 , א' 295/35R20",73.0,2X4,1,2,1,ונטאג'
7,אסטון מרטין,ונטאג',V8,2018,2,2,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,3982,510,6000,69.8,2000,3.6,314,6.9,12.2,9.5,,,,,,ABS + EBD + BAS,4,יש,אין,446.5,194.2,127.3,270.4,,,1530.0,,,,,"ק' 255/40R20 , א' 295/35R20",73.0,2X4,1,2,1,ונטאג'
8,אסטון מרטין,ונטאג',V8,2017,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.2,10.8,7.8,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1630.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,1,2,1,ונטאג'
9,אסטון מרטין,ונטאג',V S,2017,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,12,5935,573,6750,63.2,5750,3.9,328,3.9,9.8,6.8,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,125.0,260.0,300.0,,1665.0,,,,,"ק' - 255/35R19 , א' - 295/30R19",80.0,2X4,1,2,1,ונטאג'
10,אסטון מרטין,ונטאג',V8,2017,2,2,אחורית,ידנית,6,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.1,9.6,7.3,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1630.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,0,2,1,ונטאג'
11,אסטון מרטין,ונטאג',V8 S,2017,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,436,7300,50.0,5000,4.8,305,5.2,10.8,7.8,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1610.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,1,2,1,ונטאג'
12,אסטון מרטין,ונטאג',V8 S,2017,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,436,7300,50.0,5000,4.8,305,5.1,9.6,7.2,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1690.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,1,2,1,ונטאג'
13,אסטון מרטין,ונטאג',V8,2016,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.2,10.8,7.8,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1630.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,1,2,1,ונטאג'
14,אסטון מרטין,ונטאג',V8,2016,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.2,10.8,7.8,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,127.0,260.0,144.0,,1710.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,1,2,1,ונטאג'
15,אסטון מרטין,ונטאג',N,2016,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,436,7300,49.9,5000,4.8,305,5.2,10.8,7.8,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1630.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,1,2,1,ונטאג'
16,אסטון מרטין,ונטאג',V S,2016,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,12,5935,573,6750,63.2,5750,3.9,328,3.9,9.8,6.8,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,125.0,260.0,300.0,,1665.0,,,,,"ק' - 255/35R19 , א' - 295/30R19",80.0,2X4,1,2,1,ונטאג'
17,אסטון מרטין,ונטאג',V8,2016,2,2,אחורית,ידנית,6,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.1,9.6,7.3,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1630.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,0,2,1,ונטאג'
18,אסטון מרטין,ונטאג',V8,2016,2,2,אחורית,ידנית,6,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.1,9.6,7.3,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,127.0,260.0,144.0,,1710.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,0,2,1,ונטאג'
19,אסטון מרטין,ונטאג',N,2016,2,2,אחורית,ידנית,6,בנזין,8,4735,436,7300,49.9,5000,4.8,305,5.1,9.6,7.2,,,,,,ABS + EBD + BAS,4,יש,אין,438.5,186.5,126.0,260.0,300.0,,1630.0,,,,,"ק' - 245/40R19 , א' - 285/35R19",80.0,2X4,0,2,1,ונטאג'
20,אסטון מרטין,ונטאג',V8,2015,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.2,10.8,7.8,,,,,,ABS + EBD + BAS,4,יש,אין,,,,,,,,,,,,,,2X4,1,2,1,ונטאג'
21,אסטון מרטין,ונטאג',V8,2015,2,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4735,426,7300,47.9,5000,4.9,290,5.2,10.8,7.8,,,,,,ABS + EBD + BAS,4,יש,אין,,,,,,,,,,,,,,2X4,1,2,1,ונטאג'
