,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,ב.מ.וו,i3,LOFT,2020,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,170,,25.5,,7.3,150,,,,142.0,42.0,335.0,13:00,00:45,ABS + EBD + BAS,6,יש,יש,401.1,177.5,159.8,257.0,260.0,1100.0,1345.0,,,,,"ק' - 155/70R19, א' - 175/60R19",,2X4,1,4,4,i3
1,ב.מ.וו,i3,PULSE,2019,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,170,,25.5,,7.3,150,,,,131.0,33.0,300.0,07:30,00:39,ABS + EBD + BAS,6,יש,יש,399.9,177.5,157.8,257.0,260.0,1100.0,1320.0,,,,,"ק' - 155/70R19, א' - 175/60R19",,2X4,1,4,4,i3
2,ב.מ.וו,i3,LOFT,2019,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,170,,25.5,,7.3,150,,,,131.0,33.0,300.0,07:30,00:39,ABS + EBD + BAS,6,יש,יש,399.9,177.5,157.8,257.0,260.0,1100.0,1320.0,,,,,"ק' - 155/70R19, א' - 175/60R19",,2X4,1,4,4,i3
3,ב.מ.וו,i3,PULSE,2018,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,170,,25.5,,7.3,150,,,,131.0,33.0,300.0,07:30,00:39,ABS + EBD + BAS,6,יש,יש,399.9,177.5,157.8,257.0,260.0,1100.0,1320.0,,,,,"ק' - 155/70R19, א' - 175/60R19",,2X4,1,4,4,i3
4,ב.מ.וו,i3,S PULSE,2018,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,184,,27.5,,6.9,160,,,,143.0,33.0,280.0,07:30,00:39,ABS + EBD + BAS,6,יש,יש,400.6,179.1,159.0,257.0,260.0,1100.0,1340.0,,,,,"ק' - 155/55R20, א' - 195/50R20",,2X4,1,4,4,i3
5,ב.מ.וו,i3,LOFT,2018,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,170,,25.5,,7.3,150,,,,131.0,33.0,300.0,07:30,00:39,ABS + EBD + BAS,6,יש,יש,399.9,177.5,157.8,257.0,260.0,1100.0,1320.0,,,,,"ק' - 155/70R19, א' - 175/60R19",,2X4,1,4,4,i3
6,ב.מ.וו,i3,S LOFT,2018,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,184,,27.5,,6.9,160,,,,143.0,33.0,280.0,07:30,00:39,ABS + EBD + BAS,6,יש,יש,400.6,179.1,159.0,257.0,260.0,1100.0,1340.0,,,,,"ק' - 155/55R20, א' - 195/50R20",,2X4,1,4,4,i3
7,ב.מ.וו,i3,EDRIVE,2017,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,170,,25.5,,7.3,150,,,,126.0,33.0,300.0,07:30,00:39,ABS,6,יש,יש,399.9,177.5,157.8,257.0,260.0,1100.0,1320.0,,,,,"ק' - 155/70R19, א' - 175/60R19",,2X4,1,4,4,i3
8,ב.מ.וו,i3,EDRIVE,2016,5,4,אחורית,אוטומטית - רציפה,,חשמלי,,,170,,25.5,,7.3,150,,,,126.0,33.0,300.0,07:30,00:39,ABS,6,יש,יש,399.9,177.5,157.8,257.0,260.0,1100.0,1320.0,,,,,"ק' 155/70R19 , א' 175/60R19",,2X4,1,4,4,i3
9,ב.מ.וו,סדרה 1,I STYLE PLAY,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.5,211,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1485.0,,,695.0,1300.0,205/55R16 ,42.0,2X4,1,5,1,סדרה 1
10,ב.מ.וו,סדרה 1,I M-PLAY,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.5,211,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1485.0,,,695.0,1300.0,225/45R17 ,42.0,2X4,1,5,1,סדרה 1
11,ב.מ.וו,סדרה 1,I M-SUPERIOR,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.5,211,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1485.0,,,695.0,1300.0,225/45R17 ,42.0,2X4,1,5,1,סדרה 1
12,ב.מ.וו,סדרה 1,MI M-PERFORMANCE,2022,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,306,5000.0,45.9,1750.0,4.8,250,,,12.5,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1635.0,,,,,225/40R18 ,50.0,4X4,1,5,1,סדרה 1
13,ב.מ.וו,סדרה 1,TI SUPERIOR,2022,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,265,4750.0,40.7,1750.0,6.1,250,,,14.0,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1520.0,,,,,235/35R19,50.0,2X4,1,5,1,סדרה 1
14,ב.מ.וו,סדרה 1,I STYLE PLAY,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.5,211,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1485.0,,,695.0,1300.0,205/55R16 ,42.0,2X4,1,5,1,סדרה 1
15,ב.מ.וו,סדרה 1,I M-PLAY,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.5,211,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1485.0,,,695.0,1300.0,225/45R17 ,42.0,2X4,1,5,1,סדרה 1
16,ב.מ.וו,סדרה 1,I M-SUPERIOR,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.5,211,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1485.0,,,695.0,1300.0,225/45R17 ,42.0,2X4,1,5,1,סדרה 1
17,ב.מ.וו,סדרה 1,MI M-PERFORMANCE,2021,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,306,5000.0,45.9,1750.0,4.8,250,,,12.5,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1635.0,,,,,225/40R18 ,50.0,4X4,1,5,1,סדרה 1
18,ב.מ.וו,סדרה 1,I VIBE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,140,4600.0,22.4,1480.0,8.5,211,15.6,23.8,18.7,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1320.0,,,695.0,1300.0,225/45R17 ,42.0,2X4,1,5,1,סדרה 1
19,ב.מ.וו,סדרה 1,I M-SPORT,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,140,4600.0,22.4,1480.0,8.5,211,15.6,23.8,18.7,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1320.0,,,695.0,1300.0,225/45R17 ,42.0,2X4,1,5,1,סדרה 1
20,ב.מ.וו,סדרה 1,I SUPERIOR,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,140,4600.0,22.4,1480.0,8.5,211,15.6,23.8,18.7,,,,,,ABS + EBD + BAS,6,יש,יש,431.9,179.9,143.4,267.0,380.0,1200.0,1320.0,,,695.0,1300.0,225/45R17 ,42.0,2X4,1,5,1,סדרה 1
