,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,ביואיק,לה קרוס,CX,2014,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,3600,303,6800,36.5,5300,,,7.1,11.4,10.1,,,,,,ABS + EBD,8,יש,יש,500.1,185.7,150.4,283.7,376,,1737,,,454.0,454.0,245/50R17,68,2X4,1,5,1,לה קרוס
1,ביואיק,לה קרוס,CXL,2014,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,3600,303,6800,36.5,5300,,,7.1,11.4,10.1,,,,,,ABS + EBD,8,יש,יש,500.1,185.7,150.4,283.7,376,,1826,,,454.0,454.0,235/50R18,68,2X4,1,5,1,לה קרוס
2,ביואיק,לה קרוס,CXL,2013,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,3600,303,6800,36.5,5300,,,7.1,11.4,10.1,,,,,,ABS + EBD,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,454.0,454.0,235/50R18,68,2X4,1,5,1,לה קרוס
3,ביואיק,לה קרוס,CX,2013,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,3600,303,6800,36.5,5300,,,7.1,11.4,10.1,,,,,,ABS + EBD,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,454.0,454.0,245/50R17,68,2X4,1,5,1,לה קרוס
4,ביואיק,לה קרוס,CXL,2012,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,3600,303,6800,36.5,5300,,,7.1,11.4,10.1,,,,,,ABS + EBD,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,454.0,454.0,235/50R18,68,2X4,1,5,1,לה קרוס
5,ביואיק,לה קרוס,CX,2012,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,3600,303,6800,36.5,5300,,,7.1,11.4,10.1,,,,,,ABS + EBD,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,454.0,454.0,245/50R17,68,2X4,1,5,1,לה קרוס
6,ביואיק,לה קרוס,CXL,2011,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,2994,255,6900,29.3,5100,,,,,9.3,,,,,,ABS,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,450.0,450.0,235/50R18,68,2X4,1,5,1,לה קרוס
7,ביואיק,לה קרוס,CX,2011,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,2400,182,6700,23.3,4900,,,,,12.1,,,,,,ABS,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,450.0,450.0,235/50R18,68,2X4,1,5,1,לה קרוס
8,ביואיק,לה קרוס,CX,2010,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,2994,255,6900,29.3,5100,,,,,9.3,,,,,,ABS,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,450.0,450.0,235/50R18,68,2X4,1,5,1,לה קרוס
9,ביואיק,לה קרוס,CXL,2010,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,6,2994,255,6900,29.3,5100,,,,,9.3,,,,,,ABS,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,450.0,450.0,235/50R18,68,2X4,1,5,1,לה קרוס
10,ביואיק,לה קרוס,CX,2010,4,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,2400,182,6700,23.3,4900,,,,,12.1,,,,,,ABS,8,יש,יש,500.1,185.7,150.4,283.7,377,,1791,,,450.0,450.0,235/50R18,68,2X4,1,5,1,לה קרוס
11,ביואיק,לה קרוס,CX,2009,4,5,קדמית,אוטומטית,4,בנזין,6,3791,200,5200,31.8,4000,,190.0,,,10.6,,,,,,ABS,6,אין,אין,503.0,185.0,146.0,289.0,453,,1590,,,,,225/55R17,66,2X4,1,5,1,לה קרוס
12,ביואיק,לה קרוס,CXL,2009,4,5,קדמית,אוטומטית,4,בנזין,6,3791,200,5200,31.8,4000,,190.0,,,10.6,,,,,,ABS,6,אין,אין,503.0,185.0,146.0,289.0,453,,1590,,,,,225/55R17,66,2X4,1,5,1,לה קרוס
