,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,בנטלי,קונטיננטל GT,,2022,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3996,550,6000,78.5,2000,4.1,318,,,8.0,,,,,,ABS + EBD + BAS,4,יש,יש,485.0,195.4,139.9,284.9,235,,2335,2800.0,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
1,בנטלי,קונטיננטל GT,,2022,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3996,550,6000,78.5,2000,4.0,318,,,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,485.0,195.4,140.5,285.1,358,,2165,2725.0,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
2,בנטלי,קונטיננטל GT,MULLINER,2022,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3996,550,6000,78.5,2000,4.0,318,,,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,485.0,195.4,140.5,285.1,358,,2165,2725.0,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
3,בנטלי,קונטיננטל GT,MULLINER,2022,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3996,550,6000,78.5,2000,4.1,318,,,8.0,,,,,,ABS + EBD + BAS,4,יש,יש,485.0,195.4,139.9,284.9,235,,2335,2800.0,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
4,בנטלי,קונטיננטל GT,SPEED,2022,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,659,5000,91.7,1500,3.6,335,,,7.3,,,,,,ABS + EBD + BAS,4,יש,יש,485.0,195.4,140.5,285.1,358,,2273,2725.0,452.0,,,R22,90,4X4,1,4,1,קונטיננטל GT
5,בנטלי,קונטיננטל GT,SPEED,2022,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,659,5000,91.7,1500,3.7,335,,,7.1,,,,,,ABS + EBD + BAS,4,יש,יש,485.0,195.4,139.9,284.9,358,,2436,2865.0,429.0,,,R22,90,4X4,1,4,1,קונטיננטל GT
6,בנטלי,קונטיננטל GT,,2021,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
7,בנטלי,קונטיננטל GT,MULLINER,2021,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
8,בנטלי,קונטיננטל GT,,2020,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
9,בנטלי,קונטיננטל GT,MULLINER,2020,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
10,בנטלי,קונטיננטל GT,FIRST EDITION,2020,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,ק' 265/40ZR21 א' 305/35ZR21,90,4X4,1,4,1,קונטיננטל GT
11,בנטלי,קונטיננטל GT,,2019,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,"ק' 265/40ZR21 , א' 305/35ZR21",90,4X4,1,4,1,קונטיננטל GT
12,בנטלי,קונטיננטל GT,MULLINER,2019,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,"ק' 265/40ZR21 , א' 305/35ZR21",90,4X4,1,4,1,קונטיננטל GT
13,בנטלי,קונטיננטל GT,FIRST EDITION,2019,2,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,5000,91.8,1350,3.7,333,5.9,10.5,8.2,,,,,,ABS + EBD + BAS,4,יש,יש,480.5,195.4,139.2,285.0,358,,2252,,,,,"ק' 265/40ZR21 , א' 305/35ZR21",90,4X4,1,4,1,קונטיננטל GT
14,בנטלי,פליינג ספור,,2022,2,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,6000,91.8,1350,3.8,333,7.7,7.8,6.7,,,,,,ABS + EBD + BAS,8,יש,יש,531.6,197.8,148.4,319.4,420,,2437,,,,,"ק' 265/40R21 , א' 305/35R21",90,4X4,1,5,1,פליינג ספור
15,בנטלי,פליינג ספור,MULLINER,2022,2,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,12,5950,635,6000,91.8,1350,3.8,333,7.7,7.8,6.7,,,,,,ABS + EBD + BAS,8,יש,יש,531.6,197.8,148.4,319.4,420,,2437,,,,,"ק' 265/40R21 , א' 305/35R21",90,4X4,1,5,1,פליינג ספור
16,בנטלי,פליינג ספור,,2022,2,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3996,550,6000,78.5,2000,4.1,318,,,7.8,,,,,,ABS + EBD + BAS,8,יש,יש,531.6,197.8,148.3,319.4,420,,2330,2980.0,,,,"ק' 265/40R21 , א' 305/35R21",90,4X4,1,5,1,פליינג ספור
17,בנטלי,פליינג ספור,MULLINER,2022,2,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3996,550,6000,78.5,2000,4.1,318,,,7.8,,,,,,ABS + EBD + BAS,8,יש,יש,531.6,197.8,148.3,319.4,420,,2330,2980.0,,,,"ק' 265/40R21 , א' 305/35R21",90,4X4,1,5,1,פליינג ספור
