,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,,רנגייד,LONGITUDE,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1332,150,5500,27.5,1850,9.4,196.0,,,13.8,,,,,,ABS + EBD + BAS,6,יש,יש,423.9,180.5,170.2,257.0,351.0,1438.0,1476,1900.0,424.0,600.0,1450.0,215/60R17,48,2X4,1,5,1,רנגייד
1,,רנגייד,LATITUDE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1332,150,5500,27.5,1850,9.4,196.0,14.4,17.5,16.1,,,,,,ABS + EBD + BAS,6,יש,יש,423.9,180.5,170.2,257.0,351.0,1438.0,1476,,,600.0,1450.0,215/60R17,48,2X4,1,5,1,רנגייד
2,,רנגייד,LONGITUDE 2X4,2019,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1368,140,5000,23.5,1750,11.0,181.0,13.5,20.0,17.0,,,,,,ABS + EBD + BAS,6,יש,יש,425.5,180.5,169.7,257.0,524.0,1438.0,1395,1880.0,485.0,600.0,1200.0,215/65R16,48,2X4,1,5,1,רנגייד
3,,רנגייד,LONGITUDE 2X4,2018,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1368,140,5000,23.5,1750,11.0,181.0,13.5,20.0,17.0,,,,,,ABS + EBD + BAS,6,יש,יש,425.5,180.5,169.7,257.0,524.0,1438.0,1395,1880.0,485.0,600.0,1200.0,215/65R16,48,2X4,1,5,1,רנגייד
4,,רנגייד,LIMITED 4X4,2018,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,1368,170,5500,25.5,2500,8.8,196.0,11.5,17.0,14.5,,,,,,ABS + EBD + BAS,6,יש,יש,425.3,180.5,169.7,257.0,524.0,1438.0,1505,2010.0,505.0,600.0,1200.0,215/60R17,48,4X4,1,5,1,רנגייד
5,,רנגייד,LONGITUDE 2X4,2017,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1368,140,5000,23.5,1750,11.0,181.0,13.5,20.0,17.0,,,,,,ABS + EBD + BAS,6,יש,יש,425.5,180.5,169.7,257.0,524.0,1438.0,1395,1880.0,485.0,600.0,1200.0,215/65R16,48,2X4,1,5,1,רנגייד
6,,רנגייד,LIMITED 4X4,2017,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,1368,170,5500,25.5,2500,8.8,196.0,11.5,17.0,14.5,,,,,,ABS + EBD + BAS,6,יש,יש,425.3,180.5,169.7,257.0,524.0,1438.0,1505,2010.0,505.0,600.0,1200.0,215/60R17,48,4X4,1,5,1,רנגייד
7,,רנגייד,LONGITUDE 2X4,2016,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1368,140,5000,23.5,1750,11.0,181.0,13.5,20.0,17.0,,,,,,ABS + EBD + BAS,6,יש,יש,425.5,180.5,169.7,257.0,524.0,1438.0,1395,1880.0,485.0,600.0,1200.0,215/65R16,48,2X4,1,5,1,רנגייד
8,,רנגייד,LIMITED 4X4,2016,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,9,טורבו בנזין,4,1368,170,5500,25.5,2500,8.8,196.0,11.5,17.0,14.5,,,,,,ABS + EBD + BAS,6,יש,יש,425.3,180.5,169.7,257.0,524.0,1438.0,1505,2010.0,505.0,600.0,1200.0,215/60R17,48,4X4,1,5,1,רנגייד
9,,קומפאס,LONGITUDE,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,טורבו בנזין,4,1332,150,5500,27.5,1560,9.2,199.0,,,14.9,,,,,,ABS + EBD + BAS,6,יש,יש,440.4,181.9,162.9,263.6,438.0,,1505,1965.0,460.0,600.0,1480.0,215/60R17,55,2X4,1,5,1,קומפאס
