,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,יונדאי,G70,LUXURY,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,245,6200.0,36.0,1400.0,6.1,240,,,12.3,,,,,,ABS + EBD + BAS,10,יש,יש,468.5,185.0,140.0,283.5,330,,1605,2110.0,505.0,750.0,1500.0,R18,60.0,2X4,1,5,1,G70
1,יונדאי,G70,SPORT,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,245,6200.0,36.0,1400.0,6.1,240,,,11.3,,,,,,ABS + EBD + BAS,10,יש,יש,468.5,185.0,140.0,283.5,330,,1605,2110.0,505.0,750.0,1500.0,R19,60.0,2X4,1,5,1,G70
2,יונדאי,G70,LUXURY,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,245,6200.0,36.0,1400.0,6.1,240,,,12.3,,,,,,ABS + EBD + BAS,10,יש,יש,468.5,185.0,140.0,283.5,330,,1605,2110.0,505.0,750.0,1500.0,R18,60.0,2X4,1,5,1,G70
3,יונדאי,G70,SPORT,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,245,6200.0,36.0,1400.0,6.1,240,,,11.3,,,,,,ABS + EBD + BAS,10,יש,יש,468.5,185.0,140.0,283.5,330,,1605,2110.0,505.0,750.0,1500.0,R19,60.0,2X4,1,5,1,G70
4,יונדאי,G80,ELEGANT,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,2497.0,304,5800.0,43.0,1650.0,6.0,240,,,11.7,,,,,,ABS + EBD + BAS,10,יש,יש,499.5,192.5,146.5,301.0,424,,1785,2380.0,595.0,,,245/50R18,65.0,2X4,1,5,1,G80
5,יונדאי,G80,LUXURY,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,2497.0,304,5800.0,43.0,1650.0,6.0,240,,,11.7,,,,,,ABS + EBD + BAS,10,יש,יש,499.5,192.5,146.5,301.0,424,,1785,2380.0,595.0,,,"ק' 245/45R19 , א' 275/40R19",65.0,2X4,1,5,1,G80
6,יונדאי,G80,LUXURY,2022,4,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,370,,71.3,,4.9,225,,,,191.0,87.2,520.0,09:00,00:22,ABS + EBD + BAS,10,יש,יש,500.5,192.5,147.0,301.0,354,,2250,,,,,"ק' 245/45R19 , א' 275/40R19",,4X4,1,5,4,G80
7,יונדאי,G80,ELEGANT,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,2497.0,304,5800.0,43.0,1650.0,6.0,240,,,11.7,,,,,,ABS + EBD + BAS,10,יש,יש,499.5,192.5,146.5,301.0,424,,1785,2380.0,595.0,,,245/50R18,65.0,2X4,1,5,1,G80
8,יונדאי,G80,LUXURY,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,2497.0,304,5800.0,43.0,1650.0,6.0,240,,,11.7,,,,,,ABS + EBD + BAS,10,יש,יש,499.5,192.5,146.5,301.0,424,,1785,2380.0,595.0,,,275/40R19,65.0,2X4,1,5,1,G80
9,יונדאי,GV60,PREMIUM,2022,5,5,אחורית,תמסורת ישירה,,חשמלי,,,228,,35.7,,7.8,185,,,,170.0,77.4,517.0,06:50,00:18,ABS + EBD + BAS,8,יש,יש,451.5,189.0,158.0,290.0,432,,2050,,,750.0,1600.0,235/55R19,,2X4,1,5,4,GV60
