,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,,C10,,2015,5,5,קדמית,ידנית,5,בנזין,4,1497,96,6000,14.1,4200,,,11.0,16.1,13.7,,,,,,ABS + EBD,4,יש,יש,381.0,170.5,154.0,246.0,330.0,1100.0,1100,,,,,185/65R15,40,2X4,0,5,1,C10
1,,C10,,2014,5,5,קדמית,ידנית,5,בנזין,4,1497,96,6000,14.1,4200,,,11.0,16.1,13.7,,,,,,ABS + EBD,4,יש,יש,381.0,170.5,154.0,246.0,330.0,1100.0,1100,,,,,185/65R15,40,2X4,0,5,1,C10
2,,C10,,2013,5,5,קדמית,ידנית,5,בנזין,4,1497,96,6000,14.1,4200,,,11.0,16.1,13.7,,,,,,ABS + EBD,4,יש,יש,381.0,170.5,154.0,246.0,330.0,1100.0,1100,,,,,185/65R15,40,2X4,0,5,1,C10
3,,סטיד,STD,2015,4,5,אחורית,ידנית,5,בנזין,4,2378,125,5250,21.0,2500,,,7.2,11.2,9.3,,,,,,ABS + EBD,2,אין,אין,504.0,180.0,173.0,305.0,,,1660,2660.0,1000.0,,,235/70R16,70,2X4,0,5,1,סטיד
4,,סטיד,DLX,2015,4,5,אחורית,ידנית,5,בנזין,4,2378,125,5250,21.0,2500,,,7.2,11.2,9.3,,,,,,ABS + EBD,2,אין,אין,504.0,180.0,173.0,305.0,,,1660,2660.0,1000.0,,,235/70R16,70,2X4,0,5,1,סטיד
5,,סטיד,STD,2015,4,5,כפולה (4X4),ידנית,5,בנזין,4,2378,125,5250,21.0,2500,,,7.2,11.2,9.3,,,,,,ABS + EBD,2,אין,אין,504.0,180.0,173.0,305.0,,,1780,2780.0,1000.0,,,235/70R16,70,4X4,0,5,1,סטיד
6,,סטיד,DLX,2015,4,5,כפולה (4X4),ידנית,5,בנזין,4,2378,125,5250,21.0,2500,,,7.2,11.2,9.3,,,,,,ABS + EBD,2,אין,אין,504.0,180.0,173.0,305.0,,,1780,2780.0,1000.0,,,235/70R16,70,4X4,0,5,1,סטיד
7,,סטיד,STD,2015,4,5,אחורית,ידנית,6,טורבו דיזל,4,1996,140,4000,31.0,1800,,,10.5,13.5,12.0,,,,,,ABS + EBD,2,אין,אין,504.0,180.0,173.0,305.0,,,1835,2835.0,980.0,,,235/70R16,70,2X4,0,5,2,סטיד
8,,סטיד,DLX,2015,4,5,אחורית,ידנית,6,טורבו דיזל,4,1996,140,4000,31.0,1800,,,10.5,13.5,12.0,,,,,,ABS + EBD,2,אין,אין,504.0,180.0,173.0,305.0,,,1835,2835.0,1000.0,,,235/70R16,70,2X4,0,5,2,סטיד
9,,סטיד,STD,2015,4,5,כפולה (4X4),ידנית,6,טורבו דיזל,4,1996,140,4000,31.0,1800,,,10.5,13.5,12.0,,,,,,ABS + EBD,2,אין,אין,504.0,180.0,173.0,305.0,,,1910,2835.0,925.0,,,235/70R16,70,4X4,0,5,2,סטיד
