,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,,סנדרו,' LAUREATE,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,175,,,15.1,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1085,,,540.0,1090.0,185/65R15,50,2X4,1,5,1,סנדרו
1,,סנדרו,' LAUREATE,2020,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,175,17.5,22.2,20.4,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1085,,,540.0,1090.0,185/65R15,50,2X4,1,5,1,סנדרו
2,,סנדרו,LAUREATE PACK,2020,5,5,קדמית,ידנית,5,בנזין,3,999,73,6300,9.6,3500,15.1,158,16.1,20.4,18.5,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1045,,,520.0,1090.0,185/65R15,50,2X4,0,5,1,סנדרו
3,,סנדרו,' LAUREATE,2019,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,175,17.5,22.2,20.4,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1085,,,540.0,1090.0,185/65R15,50,2X4,1,5,1,סנדרו
4,,סנדרו,LAUREATE PACK,2019,5,5,קדמית,ידנית,5,בנזין,3,999,73,6300,9.6,3500,15.1,158,16.1,20.4,18.5,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1045,,,520.0,1090.0,185/65R15,50,2X4,0,5,1,סנדרו
5,,סנדרו,LAUREATE,2018,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,15.3,2250,11.0,175,17.5,22.2,20.4,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1055,,,525.0,1090.0,185/65R15,50,2X4,1,5,1,סנדרו
6,,סנדרו,LAUREATE,2017,5,5,קדמית,ידנית,5,בנזין,4,1149,75,5500,10.9,4250,14.5,162,13.5,20.4,17.2,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1016,,,505.0,750.0,185/65R15,50,2X4,0,5,1,סנדרו
7,,סנדרו,LAUREATE,2016,5,5,קדמית,ידנית,5,בנזין,4,1149,75,5500,10.9,4250,14.5,162,13.5,20.4,17.2,,,,,,ABS + EBD + BAS,4,יש,יש,405.7,173.3,152.3,258.9,320,1200.0,1016,,,505.0,750.0,185/65R15,50,2X4,0,5,1,סנדרו
8,,סנדרו Stepway,LAUREATE,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,175,,,15.1,,,,,,ABS + EBD + BAS,4,יש,יש,408.9,176.1,155.5,258.9,320,1200.0,1085,,,540.0,1090.0,205/55R16,50,2X4,1,5,1,סנדרו Stepway
9,,סנדרו Stepway,LAUREATE,2020,5,5,קדמית,ידנית,5,טורבו דיזל,4,1461,95,3750,22.4,1750,12.3,179,23.2,28.5,26.3,,,,,,ABS + EBD + BAS,4,יש,יש,408.9,176.1,155.5,258.9,320,1200.0,1226,,,610.0,1090.0,205/55R16,50,2X4,0,5,2,סנדרו Stepway
10,,סנדרו Stepway,LAUREATE,2020,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,175,17.5,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.9,176.1,155.5,258.9,320,1200.0,1085,,,540.0,1090.0,205/55R16,50,2X4,1,5,1,סנדרו Stepway
11,,סנדרו Stepway,LAUREATE,2019,5,5,קדמית,ידנית,5,טורבו דיזל,4,1461,95,3750,22.4,1750,12.3,179,23.2,28.5,26.3,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1226,,,575.0,750.0,205/55R16,50,2X4,0,5,2,סנדרו Stepway
12,,סנדרו Stepway,LAUREATE,2019,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,168,17.5,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1113,,,555.0,750.0,205/55R16,50,2X4,1,5,1,סנדרו Stepway
13,,סנדרו Stepway,LAUREATE,2018,5,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,168,17.2,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1098,,,545.0,750.0,205/55R16,50,2X4,0,5,1,סנדרו Stepway
14,,סנדרו Stepway,LAUREATE,2018,5,5,קדמית,ידנית,5,טורבו דיזל,4,1461,90,4000,22.4,1750,11.8,167,26.3,26.3,26.3,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1158,,,575.0,750.0,205/55R16,50,2X4,0,5,2,סנדרו Stepway
15,,סנדרו Stepway,LAUREATE,2018,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,168,17.5,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1113,,,555.0,750.0,205/55R16,50,2X4,1,5,1,סנדרו Stepway
16,,סנדרו Stepway,LAUREATE,2017,5,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,168,17.2,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1098,,,545.0,750.0,205/55R16,50,2X4,0,5,1,סנדרו Stepway
17,,סנדרו Stepway,LAUREATE,2017,5,5,קדמית,ידנית,5,טורבו דיזל,4,1461,90,4000,22.4,1750,11.8,167,26.3,26.3,26.3,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1158,,,575.0,750.0,205/55R16,50,2X4,0,5,2,סנדרו Stepway
18,,סנדרו Stepway,LAUREATE,2017,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,168,17.5,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1113,,,555.0,750.0,205/55R16,50,2X4,1,5,1,סנדרו Stepway
19,,סנדרו Stepway,LAUREATE,2016,5,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,168,17.2,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1098,,,545.0,750.0,205/55R16,50,2X4,0,5,1,סנדרו Stepway
20,,סנדרו Stepway,LAUREATE,2016,5,5,קדמית,ידנית,5,טורבו דיזל,4,1461,90,4000,22.4,1750,11.8,167,26.3,26.3,26.3,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1158,,,575.0,750.0,205/55R16,50,2X4,0,5,2,סנדרו Stepway
21,,סנדרו Stepway,LAUREATE,2016,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,168,17.5,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1113,,,555.0,750.0,205/55R16,50,2X4,1,5,1,סנדרו Stepway
22,,סנדרו Stepway,LAUREATE,2015,5,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5250,13.5,2500,11.1,168,14.9,21.7,18.5,,,,,,ABS + EBD,4,יש,יש,408.1,173.3,155.9,259.0,320,1200.0,1098,,,545.0,750.0,205/55R16,50,2X4,0,5,1,סנדרו Stepway
23,,לוגאן,,2019,4,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,169,17.2,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1073,,,,,185/65R15,50,2X4,0,5,1,לוגאן
24,,לוגאן,,2019,4,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,169,17.5,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1088,,,,,185/65R15,50,2X4,1,5,1,לוגאן
25,,לוגאן,,2019,4,5,קדמית,ידנית,5,טורבו דיזל,4,1461,90,4000,22.4,1750,11.9,167,27.0,27.7,27.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1134,,,,,185/65R15,50,2X4,0,5,2,לוגאן
26,,לוגאן,,2018,4,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,169,17.2,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1073,,,,,185/65R15,50,2X4,0,5,1,לוגאן
27,,לוגאן,,2018,4,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,169,17.5,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1088,,,,,185/65R15,50,2X4,1,5,1,לוגאן
28,,לוגאן,,2018,4,5,קדמית,ידנית,5,טורבו דיזל,4,1461,90,4000,22.4,1750,11.9,167,27.0,27.7,27.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1134,,,,,185/65R15,50,2X4,0,5,2,לוגאן
29,,לוגאן,,2017,4,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,169,17.2,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1073,,,,,185/65R15,50,2X4,0,5,1,לוגאן
30,,לוגאן,,2017,4,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,169,17.5,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1088,,,,,185/65R15,50,2X4,1,5,1,לוגאן
31,,לוגאן,,2017,4,5,קדמית,ידנית,5,טורבו דיזל,4,1461,90,4000,22.4,1750,11.9,167,27.0,27.7,27.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1134,,,,,185/65R15,50,2X4,0,5,2,לוגאן
32,,לוגאן,,2016,4,5,קדמית,ידנית,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.1,169,17.2,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1073,,,,,185/65R15,50,2X4,0,5,1,לוגאן
33,,לוגאן,,2016,4,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,169,17.5,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1088,,,,,185/65R15,50,2X4,1,5,1,לוגאן
34,,לוגאן,,2016,4,5,קדמית,ידנית,5,טורבו דיזל,4,1461,90,4000,22.4,1750,11.9,167,27.0,27.7,27.0,,,,,,ABS + EBD + BAS,4,יש,יש,434.6,173.3,151.7,263.4,510,,1134,,,,,185/65R15,50,2X4,0,5,2,לוגאן
35,,לוגאן MCV,,2021,4,5,קדמית,ידנית,5,טורבו דיזל,4,1461,95,3750,22.4,1750,12.9,179,,,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,449.4,173.3,152.1,263.4,573,1579.0,1257,,,625.0,1110.0,185/65R15,50,2X4,0,5,2,לוגאן
36,,לוגאן MCV,,2020,4,5,קדמית,ידנית,5,טורבו דיזל,4,1461,95,3750,22.4,1750,12.9,179,23.3,29.4,27.0,,,,,,ABS + EBD + BAS,4,יש,יש,449.4,173.3,152.1,263.4,573,1579.0,1257,,,625.0,1110.0,185/65R15,50,2X4,0,5,2,לוגאן
37,,לוגאן MCV,STEPWAY,2020,4,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,12.3,168,16.4,19.6,18.2,,,,,,ABS + EBD + BAS,4,יש,יש,452.8,176.2,155.0,263.4,573,1518.0,1194,,,595.0,1110.0,205/55R16,50,2X4,1,5,1,לוגאן
38,,לוגאן MCV,STEPWAY,2019,4,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,15.3,2250,11.1,170,17.5,21.3,19.6,,,,,,ABS + EBD + BAS,4,יש,יש,452.8,176.2,155.0,263.4,573,1518.0,1165,,,580.0,1110.0,205/55R16,50,2X4,1,5,1,לוגאן
39,,לוגאן MCV,,2018,4,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,898,90,5000,14.3,2250,11.0,169,17.5,21.7,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,449.4,173.3,151.8,263.4,573,1518.0,1148,,,570.0,1110.0,185/65R15,50,2X4,1,5,1,לוגאן
