,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,,קאליבר,SXT,2012,5,5,קדמית,אוטומטית - רציפה,6,בנזין,4,1998,156,6300,19.4,5100,11.3,186.0,9.7,14.9,12.5,,,,,,ABS,4,יש,אין,441.5,180.0,153.5,263.5,523.0,1341.0,1435,,,,,215/60R17,52,2X4,1,5,1,קאליבר
1,,קאליבר,SXT,2011,5,5,קדמית,אוטומטית - רציפה,6,בנזין,4,1998,156,6300,19.4,5100,11.3,186.0,9.7,14.9,12.5,,,,,,ABS,4,יש,אין,441.5,180.0,153.5,263.5,523.0,1341.0,1435,,,,,215/60R17,52,2X4,1,5,1,קאליבר
2,,קאליבר,SXT,2010,5,5,קדמית,אוטומטית - רציפה,6,בנזין,4,1998,156,6300,19.4,5100,11.3,186.0,9.7,14.9,12.5,,,,,,ABS,4,יש,אין,441.5,180.0,153.5,263.5,523.0,1341.0,1435,,,,,215/60R17,52,2X4,1,5,1,קאליבר
3,,קאליבר,SXT,2009,5,5,קדמית,אוטומטית - רציפה,6,בנזין,4,1998,156,6300,19.4,5100,11.3,186.0,9.7,14.9,12.5,,,,,,ABS,4,יש,אין,441.5,180.0,153.5,263.5,523.0,1341.0,1435,,,,,215/60R17,52,2X4,1,5,1,קאליבר
4,,קאליבר,SXT,2008,5,5,קדמית,אוטומטית - רציפה,6,בנזין,4,1998,156,6300,19.4,5100,11.3,186.0,9.7,14.9,12.5,,,,,,ABS,4,יש,אין,441.5,180.0,153.5,263.5,523.0,1341.0,1435,,,,,215/60R17,52,2X4,1,5,1,קאליבר
5,,קאליבר,SXT,2007,5,5,קדמית,אוטומטית - רציפה,6,בנזין,4,1998,156,6300,19.4,5100,11.3,186.0,9.7,14.9,12.5,,,,,,ABS,4,יש,אין,441.5,180.0,153.5,263.5,523.0,1341.0,1435,,,,,215/60R17,52,2X4,1,5,1,קאליבר
6,,אוונג'ר,", SE",2009,4,5,קדמית,אוטומטית,4,בנזין,4,2360,170,6000,22.4,4500,11.3,200.0,,,11.2,,,,,,ABS + EBD + BAS,6,יש,אין,485.0,184.0,150.0,276.5,438.0,,1510,,,,,215/60R17,64,2X4,1,5,1,אוונג'ר
7,,אוונג'ר,", SXT",2009,4,5,קדמית,אוטומטית,4,בנזין,4,2360,170,6000,22.4,4500,11.3,200.0,,,11.2,,,,,,ABS + EBD + BAS,6,יש,אין,485.0,184.0,150.0,276.5,438.0,,1510,,,,,215/60R17,64,2X4,1,5,1,אוונג'ר
8,,אוונג'ר,", SE",2008,4,5,קדמית,אוטומטית,4,בנזין,4,2360,170,6000,22.4,4500,11.3,200.0,,,11.2,,,,,,ABS + EBD + BAS,6,יש,אין,485.0,184.0,150.0,276.5,438.0,,1510,,,,,215/60R17,64,2X4,1,5,1,אוונג'ר
9,,אוונג'ר,", SXT",2008,4,5,קדמית,אוטומטית,4,בנזין,4,2360,170,6000,22.4,4500,11.3,200.0,,,11.2,,,,,,ABS + EBD + BAS,6,יש,אין,485.0,184.0,150.0,276.5,438.0,,1510,,,,,215/60R17,64,2X4,1,5,1,אוונג'ר
10,,נייטרו,,2010,5,5,כפולה (4X4),אוטומטית,4,בנזין,6,3700,205,5200,32.0,4000,10.3,190.0,5.9,10.8,8.3,,,,,,ABS + EBD + BAS,4,יש,אין,458.4,185.6,177.3,276.3,892.0,1818.0,2045,,,,,235/65R17,73,4X4,1,5,1,נייטרו
11,,נייטרו,,2009,5,5,כפולה (4X4),אוטומטית,4,בנזין,6,3700,205,5200,32.0,4000,10.3,190.0,5.9,10.8,8.3,,,,,,ABS + EBD + BAS,4,יש,אין,458.4,185.6,177.3,276.3,892.0,1818.0,2045,,,,,235/65R17,73,4X4,1,5,1,נייטרו
