,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,דייהטסו,סיריון,,2011,5,5,קדמית,אוטומטית,4,בנזין,4,1298,87,6000,12.0,3200,13.0,165,11.6,20.0,15.6,,,,,,ABS + EBD,4,יש,אין,360.5,166.6,155.0,243.0,225.0,630.0,955,,,350.0,750.0,175/65R14,40,2X4,1,5,1,סיריון
1,דייהטסו,סיריון,,2010,5,5,קדמית,אוטומטית,4,בנזין,4,1298,87,6000,12.0,3200,13.0,165,11.6,20.0,15.6,,,,,,ABS + EBD,4,יש,אין,360.0,165.6,155.0,243.0,225.0,630.0,955,,,350.0,750.0,175/65R14,40,2X4,1,5,1,סיריון
2,דייהטסו,סיריון,,2009,5,5,קדמית,אוטומטית,4,בנזין,4,1298,87,6000,12.0,3200,13.0,165,11.6,20.0,15.6,,,,,,ABS + EBD,4,יש,אין,360.0,165.6,155.0,243.0,225.0,630.0,955,,,350.0,750.0,175/65R14,40,2X4,1,5,1,סיריון
3,דייהטסו,סיריון,,2008,5,5,קדמית,אוטומטית,4,בנזין,4,1298,87,6000,12.0,3200,13.0,165,11.6,20.0,15.6,,,,,,ABS + EBD,4,יש,אין,360.0,165.6,155.0,243.0,225.0,630.0,955,,,350.0,750.0,175/65R14,40,2X4,1,5,1,סיריון
4,דייהטסו,סיריון,,2007,5,5,קדמית,אוטומטית,4,בנזין,4,1298,87,6000,12.0,3200,13.0,165,11.6,20.0,15.6,,,,,,ABS + EBD,4,יש,אין,360.0,165.6,155.0,243.0,225.0,630.0,955,,,350.0,750.0,175/65R14,40,2X4,1,5,1,סיריון
5,דייהטסו,סיריון,,2006,5,5,קדמית,אוטומטית,4,בנזין,4,1298,87,6000,12.0,3200,13.0,165,11.6,20.0,15.6,,,,,,ABS + EBD,4,יש,אין,360.0,165.6,155.0,243.0,225.0,630.0,955,,,,,175/65R14,40,2X4,1,5,1,סיריון
6,דייהטסו,סיריון,CX,2005,5,5,קדמית,אוטומטית,4,בנזין,3,989,58,5000,9.0,3600,17.2,140,,,17.6,,,,,,ללא ABS,2,אין,אין,367.0,159.0,145.0,234.0,235.0,525.0,815,,,,,165/65R14,40,2X4,1,5,1,סיריון
7,דייהטסו,סיריון,CX,2004,5,5,קדמית,אוטומטית,4,בנזין,3,989,58,5000,9.0,3600,17.2,140,,,17.6,,,,,,ללא ABS,2,אין,אין,367.0,159.0,145.0,234.0,235.0,525.0,815,,,,,165/65R14,40,2X4,1,5,1,סיריון
8,דייהטסו,סיריון,CX,2003,5,5,קדמית,אוטומטית,4,בנזין,3,989,58,5000,9.0,3600,17.2,140,,,17.6,,,,,,ללא ABS,2,אין,אין,367.0,159.0,145.0,234.0,235.0,525.0,815,,,,,165/65R14,40,2X4,1,5,1,סיריון
9,דייהטסו,סיריון,CX,2002,5,5,קדמית,אוטומטית,4,בנזין,3,989,58,5000,9.0,3600,17.2,140,,,17.6,,,,,,ללא ABS,2,אין,אין,367.0,159.0,145.0,234.0,235.0,525.0,815,,,,,165/65R14,40,2X4,1,5,1,סיריון
10,דייהטסו,סיריון,CX,2001,5,5,קדמית,אוטומטית,4,בנזין,3,989,58,5000,9.0,3600,17.2,140,,,17.6,,,,,,ללא ABS,2,אין,אין,367.0,159.0,145.0,234.0,235.0,525.0,815,,,,,165/65R14,40,2X4,1,5,1,סיריון
11,דייהטסו,סיריון,CX,2000,5,5,קדמית,אוטומטית,4,בנזין,3,989,58,5000,9.0,3600,17.2,140,,,17.6,,,,,,ללא ABS,2,אין,אין,367.0,159.0,145.0,234.0,235.0,525.0,815,,,,,165/65R14,40,2X4,1,5,1,סיריון
12,דייהטסו,סיריון,CX,1999,5,5,קדמית,אוטומטית,4,בנזין,3,989,58,5000,9.0,3600,17.2,140,,,17.6,,,,,,ללא ABS,2,אין,אין,367.0,159.0,145.0,234.0,235.0,525.0,815,,,,,165/65R14,40,2X4,1,5,1,סיריון
13,דייהטסו,מאטריה,",",2009,5,5,קדמית,אוטומטית,4,בנזין,4,1495,105,6000,14.3,4400,13.7,164,,,13.3,,,,,,ABS,4,אין,יש,380.0,169.0,163.5,254.0,,,1035,,,,,175/65R14,40,2X4,1,5,1,מאטריה
14,דייהטסו,מאטריה,",",2008,5,5,קדמית,אוטומטית,4,בנזין,4,1495,105,6000,14.3,4400,13.7,164,,,13.3,,,,,,ABS,4,אין,יש,380.0,169.0,163.5,254.0,,,1035,,,,,175/65R14,40,2X4,1,5,1,מאטריה
15,דייהטסו,מאטריה,",",2007,5,5,קדמית,אוטומטית,4,בנזין,4,1495,105,6000,14.3,4400,13.7,164,,,13.3,,,,,,ABS,4,אין,יש,380.0,169.0,163.5,254.0,,,1035,,,,,175/65R14,40,2X4,1,5,1,מאטריה
16,דייהטסו,YRV,,2006,5,5,קדמית,אוטומטית,4,בנזין,4,1296,86,6000,12.5,3200,13.1,165,,,15.0,,,,,,ללא ABS,2,אין,אין,376.5,162.0,155.0,,,,910,,,,,165/65R14,40,2X4,1,5,1,YRV
17,דייהטסו,YRV,,2005,5,5,קדמית,אוטומטית,4,בנזין,4,1296,86,6000,12.5,3200,13.1,165,,,15.0,,,,,,ללא ABS,2,אין,אין,376.5,162.0,155.0,,,,910,,,,,165/65R14,40,2X4,1,5,1,YRV
18,דייהטסו,YRV,,2004,5,5,קדמית,אוטומטית,4,בנזין,4,1296,86,6000,12.5,3200,13.1,165,,,15.0,,,,,,ללא ABS,2,אין,אין,376.5,162.0,155.0,,,,910,,,,,165/65R14,40,2X4,1,5,1,YRV
