,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,הונדה,ג'אז,COMFORT,2020,5,5,קדמית,אוטומטית - רציפה,7.0,בנזין,4,1318,102,6000,12.5,5000,12.1,182.0,18.5,22.7,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,1,5,1,ג'אז
1,הונדה,ג'אז,TREND,2020,5,5,קדמית,אוטומטית - רציפה,7.0,בנזין,4,1318,102,6000,12.5,5000,12.0,182.0,18.9,24.4,21.7,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,1,5,1,ג'אז
2,הונדה,ג'אז,TREND,2020,5,5,קדמית,ידנית,6.0,בנזין,4,1318,102,6000,12.5,5000,11.2,190.0,16.4,23.3,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,0,5,1,ג'אז
3,הונדה,ג'אז,TREND,2019,5,5,קדמית,ידנית,6.0,בנזין,4,1318,102,6000,12.5,5000,11.2,190.0,16.4,23.3,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,0,5,1,ג'אז
4,הונדה,ג'אז,TREND,2019,5,5,קדמית,אוטומטית - רציפה,7.0,בנזין,4,1318,102,6000,12.5,5000,12.0,182.0,18.9,24.4,21.7,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,1,5,1,ג'אז
5,הונדה,ג'אז,COMFORT,2019,5,5,קדמית,אוטומטית - רציפה,7.0,בנזין,4,1318,102,6000,12.5,5000,12.1,182.0,18.5,22.7,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,1,5,1,ג'אז
6,הונדה,ג'אז,TREND,2018,5,5,קדמית,ידנית,6.0,בנזין,4,1318,102,6000,12.5,5000,11.2,190.0,16.4,23.3,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,0,5,1,ג'אז
7,הונדה,ג'אז,TREND,2018,5,5,קדמית,אוטומטית - רציפה,7.0,בנזין,4,1318,102,6000,12.5,5000,12.0,182.0,18.9,24.4,21.7,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,1,5,1,ג'אז
8,הונדה,ג'אז,COMFORT,2018,5,5,קדמית,אוטומטית - רציפה,7.0,בנזין,4,1318,102,6000,12.5,5000,12.1,182.0,18.5,22.7,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/60R15,40.0,2X4,1,5,1,ג'אז
9,הונדה,ג'אז,ELEGANCE,2018,5,5,קדמית,אוטומטית - רציפה,7.0,בנזין,4,1318,102,6000,12.5,5000,12.3,182.0,18.1,22.2,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,399.5,169.4,152.5,253.0,354.0,1314.0,1066,,,450.0,1000.0,185/55R16,40.0,2X4,1,5,1,ג'אז
