,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,וולוו,C30,SPORT,2012,3,4,קדמית,אוטומטית,5.0,טורבו בנזין,5.0,2521.0,230,5000.0,32.6,1500.0,7.1,235,7.4,15.3,11.1,,,,,,ABS + EBD,6,יש,יש,426.6,178.2,144.7,264.0,251.0,895.0,1437.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
1,וולוו,C30,EXTREME,2012,3,4,קדמית,אוטומטית,5.0,טורבו בנזין,5.0,2521.0,230,5000.0,32.6,1500.0,7.1,235,7.4,15.3,11.1,,,,,,ABS + EBD,6,יש,יש,426.6,178.2,144.7,264.0,251.0,895.0,1437.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
2,וולוו,C30,EXECUTIVE,2012,5,7,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,בנזין,6.0,3192.0,238,6200.0,32.6,3200.0,9.5,210,5.8,11.0,8.3,,,,,,ABS,8,יש,אין,480.7,190.0,178.4,285.7,613.0,,2060.0,,,,,235/65R17,80.0,4X4,1,7,1,C30
3,וולוו,C30,,2011,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,בנזין,4.0,1999.0,145,6000.0,18.9,4500.0,9.7,205,8.8,15.6,12.3,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1327.0,,,,,205/55R16,55.0,2X4,1,4,1,C30
4,וולוו,C30,,2010,3,4,קדמית,אוטומטית,5.0,בנזין,5.0,2435.0,170,6000.0,23.4,4400.0,8.8,215,,,11.1,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1429.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
5,וולוו,C30,,2010,3,4,קדמית,אוטומטית - טיפטרוניק,5.0,טורבו בנזין,5.0,2521.0,230,5000.0,32.6,1500.0,7.1,235,,,10.6,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1437.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
6,וולוו,C30,DRIVE,2010,3,4,קדמית,ידנית,6.0,טורבו דיזל,4.0,1560.0,115,3600.0,27.5,1750.0,10.7,193,,,23.2,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1339.0,,,,,205/55R16,52.0,2X4,0,4,2,C30
7,וולוו,C30,,2010,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,בנזין,4.0,1999.0,145,6000.0,18.9,4500.0,9.7,205,,,12.3,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1327.0,,,,,205/55R16,55.0,2X4,1,4,1,C30
8,וולוו,C30,,2009,3,4,קדמית,אוטומטית,5.0,בנזין,5.0,2435.0,170,6000.0,23.4,4400.0,8.8,215,,,11.1,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1429.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
9,וולוו,C30,,2009,3,4,קדמית,אוטומטית - טיפטרוניק,5.0,טורבו בנזין,5.0,2521.0,230,5000.0,32.6,1500.0,7.1,235,,,10.6,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1437.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
10,וולוו,C30,,2009,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,בנזין,4.0,1999.0,145,6000.0,18.9,4500.0,9.7,205,,,12.3,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1327.0,,,,,205/55R16,55.0,2X4,1,4,1,C30
11,וולוו,C30,,2008,3,4,קדמית,אוטומטית,5.0,בנזין,5.0,2435.0,170,6000.0,23.4,4400.0,8.8,215,,,11.1,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1429.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
12,וולוו,C30,,2008,3,4,קדמית,אוטומטית - טיפטרוניק,5.0,טורבו בנזין,5.0,2521.0,230,5000.0,32.6,1500.0,7.1,235,,,10.6,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1437.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
13,וולוו,C30,,2007,3,4,קדמית,אוטומטית,5.0,בנזין,5.0,2435.0,170,6000.0,23.4,4400.0,8.8,215,,,11.1,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1429.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
14,וולוו,C30,,2007,3,4,קדמית,אוטומטית - טיפטרוניק,5.0,טורבו בנזין,5.0,2521.0,230,5000.0,32.6,1500.0,7.1,235,,,10.6,,,,,,ABS + EBD,6,יש,אין,426.6,178.2,144.7,264.0,251.0,895.0,1437.0,,,,,205/55R16,62.0,2X4,1,4,1,C30
