,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,טויוטה,אייגו,X-PLAY,2021,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4300.0,15.2,160.0,,,19.2,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,1240.0,480.0,,,165/60R15,35.0,2X4,1,4,1,אייגו
1,טויוטה,אייגו,OPEN TOP,2021,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4300.0,15.2,160.0,,,19.2,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,1240.0,480.0,,,165/60R15,35.0,2X4,1,4,1,אייגו
2,טויוטה,אייגו,X,2021,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4300.0,15.2,160.0,,,19.2,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,1240.0,480.0,,,165/60R15,35.0,2X4,1,4,1,אייגו
3,טויוטה,אייגו,X-PLAY,2020,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.7,4300.0,15.2,160.0,20.4,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,,,,,165/60R15,35.0,2X4,1,4,1,אייגו
4,טויוטה,אייגו,OPEN TOP,2020,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.7,4300.0,15.2,160.0,20.4,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,,,,,165/60R15,35.0,2X4,1,4,1,אייגו
5,טויוטה,אייגו,X-PLAY,2019,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.7,4300.0,15.2,160.0,20.4,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,,,,,165/60R15,35.0,2X4,1,4,1,אייגו
6,טויוטה,אייגו,OPEN TOP,2019,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.7,4300.0,15.2,160.0,20.4,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,,,,,165/60R15,35.0,2X4,1,4,1,אייגו
7,טויוטה,אייגו,,2018,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.7,4300.0,15.2,160.0,20.4,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,,,,,165/60R15,35.0,2X4,1,4,1,אייגו
8,טויוטה,אייגו,OPEN TOP,2018,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.7,4300.0,15.2,160.0,20.4,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,168.0,,860,,,,,165/60R15,35.0,2X4,1,4,1,אייגו
9,טויוטה,אייגו,,2017,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4300.0,14.2,160.0,20.0,27.8,24.4,,,,,,ABS + EBD,6,יש,יש,345.5,161.5,146.0,234.0,168.0,,855,,,,,165/60R15,35.0,2X4,0,4,1,אייגו
10,טויוטה,אייגו,OPEN TOP,2017,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4300.0,14.2,160.0,20.0,27.8,24.4,,,,,,ABS + EBD,6,יש,יש,345.5,161.5,146.0,234.0,168.0,,855,,,,,165/60R15,35.0,2X4,0,4,1,אייגו
11,טויוטה,אייגו,,2017,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4300.0,15.5,160.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,345.5,161.5,146.0,234.0,168.0,,860,,,,,165/60R15,35.0,2X4,1,4,1,אייגו
