,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,טסלה,מודל 3,EV,2022,4,5,אחורית,תמסורת ישירה,,חשמלי,,,283,,42.8,,6.1,225,,,,140.0,62,491,10:10,00:35,ABS + EBD + BAS,6,יש,יש,469.4,184.9,144.3,287.5,425.0,,1726,2180.0,454.0,750.0,1000.0,235/45R18,,2X4,1,5,4,מודל 3
1,טסלה,מודל 3,LONG RANGE,2022,4,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,498,,58.6,,4.4,233,,,,148.0,75,602,13:10,00:35,ABS + EBD + BAS,6,יש,יש,469.4,184.9,144.3,287.5,425.0,,1847,2265.0,418.0,750.0,1000.0,235/45R18,,4X4,1,5,4,מודל 3
2,טסלה,מודל 3,PERFORMANCE,2022,4,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,534,,67.3,,3.3,261,,,,165.0,75,547,12:52,00:35,ABS + EBD + BAS,6,יש,יש,469.4,184.9,144.3,287.5,425.0,,1847,2265.0,418.0,750.0,1000.0,235/35R20,,4X4,1,5,4,מודל 3
3,טסלה,מודל 3,STANDARD RANGE PLUS,2021,4,5,אחורית,תמסורת ישירה,,חשמלי,,,306,,42.8,,5.6,225,,,,140.0,62,448,10:10,00:35,ABS + EBD + BAS,6,יש,יש,469.4,184.9,144.3,287.5,425.0,,1726,2180.0,454.0,750.0,1000.0,235/45R18,,2X4,1,5,4,מודל 3
4,טסלה,מודל 3,LONG RANGE,2021,4,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,476,,58.6,,4.4,233,,,,148.0,75,580,13:10,00:35,ABS + EBD + BAS,6,יש,יש,469.4,184.9,144.3,287.5,425.0,,1847,2265.0,418.0,750.0,1000.0,235/45R18,,4X4,1,5,4,מודל 3
5,טסלה,מודל 3,PERFORMANCE,2021,4,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,490,,67.3,,3.3,261,,,,165.0,75,567,12:52,00:35,ABS + EBD + BAS,6,יש,יש,469.4,184.9,144.3,287.5,425.0,,1847,2265.0,418.0,750.0,1000.0,235/35R20,,4X4,1,5,4,מודל 3
6,טסלה,מודל Y,LONG RANGE,2022,4,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,514,,50.3,,5.0,217,,,,169.0,75,533,13:10,00:35,ABS + EBD + BAS,6,יש,יש,475.1,192.1,162.4,289.0,854.0,2158.0,2054,2619.0,565.0,750.0,1600.0,235/40R19,,4X4,1,5,4,מודל Y
7,טסלה,מודל Y,PERFORMANCE,2022,4,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,534,,67.3,,3.7,250,,,,173.0,75,514,12:52,00:35,ABS + EBD + BAS,6,יש,יש,475.1,192.1,162.4,289.0,854.0,2158.0,2072,,,,,"ק' 255/35R21 , א' 275/35R21",,4X4,1,5,4,מודל Y
8,טסלה,מודל S,LONG RANGE,2022,5,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,670,,,,3.2,250,,,,,85,652,18:56,00:40,ABS + EBD + BAS,8,יש,יש,497.0,196.4,144.5,296.0,804.0,1645.0,2108,2694.0,586.0,,,245/45R19,,4X4,1,5,4,מודל S
9,טסלה,מודל S,PLAID,2022,5,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,1020,,,,2.1,322,,,,,100,600,17:56,00:40,ABS + EBD + BAS,8,יש,יש,497.0,196.4,144.5,296.0,804.0,1645.0,2108,2694.0,586.0,,,245/45R19,,4X4,1,5,4,מודל S
10,טסלה,מודל X,LONG RANGE,2022,5,5,כפולה (4X4),תמסורת ישירה,,חשמלי,,,670,,,,3.9,250,,,,,85,560,18:42,00:40,ABS + EBD + BAS,12,יש,יש,503.6,199.9,168.4,296.5,,,2352,,620.0,750.0,2250.0,"ק' 265/45R20 , א' 275/45R20",,4X4,1,5,4,מודל X
11,טסלה,מודל X,PLAID,2022,5,6,כפולה (4X4),תמסורת ישירה,,חשמלי,,,1020,,,,2.6,262,,,,,100,528,17:38,00:35,ABS + EBD + BAS,12,יש,יש,503.6,199.9,168.4,296.5,,,2352,,620.0,750.0,2250.0,"ק' 265/45R20 , א' 275/45R20",,4X4,1,6,4,מודל X
