,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,יגואר,X-TYPE,", EXECUTIVE",2009,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
1,יגואר,X-TYPE,", ENTARY",2009,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,194,6800.0,24.8,3000.0,8.9,220,,,9.7,,,,,,ABS + EBD,8,יש,יש,467.0,179.0,139.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
2,יגואר,X-TYPE,", EXECUTIVE",2009,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2967.0,231,6800.0,28.4,3000.0,7.5,227,,,9.5,,,,,,ABS + EBD,6,יש,אין,467.0,180.0,143.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
3,יגואר,X-TYPE,", EXECUTIVE",2008,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
4,יגואר,X-TYPE,", ENTARY",2008,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,194,6800.0,24.8,3000.0,8.9,220,,,9.7,,,,,,ABS + EBD,8,יש,יש,467.0,179.0,139.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
5,יגואר,X-TYPE,", EXECUTIVE",2008,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2967.0,231,6800.0,28.4,3000.0,7.5,227,,,9.5,,,,,,ABS + EBD,6,יש,אין,467.0,180.0,143.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
6,יגואר,X-TYPE,", EXECUTIVE",2007,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
7,יגואר,X-TYPE,", ENTARY",2007,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,194,6800.0,24.8,3000.0,8.9,220,,,9.7,,,,,,ABS + EBD,8,יש,יש,467.0,179.0,139.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
8,יגואר,X-TYPE,", EXECUTIVE",2007,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2967.0,231,6800.0,28.4,3000.0,7.5,227,,,9.5,,,,,,ABS + EBD,6,יש,אין,467.0,180.0,143.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
9,יגואר,X-TYPE,", EXECUTIVE",2006,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
10,יגואר,X-TYPE,", ENTARY",2006,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,194,6800.0,24.8,3000.0,8.9,220,,,9.7,,,,,,ABS + EBD,8,יש,יש,467.0,179.0,139.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
11,יגואר,X-TYPE,", EXECUTIVE",2006,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2967.0,231,6800.0,28.4,3000.0,7.5,227,,,9.5,,,,,,ABS + EBD,6,יש,אין,467.0,180.0,143.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
12,יגואר,X-TYPE,", EXECUTIVE",2005,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
13,יגואר,X-TYPE,", ENTARY",2005,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,194,6800.0,24.8,3000.0,8.9,220,,,9.7,,,,,,ABS + EBD,8,יש,יש,467.0,179.0,139.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
14,יגואר,X-TYPE,", EXECUTIVE",2005,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2967.0,231,6800.0,28.4,3000.0,7.5,227,,,9.5,,,,,,ABS + EBD,6,יש,אין,467.0,180.0,143.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
15,יגואר,X-TYPE,", EXECUTIVE",2004,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
16,יגואר,X-TYPE,", ENTARY",2004,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,194,6800.0,24.8,3000.0,8.9,220,,,9.7,,,,,,ABS + EBD,8,יש,יש,467.0,179.0,139.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
17,יגואר,X-TYPE,", EXECUTIVE",2004,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2967.0,231,6800.0,28.4,3000.0,7.5,227,,,9.5,,,,,,ABS + EBD,6,יש,אין,467.0,180.0,143.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
18,יגואר,X-TYPE,", EXECUTIVE",2003,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
19,יגואר,X-TYPE,", ENTARY",2003,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,194,6800.0,24.8,3000.0,8.9,220,,,9.7,,,,,,ABS + EBD,8,יש,יש,467.0,179.0,139.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
20,יגואר,X-TYPE,", EXECUTIVE",2003,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2967.0,231,6800.0,28.4,3000.0,7.5,227,,,9.5,,,,,,ABS + EBD,6,יש,אין,467.0,180.0,143.0,271.0,454.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
21,יגואר,X-TYPE,", EXECUTIVE",2002,4,5,כפולה (4X4),אוטומטית,5.0,בנזין,6.0,2495.0,196,6800.0,24.5,3000.0,7.8,217,,,9.7,,,,,,ABS + EBD,6,יש,יש,467.0,180.0,143.0,271.0,425.0,,1595,,,,,225/45R17,61.0,4X4,1,5,1,X-TYPE
