,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,יונדאי,i10,' INSPIRE,2022,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.8,171.0,,,18.1,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,175/65R14,36.0,2X4,1,5,1,i10
1,יונדאי,i10,INTENSE,2022,5,5,קדמית,ידנית,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,12.6,171.0,,,21.2,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,175/65R14,36.0,2X4,0,5,1,i10
2,יונדאי,i10,' PRIME,2022,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.8,171.0,,,17.2,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,185/55R15,36.0,2X4,1,5,1,i10
3,יונדאי,i10,' SUPREME,2022,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.8,171.0,,,16.9,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,195/45R16,36.0,2X4,1,5,1,i10
4,יונדאי,i10,' INSPIRE,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.8,171.0,,,18.1,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,175/65R14,36.0,2X4,1,5,1,i10
5,יונדאי,i10,INTENSE,2021,5,5,קדמית,ידנית,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,12.6,171.0,,,21.2,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,175/65R14,36.0,2X4,0,5,1,i10
6,יונדאי,i10,' PRIME,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.8,171.0,,,17.2,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,185/55R15,36.0,2X4,1,5,1,i10
7,יונדאי,i10,' SUPREME,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.8,171.0,,,16.9,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,195/45R16,36.0,2X4,1,5,1,i10
8,יונדאי,i10,' INSPIRE,2020,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.8,171.0,17.2,23.2,,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,175/65R14,36.0,2X4,1,5,1,i10
9,יונדאי,i10,INTENSE,2020,5,5,קדמית,ידנית,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,12.6,171.0,17.2,23.2,,,,,,,ABS + EBD,6,יש,אין,367.0,168.0,148.0,242.5,252.0,1050.0,1010,,,,,175/65R14,36.0,2X4,0,5,1,i10
