,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,לנדרובר,פרילנדר,S,2014,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2179,190,3500.0,42.0,1750.0,9.5,190,9.0,14.7,14.2,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1770,,,,,235/65R17,68,4X4,1,5,2,פרילנדר
1,לנדרובר,פרילנדר,S,2014,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3200,233,6300.0,31.7,3200.0,8.9,200,6.3,11.6,8.9,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1930,,,,,235/60R18,70,4X4,1,5,1,פרילנדר
2,לנדרובר,פרילנדר,S,2013,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2179,190,3500.0,42.0,1750.0,9.5,190,9.0,14.7,14.2,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1770,,,,,235/65R17,68,4X4,1,5,2,פרילנדר
3,לנדרובר,פרילנדר,S,2013,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3200,233,6300.0,31.7,3200.0,8.9,200,6.3,11.6,8.9,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1930,,,,,235/60R18,70,4X4,1,5,1,פרילנדר
4,לנדרובר,פרילנדר,S,2012,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2179,190,3500.0,42.0,1750.0,9.5,190,9.0,14.7,14.2,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1770,,,,,235/65R17,68,4X4,1,5,2,פרילנדר
5,לנדרובר,פרילנדר,S,2012,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3200,233,6300.0,31.7,3200.0,8.9,200,6.3,11.6,8.9,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1930,,,,,235/60R18,70,4X4,1,5,1,פרילנדר
6,לנדרובר,פרילנדר,S,2011,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2197,160,4000.0,40.0,2000.0,11.2,181,9.0,14.7,11.7,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1770,,,,,235/65R17,68,4X4,1,5,2,פרילנדר
7,לנדרובר,פרילנדר,S,2011,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,6,3200,233,6300.0,31.7,3200.0,8.9,200,6.3,11.6,8.9,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1930,,,,,235/60R18,70,4X4,1,5,1,פרילנדר
8,לנדרובר,פרילנדר,E,2011,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2197,160,4000.0,40.0,2000.0,11.2,181,9.0,14.7,11.7,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1770,,,,,235/65R17,68,4X4,1,5,2,פרילנדר
9,לנדרובר,פרילנדר,S,2011,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,2197,160,4000.0,40.0,2000.0,11.2,181,9.0,14.7,11.7,,,,,,ABS + EBD + BAS,7,יש,יש,450.0,200.5,174.0,266.0,755.0,1670.0,1770,,,,,235/65R17,68,4X4,1,5,2,פרילנדר
