,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,מאזדה,2,DYNAMIC,2022,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,14.8,4000,10.3,188.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,406.5,169.5,149.5,257.0,280.0,852.0,1137,,,540.0,750.0,185/65R15,44.0,2X4,1,5,1,2
1,מאזדה,2,ELEGANT,2022,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,14.8,4000,10.3,188.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,406.5,169.5,149.5,257.0,280.0,852.0,1137,,,540.0,750.0,185/60R16,44.0,2X4,1,5,1,2
2,מאזדה,2,PURE WHITE,2022,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,14.8,4000,10.3,188.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,406.5,169.5,149.5,257.0,280.0,852.0,1137,,,540.0,750.0,185/60R16,44.0,2X4,1,5,1,2
3,מאזדה,2,DYNAMIC,2021,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,14.8,4000,10.3,188.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,406.5,169.5,149.5,257.0,280.0,852.0,1137,,,540.0,750.0,185/65R15,44.0,2X4,1,5,1,2
4,מאזדה,2,ELEGANT,2021,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,14.8,4000,10.3,188.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,406.5,169.5,149.5,257.0,280.0,852.0,1137,,,540.0,750.0,185/60R16,44.0,2X4,1,5,1,2
5,מאזדה,2,PURE WHITE,2021,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,116,6000,14.8,4000,10.3,188.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,406.5,169.5,149.5,257.0,280.0,852.0,1137,,,540.0,750.0,185/60R16,44.0,2X4,1,5,1,2
6,מאזדה,2,ACTIVE,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,112,6000,14.8,4000,10.3,188.0,13.1,21.2,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,406.0,169.5,149.5,257.0,280.0,852.0,1124,,,540.0,750.0,185/65R15,44.0,2X4,1,5,1,2
7,מאזדה,2,DYNAMIC,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,112,6000,14.8,4000,10.3,188.0,13.1,21.2,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,406.0,169.5,149.5,257.0,280.0,852.0,1124,,,540.0,750.0,185/65R15,44.0,2X4,1,5,1,2
8,מאזדה,2,SPORT,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,112,6000,14.8,4000,10.3,188.0,13.1,21.2,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,406.0,169.5,149.5,257.0,280.0,852.0,1124,,,540.0,750.0,185/60R16,44.0,2X4,1,5,1,2
9,מאזדה,2,PURE WHITE,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,112,6000,14.8,4000,10.3,188.0,13.1,21.2,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,406.0,169.5,149.5,257.0,280.0,852.0,1124,,,540.0,750.0,185/60R16,44.0,2X4,1,5,1,2
10,מאזדה,2,ACTIVE,2019,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1496,112,6000,14.8,4000,10.3,188.0,13.1,21.2,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,406.0,169.5,149.5,257.0,280.0,852.0,1124,,,540.0,750.0,185/65R15,44.0,2X4,1,5,1,2
