,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,מאן,TGE,,2022,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,598.6,204.0,235.5,364.0,9300.0,,2445,5000,2555,750,3500,205/75R16,75,2X4,1,3,2,TGE
1,מאן,TGE,,2022,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,598.6,204.0,259.0,364.0,10700.0,,2445,5000,2555,750,3500,205/75R16,75,2X4,1,3,2,TGE
2,מאן,TGE,,2022,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,683.6,204.0,259.0,449.0,13600.0,,2595,5000,2405,750,3500,205/75R16,75,2X4,1,3,2,TGE
3,מאן,TGE,,2022,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,739.1,204.0,259.0,449.0,15500.0,,2705,5000,2295,750,3500,205/75R16,75,2X4,1,3,2,TGE
4,מאן,TGE,,2022,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,620.4,204.0,230.5,364.0,,,2145,5000,2855,750,3500,205/75R16,75,2X4,1,3,2,TGE
5,מאן,TGE,,2022,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,700.4,204.0,230.5,449.0,,,2190,5000,2810,750,3500,205/75R16,75,2X4,1,3,2,TGE
6,מאן,TGE,,2022,5,7,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,620.4,204.0,230.5,364.0,,,2295,5000,2705,750,3500,205/75R16,75,2X4,1,7,2,TGE
7,מאן,TGE,,2022,5,7,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,700.4,204.0,230.5,449.0,,,2345,5000,2655,750,3500,205/75R16,75,2X4,1,7,2,TGE
8,מאן,TGE,,2021,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,598.6,204.0,235.5,364.0,9300.0,,2445,5000,2555,750,3500,205/75R16,75,2X4,1,3,2,TGE
9,מאן,TGE,,2021,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,598.6,204.0,259.0,364.0,10700.0,,2445,5000,2555,750,3500,205/75R16,75,2X4,1,3,2,TGE
10,מאן,TGE,,2021,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,683.6,204.0,259.0,449.0,13600.0,,2595,5000,2405,750,3500,205/75R16,75,2X4,1,3,2,TGE
11,מאן,TGE,,2021,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,739.1,204.0,259.0,449.0,15500.0,,2705,5000,2295,750,3500,205/75R16,75,2X4,1,3,2,TGE
12,מאן,TGE,,2021,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,620.4,204.0,230.5,364.0,,,2145,5000,2855,750,3500,205/75R16,75,2X4,1,3,2,TGE
13,מאן,TGE,,2021,5,3,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,4,1968,177,3600,41,1500,,,,,,,,,,,ABS + EBD + BAS,2,יש,אין,700.4,204.0,230.5,449.0,,,2190,5000,2810,750,3500,205/75R16,75,2X4,1,3,2,TGE
